id_phen,index_phytomer,TT_em_phytomer,TT_col_phytomer,TT_sen_phytomer,TT_del_phytomer
111,1,-59.59,97.3,523.54,817.66
110,1,-64.03,104.65,514.24,830.52
112,1,-55.94,91.17,533.09,808.91
408,1,178.46,358.84,747.83,1086.04
409,1,184.34,349.04,682.83,991.64
407,1,170.9,371.44,873.54,1249.56
410,1,189.05,341.19,649.56,934.84
507,1,263.82,452.07,922.13,1275.09
508,1,270.81,440.43,821.6,1139.64
506,1,254.51,467.59,1103.64,1503.18
607,1,384.17,549.19,932.13,1241.53
606,1,376.31,562.29,1113.64,1462.36
608,1,390.07,539.36,884.83,1164.75
706,1,507.89,670.34,1148.15,1452.74
707,1,514.49,659.34,966.64,1238.22
705,1,498.65,685.74,1381.96,1732.77
708,1,519.44,651.08,919.34,1166.17
