density,Repetition,date,Thermal time,GroundCover
Soissons_2009_d228_N1_,1,2009-03-13,383.5639614,0.032227
Soissons_2009_d228_N1_,2,2009-03-13,383.5639614,0.030807
Soissons_2009_d228_N1_,3,2009-03-13,383.5639614,0.026609
Soissons_2009_d228_N1_,1,2009-3-24,479.7355908,0.057302
Soissons_2009_d228_N1_,2,2009-3-24,479.7355908,0.064635
Soissons_2009_d228_N1_,3,2009-3-24,479.7355908,0.067968
Soissons_2009_d228_N1_,1,2009-4-6,600.7652272,0.20341
Soissons_2009_d228_N1_,2,2009-4-6,600.7652272,0.1872
Soissons_2009_d228_N1_,3,2009-4-6,600.7652272,0.214907
Soissons_2009_d228_N1_,1,2009-4-10,656.7609956,0.23959
Soissons_2009_d228_N1_,2,2009-4-10,656.7609956,0.272
Soissons_2009_d228_N1_,3,2009-4-10,656.7609956,0.22667
Soissons_2009_d228_N1_,1,2009-4-15,748.0346764,0.3932
Soissons_2009_d228_N1_,2,2009-4-15,748.0346764,0.41313
Soissons_2009_d228_N1_,3,2009-4-15,748.0346764,0.39476
