id_plt,id_cohort,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,1,MS,9,NaN,NaN,109,109,1,-3.3256,184.42,500,852.02
1,4,T1,7,1043,2000,307,307,NA,358.67,510.08,800,1152
1,5,T2,7,1095,2000,407,407,NA,478.67,602.03,900,1252
2,1,MS,9,NaN,NaN,109,109,1,-15.656,172.09,500,852.02
2,4,T1,7,1047,2000,307,307,NA,366.34,515.71,800,1152
2,5,T2,6,967,2000,406,406,NA,474.34,623.75,900,1252
3,1,MS,9,NaN,NaN,109,109,1,2.2533,190,500,852.02
3,4,T1,7,1083,2000,307,307,NA,388.25,531.77,800,1152
3,5,T2,7,1097,2000,407,407,NA,482.25,604.65,900,1252
3,6,T3,6,933,2000,506,506,NA,594.25,710.03,1000,1352
3,6,T3,6,933,2000,506,506,NA,594.25,710.03,1000,1352
4,1,MS,9,NaN,NaN,109,109,1,3.8768,191.62,500,852.02
4,4,T1,7,1051,2000,307,307,NA,367.88,516.83,800,1152
4,5,T2,7,NaN,NaN,407,407,1,495.88,614.64,900,1252
4,6,T3,6,935,2000,506,506,NA,593.88,709.77,1000,1352
4,6,T3,6,935,2000,506,506,NA,593.88,709.77,1000,1352
5,1,MS,9,NaN,NaN,109,109,1,-10.465,177.28,500,852.02
5,4,T1,7,1049,2000,307,307,NA,367.54,516.58,800,1152
5,5,T2,6,979,2000,406,406,NA,493.54,636.8,900,1252
6,1,MS,9,NaN,NaN,109,109,1,12.909,200.65,500,852.02
6,5,T2,6,989,2000,406,406,NA,502.91,643.18,800,1152
7,1,MS,9,NaN,NaN,109,109,1,12.892,200.64,500,852.02
7,4,T1,7,1077,2000,307,307,NA,382.89,527.84,800,1152
7,5,T2,6,985,2000,406,406,NA,498.89,640.45,900,1252
7,6,T3,6,887,2000,506,506,NA,620.89,728.14,1000,1352
7,6,T3,6,887,2000,506,506,NA,620.89,728.14,1000,1352
8,1,MS,9,NaN,NaN,109,109,1,0.62367,188.37,500,852.02
8,5,T2,7,NaN,NaN,407,407,1,488.62,609.32,800,1152
9,1,MS,9,NaN,NaN,109,109,1,4.2729,192.02,500,852.02
9,4,T1,7,1055,2000,307,307,NA,372.27,520.05,800,1152
9,5,T2,7,NaN,NaN,407,407,1,504.27,620.8,900,1252
9,6,T3,6,901,2000,506,506,NA,614.27,723.64,1000,1352
9,6,T3,6,903,2000,506,506,NA,614.27,723.64,1000,1352
10,1,MS,9,NaN,NaN,109,109,1,2.7464,190.49,500,852.02
10,4,T1,7,1067,2000,307,307,NA,376.75,523.33,800,1152
10,5,T2,7,NaN,NaN,407,407,1,500.75,618.21,900,1252
11,1,MS,9,NaN,NaN,109,109,1,-0.86709,186.88,500,852.02
11,4,T1,7,1045,2000,307,307,NA,365.13,514.82,800,1152
11,5,T2,7,NaN,NaN,407,407,1,505.13,621.43,900,1252
11,6,T3,6,943,2000,506,506,NA,589.13,706.54,1000,1352
11,6,T3,6,945,2000,506,506,NA,589.13,706.54,1000,1352
12,1,MS,9,NaN,NaN,109,109,1,8.2579,196,500,852.02
12,4,T1,7,1065,2000,307,307,NA,376.26,522.98,800,1152
12,5,T2,7,NaN,NaN,407,407,1,510.26,625.19,900,1252
13,1,MS,9,NaN,NaN,109,109,1,-4.8832,182.86,500,852.02
13,4,T1,7,1075,2000,307,307,NA,381.12,526.54,800,1152
13,5,T2,7,NaN,NaN,407,407,1,487.12,608.22,900,1252
14,1,MS,9,NaN,NaN,109,109,1,22.832,210.58,500,852.02
14,4,T1,7,1089,2000,307,307,NA,394.83,536.6,800,1152
14,5,T2,7,NaN,NaN,407,407,1,520.83,632.94,900,1252
15,1,MS,9,NaN,NaN,109,109,1,-0.36396,187.38,500,852.02
15,4,T1,7,1065,2000,307,307,NA,375.64,522.52,800,1152
15,5,T2,7,1095,2000,407,407,NA,477.64,601.27,900,1252
16,1,MS,9,NaN,NaN,109,109,1,2.1393,189.88,500,852.02
16,5,T2,6,981,2000,406,406,NA,496.14,638.57,800,1152
17,1,MS,9,NaN,NaN,109,109,1,11.668,199.41,500,852.02
17,4,T1,7,1057,2000,307,307,NA,373.67,521.08,800,1152
17,5,T2,7,NaN,NaN,407,407,1,503.67,620.36,900,1252
17,6,T3,6,891,2000,506,506,NA,619.67,727.31,1000,1352
17,6,T3,6,893,2000,506,506,NA,619.67,727.31,1000,1352
18,1,MS,9,NaN,NaN,109,109,1,1.5928,189.34,500,852.02
18,4,T1,7,1049,2000,307,307,NA,367.59,516.62,800,1152
18,5,T2,6,993,2000,406,406,NA,505.59,645,900,1252
19,1,MS,9,NaN,NaN,109,109,1,0.043516,187.79,500,852.02
19,4,T1,7,1077,2000,307,307,NA,384.04,528.69,800,1152
19,5,T2,7,NaN,NaN,407,407,1,504.04,620.63,900,1252
19,6,T3,6,909,2000,506,506,NA,610.04,720.76,1000,1352
19,6,T3,6,909,2000,506,506,NA,610.04,720.76,1000,1352
20,1,MS,9,NaN,NaN,109,109,1,-7.3235,180.42,500,852.02
20,4,T1,7,1067,2000,307,307,NA,376.68,523.28,800,1152
20,5,T2,6,971,2000,406,406,NA,484.68,630.78,900,1252
21,1,MS,9,NaN,NaN,109,109,1,3.9441,191.69,500,852.02
21,4,T1,7,1055,2000,307,307,NA,371.94,519.81,800,1152
21,5,T2,7,NaN,NaN,407,407,1,505.94,622.02,900,1252
22,1,MS,9,NaN,NaN,109,109,1,-12.362,175.38,500,852.02
22,4,T1,7,1057,2000,307,307,NA,373.64,521.05,800,1152
22,5,T2,7,1101,2000,407,407,NA,485.64,607.13,900,1252
22,6,T3,6,945,2000,506,506,NA,585.64,704.17,1000,1352
22,6,T3,6,947,2000,506,506,NA,585.64,704.17,1000,1352
23,1,MS,9,NaN,NaN,109,109,1,8.1432,195.89,500,852.02
23,4,T1,7,1081,2000,307,307,NA,388.14,531.69,800,1152
23,5,T2,6,969,2000,406,406,NA,484.14,630.42,900,1252
23,6,T3,6,915,2000,506,506,NA,606.14,718.11,1000,1352
23,6,T3,6,917,2000,506,506,NA,606.14,718.11,1000,1352
24,1,MS,9,NaN,NaN,109,109,1,17.236,204.98,500,852.02
24,5,T2,7,NaN,NaN,407,407,1,497.24,615.64,800,1152
25,1,MS,9,NaN,NaN,109,109,1,-5.9178,181.83,500,852.02
25,4,T1,7,1053,2000,307,307,NA,370.08,518.45,800,1152
25,5,T2,7,NaN,NaN,407,407,1,488.08,608.93,900,1252
26,1,MS,9,NaN,NaN,109,109,1,9.58,197.32,500,852.02
26,4,T1,7,1079,2000,307,307,NA,385.58,529.81,800,1152
26,5,T2,6,971,2000,406,406,NA,487.58,632.75,900,1252
26,6,T3,6,919,2000,506,506,NA,605.58,717.73,1000,1352
26,6,T3,6,919,2000,506,506,NA,605.58,717.73,1000,1352
27,1,MS,9,NaN,NaN,109,109,1,13.54,201.28,500,852.02
27,5,T2,7,NaN,NaN,407,407,1,497.54,615.86,800,1152
27,6,T3,6,893,2000,506,506,NA,619.54,727.22,900,1252
28,1,MS,9,NaN,NaN,109,109,1,-14.937,172.81,500,852.02
28,5,T2,6,965,2000,406,406,NA,473.06,622.88,800,1152
28,6,T3,6,937,2000,506,506,NA,591.06,707.86,900,1252
29,1,MS,9,NaN,NaN,109,109,1,-13.41,174.33,500,852.02
