id_phen,index_rel_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer,,,,,,,,,
111,0,-86.2,-86.2,-75.0,-75.0,,,,,,,,,
111,0.09,0.0,0.0,0.0,0.0,,,,,,,,,
111,0.18,86.2,86.2,75.0,75.0,,,,,,,,,
111,0.27,172.4,172.4,155.0,155.0,,,,,,,,,
111,0.36,258.6,258.6,240.0,240.0,,,,,,,,,
111,0.45,344.8,344.8,370.0,370.0,,,,,,,,,
111,0.55,431.0,440.8,585.0,585.0,,,,,,,,,
111,0.64,519.1,540.0,770.0,770.0,,,,,,,,,
111,0.73,618.4,639.3,1075.0,1075.0,,,,,,,,,
111,0.82,717.7,738.6,1300.0,1300.0,,,,,,,,,
111,0.91,817.0,837.9,1435.0,1435.0,,,,,,,,,
111,1.00,916.2,937.2,1535.0,1535.0,,,,,,,,,
112,0,-76.4,-76.4,-65.0,-65.0,,,,,,,,,
112,0.08,0.0,0.0,0.0,0.0,,,,,,,,,
112,0.17,76.4,76.4,70.0,70.0,,,,,,,,,
112,0.25,152.8,152.8,145.0,145.0,,,,,,,,,
112,0.33,229.1,229.1,220.0,220.0,,,,,,,,,
112,0.42,305.5,305.5,295.0,295.0,,,,,,,,,
112,0.50,381.9,386.0,435.0,435.0,,,,,,,,,
112,0.58,458.3,480.8,640.0,640.0,,,,,,,,,
112,0.67,546.1,575.6,925.0,925.0,,,,,,,,,
112,0.75,640.9,670.4,1165.0,1165.0,,,,,,,,,
112,0.83,735.7,765.2,1330.0,1330.0,,,,,,,,,
112,0.92,830.5,860.0,1455.0,1455.0,,,,,,,,,
112,1.00,925.3,954.8,1525.0,1525.0,,,,,,,,,
309,0,-71.0,-71.0,-80.0,-80.0,,,,,,,,,
309,0.11,0.0,0.0,0.0,0.0,,,,,,,,,
309,0.22,71.0,71.0,80.0,80.0,,,,,,,,,
309,0.33,141.9,141.9,165.0,165.0,,,,,,,,,
309,0.44,212.9,235.5,335.0,335.0,,,,,,,,,
309,0.56,286.3,340.2,580.0,580.0,,,,,,,,,
309,0.67,391.0,444.9,850.0,850.0,,,,,,,,,
309,0.78,495.7,549.6,1080.0,1080.0,,,,,,,,,
309,0.89,600.4,654.3,1235.0,1235.0,,,,,,,,,
309,1.00,705.1,759.0,1335.0,1335.0,,,,,,,,,
408,0,-70.6,-70.6,-65.0,-65.0,,,,,,,,,
408,0.13,0.0,0.0,0.0,0.0,,,,,,,,,
408,0.25,70.6,70.6,90.0,90.0,,,,,,,,,
408,0.38,141.1,166.5,330.0,330.0,,,,,,,,,
408,0.50,215.6,273.0,535.0,535.0,,,,,,,,,
408,0.63,322.0,379.4,755.0,755.0,,,,,,,,,
408,0.75,428.5,485.8,955.0,955.0,,,,,,,,,
408,0.88,534.9,592.3,1145.0,1145.0,,,,,,,,,
408,1.00,641.3,698.7,1290.0,1290.0,,,,,,,,,
409,0,-62.3,-62.3,-65.0,-65.0,,,,,,,,,
409,0.11,0.0,0.0,0.0,0.0,,,,,,,,,
409,0.22,62.3,62.3,70.0,70.0,,,,,,,,,
409,0.33,124.5,137.8,210.0,210.0,,,,,,,,,
409,0.44,186.8,235.9,435.0,435.0,,,,,,,,,
409,0.56,276.7,334.1,615.0,615.0,,,,,,,,,
409,0.67,374.8,432.2,850.0,850.0,,,,,,,,,
409,0.78,472.9,530.3,1060.0,1060.0,,,,,,,,,
409,0.89,571.1,628.5,1205.0,1205.0,,,,,,,,,
409,1.00,669.2,726.6,1320.0,1320.0,,,,,,,,,
507,0,-50.8,-50.8,-40.0,-40.0,,,,,,,,,
507,0.14,0.0,0.0,0.0,0.0,,,,,,,,,
507,0.29,50.8,87.1,230.0,230.0,,,,,,,,,
507,0.43,101.6,199.6,415.0,415.0,,,,,,,,,
507,0.57,213.4,312.1,565.0,565.0,,,,,,,,,
507,0.71,325.9,424.6,845.0,845.0,,,,,,,,,
507,0.86,438.3,537.1,1105.0,1105.0,,,,,,,,,
507,1.00,550.8,649.5,1250.0,1250.0,,,,,,,,,
606,0,-86.2,-97.5,-175.0,-175.0,,,,,,,,,
606,0.17,0.0,0.0,0.0,0.0,
606,0.33,89.6,99.3,95.0,95.0,
606,0.50,188.9,198.6,195.0,195.0,
606,0.67,288.2,297.8,350.0,350.0,
606,0.83,387.5,397.1,630.0,630.0,
606,1.00,486.7,496.4,895.0,895.0,
