densité,date,Thermal time,LAI_vert
Soissons_2009_d77_N1,2009-03-09,353.4,0.02
Soissons_2009_d77_N1,2009-03-09,353.4,0.03
Soissons_2009_d77_N1,2009-03-09,353.4,0.02
Soissons_2009_d77_N1,2009-04-08,627.4,0.15
Soissons_2009_d77_N1,2009-04-08,627.4,0.20
Soissons_2009_d77_N1,2009-04-08,627.4,0.17
Soissons_2009_d77_N1,2009-04-27,911.3,0.77
Soissons_2009_d77_N1,2009-04-27,911.3,0.55
Soissons_2009_d77_N1,2009-04-27,911.3,0.88
Soissons_2009_d77_N1,2009-05-18,1187.4,3.14
Soissons_2009_d77_N1,2009-05-18,1187.4,2.66
Soissons_2009_d77_N1,2009-05-18,1187.4,3.56
Soissons_2009_d77_N1,2009-06-08,1558.9,2.59
Soissons_2009_d77_N1,2009-06-08,1558.9,3.52
Soissons_2009_d77_N1,2009-06-08,1558.9,2.99
