id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
13,1,MS,10,10,NA,NA,1101,110,1,-66.98367468,107.4453704,520.7525043,847.8069638
13,4,T1,7,7,NA,NA,4071,407,1,163.4818994,388.2252959,922.1300908,1343.523959
13,5,T2,6,1.560130316,737,1337,5020,506,NA,510.6388732,678.7575953,1201.093644,1516.316248
13,6,T1.0,6,4.439073708,1015,1615,6050,606,NA,245.2250475,489.8375579,1251.216695,1709.865152
13,6,T3,7,4.408176517,914,1514,6050,607,NA,258.3292892,467.9971551,987.2773248,1380.404574
13,7,T2.0,6,3.140726615,774,1374,7040,706,NA,369.2501486,583.7959677,1251.216695,1653.490106
14,1,MS,11,11,583,883,1111,111,1,-49.73833746,108.7771483,525.4913127,822.5408214
14,4,T1,8,6.62171545,1061,1661,4070,408,NA,185.2610932,381.9115651,795.3881435,1164.107778
14,5,T2,8,0.252893627,593,1193,5010,508,NA,537.6443505,663.733392,933.6323381,1170.049291
14,6,T1.0,7,3.660327058,816,1416,6040,607,NA,269.5736362,479.2415022,998.5216718,1391.648921
14,6,T3,7,3.652695941,815,1415,6040,607,NA,269.5736362,479.2415022,998.5216718,1391.648921
15,1,MS,11,11,NA,NA,1111,111,1,-48.9628334,109.5526524,526.2668168,823.3163254
15,4,T1,8,6.572897871,1055,1655,4070,408,NA,186.0365972,382.6870692,796.1636476,1164.883282
15,5,T2,8,0.1894464,588,1188,5010,508,NA,538.4198545,664.5088961,934.4078422,1170.824795
15,6,T3,7,3.599278123,808,1408,6040,607,NA,270.3491403,480.0170063,999.2971759,1392.424425
16,1,MS,11,11,NA,NA,1111,111,1,-66.87730466,91.63818112,508.3523455,805.4018542
16,5,T2,8,1.33149648,678,1278,5020,508,NA,520.5053833,646.5944248,916.4933709,1152.910324
16,6,T3,7,4.736314544,957,1557,6050,607,NA,252.434669,462.102535,981.3827046,1374.509953
17,1,MS,11,11,583,883,1111,111,1,-61.16991763,97.34556816,514.0597326,811.1092412
17,4,T1,8,8,NA,NA,4081,408,1,173.829513,370.479985,783.9565633,1152.676198
17,5,T2,8,0.912744784,645,1245,5010,508,NA,526.2127703,652.3018118,922.2007579,1158.617711
17,6,T1.0,7,4.431069868,917,1517,6050,607,NA,258.142056,467.809922,987.0900917,1380.21734
17,6,T3,7,4.423438751,916,1516,6050,607,NA,258.142056,467.809922,987.0900917,1380.21734
17,7,T2.0,6,3.14668792,775,1375,7040,706,NA,369.0629154,583.6087346,1251.029462,1653.302873
18,1,MS,11,11,NA,NA,1111,111,1,-49.61952082,108.895965,525.6101294,822.659638
18,4,T1,8,6.597306661,1058,1658,4070,408,NA,185.3799098,382.0303818,795.5069601,1164.226595
18,5,T2,7,0.532173334,621,1221,5010,507,NA,531.008397,675.1101588,1003.678962,1273.869765
18,6,T3,7,3.629802591,812,1412,6040,607,NA,269.6924529,479.3603188,998.6404885,1391.767737
18,7,T4,7,2.626765794,751,1351,7030,707,NA,392.1068383,576.0032547,1053.802013,1398.607793
19,1,MS,12,12,NA,NA,1121,112,1,-53.3665655,91.99097205,511.7313915,784.2767744
19,5,T2,8,0.76047144,633,1233,5010,508,NA,529.1152973,655.2043388,925.1032849,1161.520238
20,1,MS,11,11,NA,NA,1111,111,1,-48.186669,110.3288168,527.0429812,824.0924898
20,4,T1,8,6.556625345,1053,1653,4070,408,NA,186.8127616,383.4632336,796.939812,1165.659447
20,5,T2,8,0.176756955,587,1187,5010,508,NA,539.1960189,665.2850605,935.1840066,1171.600959
20,6,T1.0,7,3.568753655,804,1404,6040,607,NA,271.1253047,480.7931707,1000.07334,1393.200589
20,6,T3,7,3.568753655,804,1404,6040,607,NA,271.1253047,480.7931707,1000.07334,1393.200589
21,1,MS,11,11,NA,NA,1111,111,1,-66.2434353,92.27205049,508.9862149,806.0357235
21,4,T1,8,8,NA,NA,4081,408,1,168.7559953,365.4064673,778.8830457,1147.602681
21,5,T2,7,1.553673684,713,1313,5020,507,NA,514.3844826,658.4862443,987.0550472,1257.245851
21,6,T1.0,7,4.705790077,953,1553,6050,607,NA,253.0685384,462.7364044,982.016574,1375.143823
22,1,MS,11,11,NA,NA,1111,111,1,-56.52724267,101.9882431,518.7024075,815.7519161
22,4,T1,8,8,NA,NA,4081,408,1,178.472188,375.1226599,788.5992383,1157.318873
22,5,T2,7,0.987407186,662,1262,5010,507,NA,524.1006752,668.2024369,996.7712399,1266.962043
22,6,T1.0,7,4.10293184,874,1474,6050,607,NA,262.784731,472.452597,991.7327666,1384.860015
22,6,T3,7,4.095300723,873,1473,6050,607,NA,262.784731,472.452597,991.7327666,1384.860015
23,1,MS,11,11,NA,NA,1111,111,1,-56.96417872,101.5513071,518.2654715,815.3149801
23,4,T1,8,8,NA,NA,4081,408,1,178.0352519,374.6857239,788.1623022,1156.881937
23,5,T2,8,0.633576987,623,1223,5010,508,NA,530.4185092,656.5075507,926.4064968,1162.82345
23,6,T1.0,7,4.110562957,875,1475,6050,607,NA,262.347795,472.0156609,991.2958306,1384.423079
23,6,T3,7,4.110562957,875,1475,6050,607,NA,262.347795,472.0156609,991.2958306,1384.423079
24,1,MS,11,11,NA,NA,1111,111,1,-67.11153411,91.40395168,508.1181161,805.1676247
24,4,T1,8,8,NA,NA,4081,408,1,167.8878965,364.5383685,778.0149469,1146.734582
24,5,T2,7,1.609190007,718,1318,5020,507,NA,513.5163837,657.6181455,986.1869484,1256.377752
24,6,T1.0,7,4.751576778,959,1559,6050,607,NA,252.2004396,461.8683056,981.1484752,1374.275724
25,1,MS,11,11,NA,NA,1111,111,1,-62.26389817,96.25158762,512.965752,810.0152607
25,4,T1,9,7.678262284,1086,1686,4080,409,NA,180.9293021,355.7297217,723.264458,1051.015245
25,5,T2,8,1.026949792,654,1254,5020,508,NA,525.1187898,651.2078313,921.1067774,1157.52373
25,6,T3,7,4.484487686,924,1524,6050,607,NA,257.0480755,466.7159415,985.9961111,1379.12336
25,7,T4,7,2.731172396,763,1363,7030,707,NA,379.4624609,563.3588773,1041.157635,1385.963416
26,1,MS,11,11,NA,NA,1111,111,1,-58.97281412,99.54267167,516.2568361,813.3063447
26,5,T2,8,0.823918667,638,1238,5010,508,NA,528.4098738,654.4989153,924.3978614,1160.814814
26,6,T3,7,4.240291944,892,1492,6050,607,NA,260.3391596,470.0070255,989.2871952,1382.414444
26,7,T2.0,7,3.545948495,757,1357,7040,707,NA,382.753545,566.6499614,1044.448719,1389.2545
27,1,MS,11,11,NA,NA,1111,111,1,-63.96082131,94.55466448,511.2688289,808.3183375
27,4,T1,8,8,NA,NA,4081,408,1,171.0386093,367.6890813,781.1656597,1149.885295
27,5,T2,8,1.204602027,668,1268,5020,508,NA,523.4218666,649.5109082,919.4098543,1155.826807
27,6,T1.0,7,4.606585557,940,1540,6050,607,NA,255.3511524,465.0190184,984.299188,1377.426437
27,6,T3,7,4.59895444,939,1539,6050,607,NA,255.3511524,465.0190184,984.299188,1377.426437
28,1,MS,11,11,NA,NA,1111,111,1,-64.70940035,93.80608543,510.5202498,807.5697585
28,4,T1,8,8,NA,NA,4081,408,1,170.2900303,366.9405022,780.4170806,1149.136716
28,5,T2,7,1.475950831,706,1306,5020,507,NA,515.9185175,660.0202792,988.5890822,1258.779885
28,6,T3,7,4.667634492,948,1548,6050,607,NA,254.6025733,464.2704393,983.5506089,1376.677858
29,1,MS,12,12,NA,NA,1121,112,1,-52.47639033,92.88114722,512.6215667,785.1669496
29,6,T3,8,4.017526671,797,1397,6050,608,NA,271.7629394,455.2223222,845.0961388,1189.082481
30,1,MS,10,10,NA,NA,1101,110,1,-72.21638131,102.2126638,515.5197977,842.5742572
