id_plt,id_cohort,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1,,,,,,,,,,,,,
9,6,T3,5,744.4,1344.4,507,507,NA,324.8,406.1,788.21,1388.2
9,6,T1.0,5,744.4,1344.4,507,507,NA,324.8,406.1,788.21,1388.2
9,7,T4,3,682.6,1282.6,606,606,NA,388.6,537.7,1028.00,1628.0
9,7,T1.1,3,682.6,1282.6,606,606,NA,388.6,537.7,1028.00,1628.0
10,0,MS,12,NaN,NaN,112,112,1.00,-43.8,78.4,434.80,1034.8
10,4,T1,4,464.2,1064.2,309,309,NA,179.9,293.5,638.01,1238.0
10,5,T2,8,NaN,NaN,408,408,1.00,268.0,380.9,710.37,1310.4
10,6,T3,5,841.1,1441.1,507,507,NA,372.2,453.5,844.98,1445.0
10,6,T1.0,5,841.1,1441.1,507,507,NA,372.2,453.5,844.98,1445.0
10,7,T4,4,913.0,1513.0,606,606,NA,445.3,594.5,1030.00,1630.0
10,7,T1.1,4,913.0,1513.0,606,606,NA,445.3,594.5,1030.00,1630.0
11,0,MS,12,NaN,NaN,112,112,1.00,-19.0,103.2,421.31,1021.3
11,4,T1,6,682.6,1282.6,309,309,NA,166.4,280.0,611.86,1211.9
11,5,T2,8,NaN,NaN,408,408,1.00,241.8,354.7,671.27,1271.3
11,6,T3,7,NaN,NaN,507,507,1.00,333.1,414.4,775.43,1375.4
11,6,T1.0,7,NaN,NaN,507,507,1.00,333.1,414.4,775.43,1375.4
11,7,T4,4,1117.4,1717.4,606,606,NA,375.8,525.0,1032.00,1632.0
11,7,T1.1,4,1117.4,1717.4,606,606,NA,375.8,525.0,1032.00,1632.0
12,0,MS,12,NaN,NaN,112,112,1.00,-26.47,95.73,431.36,1031.4
12,4,T1,10,1026.4,1626.4,309,309,NA,176.49,290.05,616.31,1216.3
12,5,T2,9,NaN,NaN,409,409,1.00,249.17,348.79,671.93,1271.9
12,6,T3,8,NaN,NaN,507,507,1.00,333.77,415.04,767.70,1367.7
12,6,T1.0,8,NaN,NaN,507,507,1.00,333.77,415.04,767.70,1367.7
12,7,T4,4,1117.4,1717.4,606,606,NA,368.04,517.24,1034.00,1634.0
12,7,T1.1,4,1117.4,1717.4,606,606,NA,368.04,517.24,1034.00,1634.0
13,0,MS,12,NaN,NaN,112,112,1.00,-6.8,115.4,460.31,1060.3
13,4,T1,7,841.1,1441.1,309,309,NA,205.4,319.0,610.69,1210.7
13,5,T2,8,NaN,NaN,408,408,1.00,240.6,353.5,657.29,1257.3
13,6,T3,6,913.0,1513.0,507,507,NA,319.1,400.4,799.27,1399.3
13,6,T1.0,6,913.0,1513.0,507,507,NA,319.1,400.4,799.27,1399.3
13,7,T4,3,682.6,1282.6,606,606,NA,399.6,548.8,1036.00,1636.0
13,7,T1.1,3,682.6,1282.6,606,606,NA,399.6,548.8,1036.00,1636.0
14,0,MS,12,NaN,NaN,112,112,1.00,-42.5,79.7,456.86,1056.9
14,4,T1,8,1026.4,1626.4,309,309,NA,202.0,315.5,636.42,1236.4
14,5,T2,5,682.6,1282.6,408,408,NA,266.4,379.3,712.86,1312.9
14,6,T3,4,744.4,1344.4,507,507,NA,374.7,456.0,815.83,1415.8
14,6,T1.0,4,744.4,1344.4,507,507,NA,374.7,456.0,815.83,1415.8
14,7,T4,3,682.6,1282.6,606,606,NA,416.2,565.4,1038.00,1638.0
14,7,T1.1,3,682.6,1282.6,606,606,NA,416.2,565.4,1038.00,1638.0
15,0,MS,12,NaN,NaN,112,112,1.00,-29.1,93.1,418.87,1018.9
15,4,T1,9,NaN,NaN,309,309,1.00,164.0,277.6,607.01,1207.0
15,5,T2,8,NaN,NaN,408,408,1.00,237.0,349.9,663.45,1263.4
15,6,T3,4,744.4,1344.4,507,507,NA,325.3,406.6,778.79,1378.8
15,6,T1.0,4,744.4,1344.4,507,507,NA,325.3,406.6,778.79,1378.8
15,7,T4,2,550.1,1150.1,606,606,NA,379.1,528.3,1040.00,1640.0
15,7,T1.1,2,550.1,1150.1,606,606,NA,379.1,528.3,1040.00,1640.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
