date  ,TT,GC,  ecartype
15/11/2005  ,115,0.049,0.001
28/11/2005  ,156,0.053,0.012
12/12/2005  ,208,0.062,0.009
20/12/2005  ,235,0.094,0.007
07/02/2006  ,353,0.183,0.013
02/03/2006  ,425,0.294,0.016
14/03/2006  ,467,0.342,0.036
21/03/2006  ,494,0.383,0.029
29/03/2006  ,560,0.509,0.015
06/04/2006  ,639,0.602,0.018
11/04/2006  ,683,0.625,0.02
18/04/2006  ,751,0.699,0.005
24/04/2006  ,827,0.725,0.014
03/05/2006  ,927,0.796,0.01
10/05/2006  ,1026,0.815,0.032
15/05/2006  ,1097,0.856,0.026
