DOY;heure;Rg;RdRg;Group
176;1;77.16876423;1.033667198;0
176;2;77.16579051;1.033732726;0
176;3;77.20147522;1.03325507;0
176;4;77.13208828;1.034184297;0
176;5;77.12812331;1.034237438;0
176;6;100.1338589;1.035699074;0
176;7;439.6094628;0.804629958;0
176;8;1247.451868;0.419500287;0
176;9;2241.171973;0.306253375;0
176;10;3305.27026;0.262870461;0
176;11;4276.68742;0.250490446;0
176;12;4735.632466;0.233038214;0
176;13;5628.741508;0.196425508;0
176;14;5564.310778;0.202166666;1
176;15;5528.626066;0.233430014;1
176;16;5213.41111;0.264636986;1
176;17;4597.849828;0.287538837;1
176;18;3601.651618;0.361046316;1
176;19;2024.089975;0.746458376;1
176;20;1744.857104;0.500219808;1
176;21;782.9558668;0.731919184;1
176;22;197.6125972;0.999695552;1
176;23;77.98951261;1.027424382;1
176;24;77.33033668;1.031148863;1
