gcc2  -O  -c -O -DHAVE_CONFIG_H copy.c
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:40: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:41: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:44: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:45: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:46: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:47: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:47: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:48: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:49: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:49: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:50: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:51: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:51: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:52: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:54: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:54: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:55: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:55: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:58: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:58: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:59: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:59: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:60: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:60: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:61: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:61: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:62: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:62: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:63: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:64: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:65: illegal external declaration, missing `;' after `private'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:66: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:68: undefined type, found `friend'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:68: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:68: undefined type, found `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:68: illegal declaration, missing name, found `,'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:68: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:69: undefined type, found `friend'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:69: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:69: undefined type, found `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:69: illegal declaration, missing name, found `,'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:69: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:70: undefined type, found `friend'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:70: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:70: undefined type, found `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:70: illegal declaration, missing name, found `,'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:70: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:71: undefined type, found `friend'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:71: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:71: undefined type, found `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:71: illegal declaration, missing name, found `,'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:71: illegal external declaration, missing `;' after `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:75: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:76: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:77: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:79: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:80: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:81: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:87: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:87: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:88: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:89: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:94: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:94: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:95: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:96: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:102: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:102: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:103: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:104: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:109: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:109: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:110: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:111: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:113: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:114: illegal external declaration, missing `;' after `ths'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:114: undefined type, found `re'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:114: illegal external declaration, missing `;' after `r'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:114: illegal method definition, found `->'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:114: illegal method definition, missing `{' after `re'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:115: illegal external declaration, missing `;' after `ths'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:118: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:118: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:119: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:120: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:125: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:125: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:126: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:127: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:132: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:132: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:132: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:133: syntax error, found `&'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:133: illegal function definition, found `)'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:135: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:135: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:135: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:136: syntax error, found `&'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:136: illegal function definition, found `)'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:141: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:141: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:141: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:142: syntax error, found `&'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:142: illegal function definition, found `)'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:144: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:144: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:144: undefined type, found `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:145: syntax error, found `&'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:145: illegal function definition, found `)'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:150: undefined type, found `class'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:150: illegal external declaration, missing `;' after `_FLT'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:150: illegal external declaration, missing `;' after `>'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:151: undefined type, found `complex'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:151: syntax error, found `<'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:151: illegal method selector, found `)'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:151: illegal method definition, missing `{' after `)'
/usr/include/gcc/darwin/2.95.2/g++/std/complext.h:153: illegal external declaration, missing `;' after `>'
