DOY;Hour;Rg;RdRg;Group
1;1;0;1;0
1;2;0;1;0
1;3;0;1;0
1;4;0;1;0
1;5;0;1;0
1;6;0;1;0
1;7;0;1;0
1;8;1.746;1;0
1;9;30.69;1;0
1;10;88.8;0.972640311;0
1;11;276.5;0.891534234;0
1;12;221.6;0.943721148;0
1;13;413.1;0.795896905;0
1;14;226.1;0.741665635;0
1;15;54.07;1;0
1;16;35.67;0.966699319;0
1;17;0.398;0;0
1;18;0;1;0
1;19;0;1;0
1;20;0;1;0
1;21;0;1;0
1;22;0;1;0
1;23;0;1;0
1;24;0;1;0
2;1;0;1;1
2;2;0;1;1
2;3;0;1;1
2;4;0;1;1
2;5;0;1;1
2;6;0;1;1
2;7;0;1;1
2;8;4.333;0;1
2;9;77.5;0.737727291;1
2;10;292.9;0.381158086;1
2;11;462.4;0.320056243;1
2;12;561.3;0.238416646;1
2;13;553;0.227350472;1
2;14;385.8;0.464866827;1
2;15;173.8;0.775688851;1
2;16;24.09;1;1
2;17;1.568;0;1
2;18;0;1;1
2;19;0;1;1
2;20;0;1;1
2;21;0;1;1
2;22;0;1;1
2;23;0;1;1
2;24;0;1;1
3;1;0;1;2
3;2;0;1;2
3;3;0;1;2
3;4;0;1;2
3;5;0;1;2
3;6;0;1;2
3;7;0;1;2
3;8;1.934;1;2
3;9;65.17;1;2
3;10;186.8;1;2
3;11;169.5;1;2
3;12;275.7;0.993086277;2
3;13;289.8;0.998272401;2
3;14;335.5;0.742023289;2
3;15;214.8;0.828580259;2
3;16;45.15;1;2
3;17;1.375;0;2
3;18;0;1;2
3;19;0;1;2
3;20;0;1;2
3;21;0;1;2
3;22;0;1;2
3;23;0;1;2
3;24;0;1;2
4;1;0;1;3
4;2;0;1;3
4;3;0;1;3
4;4;0;1;3
4;5;0;1;3
4;6;0;1;3
4;7;0;1;3
4;8;1.326;1;3
4;9;21.21;1;3
4;10;103.5;1;3
4;11;158.2;1;3
4;12;385.7;0.66849522;3
4;13;495.5;0.572195824;3
4;14;384.3;0.531354916;3
4;15;244.8;0.643732041;3
4;16;61.79;0.945714385;3
4;17;3.326;0;3
4;18;0;1;3
4;19;0;1;3
4;20;0;1;3
4;21;0;1;3
4;22;0;1;3
4;23;0;1;3
4;24;0;1;3
5;1;0;1;4
5;2;0;1;4
5;3;0;1;4
5;4;0;1;4
5;5;0;1;4
5;6;0;1;4
5;7;0;1;4
5;8;3.164;0;4
5;9;46.36;0.859071291;4
5;10;129.1;0.827485589;4
5;11;121.6;0.824566053;4
5;12;124.4;0.845065949;4
5;13;65.76;0.891872771;4
5;14;54.04;0.901107756;4
5;15;74.3;0.899956592;4
5;16;33.29;0.911105421;4
5;17;2.364;0;4
5;18;0;1;4
5;19;0;1;4
5;20;0;1;4
5;21;0;1;4
5;22;0;1;4
5;23;0;1;4
5;24;0;1;4
6;1;0;1;5
6;2;0;1;5
6;3;0;1;5
6;4;0;1;5
6;5;0;1;5
6;6;0;1;5
6;7;0;1;5
6;8;2.707;0.441578701;5
6;9;75.7;0.874099377;5
6;10;176.3;0.935107838;5
6;11;256.1;1;5
6;12;330.6;0.754596514;5
6;13;240;1;5
6;14;114;1;5
6;15;103.9;1;5
6;16;30.29;1;5
6;17;0.653;0;5
6;18;0;1;5
6;19;0;1;5
6;20;0;1;5
6;21;0;1;5
