plant,axe,nf,end,disp,dimIndex,phenIndex,earIndex,emf1,ligf1,senf1,dispf1
1,0,11,NA,NA,1,1,1,10.7112356,163.8505323,387.9372459,587.9372459
1,1,9,630.2119167,1230.211917,2,2,2,227.6901643,367.0061285,595.5801564,795.5801564
1,2,8,692.458875,1292.458875,3,3,3,302.3407083,436.0823703,670.8567897,870.8567897
1,3,7,630.2119167,1230.211917,4,4,4,414.4904747,545.7195182,804.6990034,1004.699003
2,0,12,NA,NA,1,1,1,-6.539482957,146.5998137,370.6865273,570.6865273
2,1,9,630.2119167,1230.211917,2,2,2,174.3069987,313.6229629,542.1969908,742.1969908
2,2,8,NA,NA,3,3,3,271.2639673,405.0056293,639.7800487,839.7800487
2,3,7,910.5049375,1510.504938,4,4,4,382.3790387,513.6080823,772.5875674,972.5875674
2,4,6,910.5049375,1510.504938,5,5,5,451.3639307,595.5723049,909.7537137,1109.753714
3,0,12,NA,NA,1,1,1,21.54309661,174.6823933,398.7691069,598.7691069
3,1,9,744.5186667,1344.518667,2,2,2,161.5228192,300.8387834,529.4128113,729.4128113
3,2,8,812.1424792,1412.142479,3,3,3,256.0917158,389.8333778,624.6077971,824.6077971
3,3,7,630.2119167,1230.211917,4,4,4,327.0747093,458.3037529,717.2832381,917.2832381
3,4,6,630.2119167,1230.211917,5,5,5,424.3856449,568.5940191,882.7754278,1082.775428
4,0,12,NA,NA,1,1,1,20.08567569,173.2249724,397.311686,597.311686
4,1,9,NA,NA,2,2,2,184.8099183,324.1258825,552.6999104,752.6999104
4,2,9,NA,NA,3,3,3,244.3945658,378.1362278,612.9106472,812.9106472
4,3,7,812.1424792,1412.142479,4,4,4,322.951536,454.1805796,713.1600648,913.1600648
4,4,6,910.5049375,1510.504938,5,5,5,395.2859613,539.4943355,853.6757442,1053.675744
5,0,12,NA,NA,1,1,1,3.825314956,156.9646116,381.0513252,581.0513252
5,1,9,NA,NA,2,2,2,172.366475,311.6824393,540.2564672,740.2564672
5,2,8,692.458875,1292.458875,3,3,3,242.4598145,376.2014765,610.9758959,810.9758959
5,3,7,744.5186667,1344.518667,4,4,4,362.0994107,493.3284542,752.3079394,952.3079394
6,0,11,NA,NA,1,1,1,-7.782936498,145.3563602,369.4430738,569.4430738
6,1,9,812.1424792,1412.142479,2,2,2,199.7198999,339.0358642,567.6098921,767.6098921
6,2,8,630.2119167,1230.211917,3,3,3,280.6153358,414.3569978,649.1314172,849.1314172
6,3,7,692.458875,1292.458875,4,4,4,399.6074261,530.8364696,789.8159548,989.8159548
7,0,12,NA,NA,1,1,1,-7.354958467,145.7843382,369.8710518,569.8710518
7,1,9,NA,NA,2,2,2,198.7669998,338.0829641,566.656992,766.656992
7,2,8,559.0079167,1159.007917,3,3,3,258.9894668,392.7311288,627.5055481,827.5055481
7,3,7,812.1424792,1412.142479,4,4,4,338.0281611,469.2572046,728.2366898,928.2366898
7,4,6,630.2119167,1230.211917,5,5,5,448.2060421,592.4144163,906.5958251,1106.595825
8,0,11,NA,NA,1,1,1,-0.689945553,152.4493511,376.5360647,576.5360647
8,1,9,744.5186667,1344.518667,2,2,2,236.1002822,375.4162464,603.9902743,803.9902743
8,2,8,NA,NA,3,3,3,281.2849521,415.0266141,649.8010334,849.8010334
8,3,7,692.458875,1292.458875,4,4,4,375.7073268,506.9363704,765.9158556,965.9158556
8,4,6,692.458875,1292.458875,5,5,5,478.9534611,623.1618353,937.343244,1137.343244
9,0,11,NA,NA,1,1,1,29.30058091,182.4398776,406.5265912,606.5265912
9,1,9,812.1424792,1412.142479,2,2,2,197.8196619,337.1356261,565.709654,765.709654
9,2,8,744.5186667,1344.518667,3,3,3,284.569475,418.311137,653.0855563,853.0855563
9,3,7,692.458875,1292.458875,4,4,4,377.1888533,508.4178969,767.3973821,967.3973821
9,4,6,559.0079167,1159.007917,5,5,5,457.6338961,601.8422703,916.023679,1116.023679
10,0,11,NA,NA,1,1,1,23.01834525,176.1576419,400.2443555,600.2443555
10,1,9,692.458875,1292.458875,2,2,2,233.1637961,372.4797603,601.0537882,801.0537882
10,2,8,812.1424792,1412.142479,3,3,3,294.5158419,428.2575039,663.0319233,863.0319233
10,3,7,692.458875,1292.458875,4,4,4,388.9737539,520.2027975,779.1822826,979.1822826
10,4,6,744.5186667,1344.518667,5,5,5,515.2165442,659.4249184,973.6063272,1173.606327
11,0,11,NA,NA,1,1,1,16.00848984,169.1477865,393.2345001,593.2345001
11,1,9,481.6421042,1081.642104,2,2,2,191.7264972,331.0424614,559.6164894,759.6164894
11,2,8,630.2119167,1230.211917,3,3,3,240.5466861,374.2883481,609.0627675,809.0627675
11,3,7,812.1424792,1412.142479,4,4,4,366.1536181,497.3826616,756.3621468,956.3621468
11,4,6,910.5049375,1510.504938,5,5,5,468.2505236,612.4588978,926.6403066,1126.640307
12,0,11,NA,NA,1,1,1,21.7730345,174.9123312,398.9990448,598.9990448
12,1,9,744.5186667,1344.518667,2,2,2,164.66744,303.9834042,532.5574321,732.5574321
12,2,8,630.2119167,1230.211917,3,3,3,243.6056298,377.3472918,612.1217112,812.1217112
12,3,7,744.5186667,1344.518667,4,4,4,351.3177879,482.5468314,741.5263166,941.5263166
12,4,6,630.2119167,1230.211917,5,5,5,463.4773039,607.6856781,921.8670869,1121.867087
13,0,11,NA,NA,1,1,1,48.75363199,201.8929287,425.9796423,625.9796423
13,1,9,630.2119167,1230.211917,2,2,2,211.7812,351.0971642,579.6711921,779.6711921
13,2,8,630.2119167,1230.211917,3,3,3,266.1780854,399.9197474,634.6941667,834.6941667
13,3,7,630.2119167,1230.211917,4,4,4,354.563322,485.7923655,744.7718507,944.7718507
14,0,12,NA,NA,1,1,1,-49.48946718,103.6498295,327.7365431,527.7365431
14,1,9,630.2119167,1230.211917,2,2,2,242.7415297,382.0574939,610.6315218,810.6315218
14,2,6,NA,NA,3,3,3,367.6914329,501.4330949,736.2075143,936.2075143
14,3,7,744.5186667,1344.518667,4,4,4,452.8737532,584.1027967,843.0822819,1043.082282
15,0,11,NA,NA,1,1,1,40.83305474,193.9723514,418.059065,618.059065
15,1,9,559.0079167,1159.007917,2,2,2,134.3059537,273.6219179,502.1959458,702.1959458
15,2,8,692.458875,1292.458875,3,3,3,214.1502627,347.8919247,582.6663441,782.6663441
15,3,7,692.458875,1292.458875,4,4,4,348.6321483,479.8611919,738.8406771,938.8406771
15,4,6,692.458875,1292.458875,5,5,5,458.6603656,602.8687398,917.0501485,1117.050149
