rankclass,s,r
1,0.00,0.0
1,0.05,0.146129416935
1,0.10,0.336487225806
1,0.15,0.494400887097
1,0.20,0.615706991935
1,0.25,0.73336741129
1,0.30,0.849180564516
1,0.35,0.951563870968
1,0.40,1.02647758065
1,0.45,1.08823653226
1,0.50,1.13836548387
1,0.55,1.17178975806
1,0.60,1.1865508871
1,0.65,1.19117540323
1,0.70,1.18987
1,0.75,1.17868580645
1,0.80,1.16353854839
1,0.85,1.14152572581
1,0.90,1.09905443548
1,0.95,1.01143846774
1,1.00,0.771933596774
2,0.00,0.0
2,0.05,0.149348683544
2,0.10,0.341004886076
2,0.15,0.495326037975
2,0.20,0.620368632911
2,0.25,0.728937987342
2,0.30,0.842921924051
2,0.35,0.946248481013
2,0.40,1.02959903797
2,0.45,1.09581426582
2,0.50,1.14777949367
2,0.55,1.18412037975
2,0.60,1.20379886076
2,0.65,1.21043405063
2,0.70,1.21385949367
2,0.75,1.20245620253
2,0.80,1.19620202532
2,0.85,1.17474063291
2,0.90,1.13159924051
2,0.95,1.04493278481
2,1.00,0.788845316456
