Filename,aire du plot,Nbr.plant/plot,ThermalTime,LAI_totale,LAI_vert,PAI_total,PAI_vert,Nbr.axe.tot.m2,Nbr.axe.croissance.m2
tmpirvh2w-100.csv,0.304545455,60,100,0.075429186,0.075429186,0.108513806,0.108513806,239.7014925,197.0149254
tmpvr9ccu-200.csv,0.304545455,60,200,0.139437098,0.139437098,0.175514639,0.175514639,512.238806,197.0149254
tmpt5couy-300.csv,0.304545455,60,300,0.262717833,0.262686981,0.305084554,0.305053701,801.1940299,279.1044776
tmpk7yx0g-400.csv,0.304545455,60,400,0.480614937,0.479877944,0.566923663,0.56618667,922.6865672,508.9552239
tmpwbufxq-500.csv,0.304545455,60,500,0.796214955,0.777930574,0.929096216,0.910573617,935.8208955,794.6268657
tmp4jhrpa-600.csv,0.304545455,60,600,1.218111471,1.160657902,1.414532926,1.350591569,935.8208955,876.7164179
tmp073ep1-700.csv,0.304545455,60,700,1.832812001,1.721630988,2.1018365,1.938086827,935.8208955,860.2985075
tmp4oqizz-800.csv,0.304545455,60,800,2.494269468,2.305334267,2.837279646,2.558288693,935.8208955,732.238806
tmpjft2sh-900.csv,0.304545455,60,900,3.158070167,2.896904812,3.579412313,3.201686813,935.8208955,715.8208955
tmp1d9fbl-1000.csv,0.304545455,60,1000,3.727481621,3.385362122,4.268327444,3.777915537,935.8208955,712.5373134
tmp8g5qo3-1100.csv,0.304545455,60,1100,4.042075212,3.623385819,4.813603394,4.21294947,935.8208955,574.6268657
tmptoasng-1200.csv,0.304545455,60,1200,4.092983566,3.606986715,5.257983382,4.570584755,932.5373134,459.7014925
tmpbu2nbp-1300.csv,0.304545455,60,1300,4.040089331,3.46343116,5.643749301,4.854651776,932.5373134,420.2985075
tmplcgvhl-1400.csv,0.304545455,60,1400,3.921674194,3.204794119,5.743466878,4.765358563,929.2537313,390.7462687
tmp2kyiee-1500.csv,0.304545455,60,1500,3.844905957,2.938863962,5.780381633,4.488139014,925.9701493,384.1791045
tmpmtlqld-1600.csv,0.304545455,60,1600,3.784486998,2.698242296,5.754957202,4.149540531,922.6865672,374.3283582
tmpxl7qmu-1700.csv,0.304545455,60,1700,3.656308002,2.351072189,5.63360735,3.624231776,919.4029851,367.761194
tmpd1e5fl-1800.csv,0.304545455,60,1800,3.43170164,1.844837474,5.4030864,2.863952996,902.9850746,328.358209
tmpvqlljh-1900.csv,0.304545455,60,1900,3.220299294,1.540192095,5.181204484,2.273018304,866.8656716,315.2238806
tmpsxxlkn-2000.csv,0.304545455,60,2000,2.983813426,1.35370453,4.928031069,1.923072481,814.3283582,282.3880597
tmplznyk3-2100.csv,0.304545455,60,2100,2.713604998,1.208856269,4.65138295,1.759266003,797.9104478,229.8507463
tmp4nkbmi-2200.csv,0.304545455,60,2200,2.378859203,1.058994151,4.291411099,1.654149548,742.0895522,193.7313433
tmpeh1_gg-2300.csv,0.304545455,60,2300,2.154794417,0.965135402,4.028290824,1.610011264,673.1343284,121.4925373
tmp_8mst8-2400.csv,0.304545455,60,2400,2.028903225,0.915785539,3.87011051,1.597601921,610.7462687,88.65671642
