traitement,date,TT,GC,ecartype
Caphorn_0N,17/11/2005,128,0.037,0.008
Caphorn_0N,28/11/2005,156,0.04,0.007
Caphorn_0N,12/12/2005,208,0.078,0.007
Caphorn_0N,20/12/2005,235,0.086,0.002
Caphorn_0N,18/01/2006,316,0.132,0.007
Caphorn_0N,07/02/2006,353,0.16,0.009
Caphorn_0N,02/03/2006,425,0.269,0.012
Caphorn_0N,14/03/2006,467,0.339,0.039
Caphorn_0N,21/03/2006,494,0.359,0.039
Caphorn_0N,29/03/2006,560,0.461,0.009
Caphorn_0N,06/04/2006,639,0.51,0.002
Caphorn_0N,11/04/2006,683,0.555,0.011
Caphorn_0N,18/04/2006,751,0.558,0.003
Caphorn_0N,24/04/2006,827,0.568,0.015
Caphorn_0N,03/05/2006,927,0.55,0.023
Caphorn_0N,10/05/2006,1026,0.533,0.014
Caphorn_0N,15/05/2006,1097,0.526,0.012
