id_dim,index_rel_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode,,,,,,,,
111,0.091,7.833,0.364,2.433,0.158,0.000,0.000,,,,,,,,
111,0.182,9.538,0.393,2.403,0.183,0.000,0.000,,,,,,,,
111,0.273,7.650,0.437,2.436,0.209,0.000,0.000,,,,,,,,
111,0.364,7.500,0.422,2.589,0.234,0.000,0.000,,,,,,,,
111,0.455,8.550,0.519,3.638,0.259,0.000,0.000,,,,,,,,
111,0.545,10.000,0.637,5.802,0.285,0.000,0.000,,,,,,,,
111,0.636,13.450,0.860,8.250,0.310,0.000,0.000,,,,,,,,
111,0.727,17.900,1.069,9.000,0.335,3.800,0.064,,,,,,,,
111,0.818,20.400,1.171,12.500,0.360,7.900,0.134,,,,,,,,
111,0.909,23.600,1.308,15.000,0.386,11.300,0.192,,,,,,,,
111,1.000,17.650,1.445,16.750,0.386,17.700,0.300,,,,,,,,
112,0.083,7.833,0.364,2.505,0.160,0.000,0.000,,,,,,,,
112,0.167,9.538,0.393,2.315,0.188,0.000,0.000,,,,,,,,
112,0.250,7.900,0.460,2.280,0.216,0.000,0.000,,,,,,,,
112,0.333,7.200,0.393,2.602,0.243,0.000,0.000,,,,,,,,
112,0.417,7.500,0.422,3.384,0.271,0.000,0.000
112,0.500,9.000,0.557,4.641,0.298,0.000,0.000
112,0.583,11.750,0.759,6.324,0.326,0.000,0.000
112,0.667,17.200,1.040,8.250,0.354,0.000,0.000
112,0.750,18.200,1.081,10.500,0.381,3.800,0.064
112,0.833,20.800,1.187,12.500,0.409,7.900,0.134
112,0.917,21.200,1.204,14.000,0.436,11.300,0.192
112,1.000,13.600,1.220,15.000,0.436,17.700,0.300
308,0.125,5.383,0.301,2.567,0.210,0.000,0.000
308,0.250,6.800,0.392,3.338,0.226,0.000,0.000
308,0.375,9.100,0.545,5.044,0.242,0.000,0.000
308,0.500,13.450,0.802,7.121,0.258,0.000,0.000
308,0.625,18.550,1.048,9.394,0.274,3.800,0.064
308,0.750,21.400,1.159,12.250,0.290,7.900,0.134
308,0.875,24.250,1.251,14.500,0.306,11.300,0.192
308,1.000,20.075,1.344,17.250,0.306,17.700,0.300
309,0.111,5.383,0.301,2.588,0.212,0.000,0.000
309,0.222,7.150,0.416,3.057,0.230,0.000,0.000
309,0.333,9.000,0.539,4.373,0.248,0.000,0.000
309,0.444,11.700,0.704,6.249,0.266,0.000,0.000
309,0.556,16.500,0.956,8.124,0.284,0.000,0.000
309,0.667,18.500,1.045,10.000,0.302,3.800,0.064
309,0.778,20.300,1.118,12.500,0.320,7.900,0.134
309,0.889,20.700,1.133,14.000,0.338,11.300,0.192
309,1.000,14.150,1.148,15.000,0.338,17.700,0.300
408,0.125,5.500,0.287,2.704,0.192,0.000,0.000
408,0.250,7.850,0.418,3.225,0.200,0.000,0.000
408,0.375,9.400,0.504,5.317,0.208,0.000,0.000
408,0.500,13.550,0.734,7.408,0.217,0.000,0.000
408,0.625,17.300,0.942,9.500,0.225,3.800,0.064
408,0.750,19.900,1.086,12.250,0.233,7.900,0.134
408,0.875,22.100,1.208,14.500,0.242,11.300,0.192
408,1.000,16.925,1.330,16.250,0.242,17.700,0.300
507,0.143,6.300,0.298,2.731,0.167,0.000,0.000
507,0.286,8.400,0.412,3.585,0.169,0.000,0.000
507,0.429,12.800,0.650,6.687,0.171,0.000,0.000
507,0.571,16.300,0.839,8.000,0.173,3.800,0.064
507,0.714,19.200,0.995,11.500,0.175,7.900,0.134
507,0.857,21.500,1.120,14.000,0.177,11.300,0.192
507,1.000,16.950,1.244,16.500,0.177,17.700,0.300
606,0.167,10.000,0.319,2.731,0.167,0.000,0.000
606,0.333,13.450,0.504,5.485,0.169,0.000,0.000
606,0.500,17.900,0.689,8.239,0.170,3.800,0.064
606,0.667,20.400,0.874,10.992,0.172,7.900,0.134
606,0.833,23.600,1.059,13.746,0.174,11.300,0.192
606,1.000,17.650,1.244,16.500,0.174,17.700,0.300
