densité,date,Thermal time,LAI_vert
Soissons_2009_d228_N1,2009-03-09,353.4,0.04
Soissons_2009_d228_N1,2009-03-09,353.4,0.04
Soissons_2009_d228_N1,2009-03-09,353.4,0.05
Soissons_2009_d228_N1,2009-04-08,627.4,0.59
Soissons_2009_d228_N1,2009-04-08,627.4,0.49
Soissons_2009_d228_N1,2009-04-08,627.4,0.47
Soissons_2009_d228_N1,2009-04-27,911.3,1.51
Soissons_2009_d228_N1,2009-04-27,911.3,1.53
Soissons_2009_d228_N1,2009-04-27,911.3,1.75
Soissons_2009_d228_N1,2009-05-18,1187.4,5.34
Soissons_2009_d228_N1,2009-05-18,1187.4,3.54
Soissons_2009_d228_N1,2009-05-18,1187.4,2.27
Soissons_2009_d228_N1,2009-06-08,1558.9,3.10
Soissons_2009_d228_N1,2009-06-08,1558.9,2.52
Soissons_2009_d228_N1,2009-06-08,1558.9,3.63
