date  ,TT,GC,  ecartype
17/11/2005  ,128,0.05,0.002
28/11/2005  ,156,0.061,0.002
12/12/2005  ,208,0.123,0.001
20/12/2005  ,235,0.142,0.012
07/02/2006  ,353,0.255,0.022
02/03/2006  ,425,0.353,0.006
14/03/2006  ,467,0.404,0.011
21/03/2006  ,494,0.459,0.032
29/03/2006  ,560,0.548,0.04
06/04/2006  ,639,0.604,0.029
11/04/2006  ,683,0.634,0.044
18/04/2006  ,751,0.63,0.008
24/04/2006  ,827,0.6,0.062
03/05/2006  ,927,0.53,0.015
10/05/2006  ,1026,0.498,0.039
15/05/2006  ,1097,0.463,0.037
