densité,date,Thermal time,LAI_vert
Soissons_2009_d514_N1,2009-03-09,353.4,0.19
Soissons_2009_d514_N1,2009-03-09,353.4,0.16
Soissons_2009_d514_N1,2009-03-09,353.4,0.15
Soissons_2009_d514_N1,2009-04-08,627.4,0.68
Soissons_2009_d514_N1,2009-04-08,627.4,0.84
Soissons_2009_d514_N1,2009-04-08,627.4,1.07
Soissons_2009_d514_N1,2009-04-27,911.3,2.19
Soissons_2009_d514_N1,2009-04-27,911.3,2.71
Soissons_2009_d514_N1,2009-04-27,911.3,3.82
Soissons_2009_d514_N1,2009-05-18,1187.4,4.46
Soissons_2009_d514_N1,2009-05-18,1187.4,3.76
Soissons_2009_d514_N1,2009-05-18,1187.4,5.84
Soissons_2009_d514_N1,2009-06-08,1558.9,1.68
Soissons_2009_d514_N1,2009-06-08,1558.9,3.48
Soissons_2009_d514_N1,2009-06-08,1558.9,4.47
