"plant","axe","nf","end","disp","dimIndex","phenIndex","emf1","ligf1","senf1","dispf1"
1,0,11,NA,NA,1,1,12.110161178174,163.004099202251,448.228268271029,648.228268271029
1,1,8,NA,NA,2,2,254.524162228083,391.252445751645,690.823112571728,890.823112571728
1,2,8,NA,NA,3,3,241.327908588125,376.719257812972,675.553642868147,875.553642868147
1,3,4,744.377166666667,1344.37716666667,4,4,361.760992551565,492.281357421902,790.815790267241,990.815790267241
1,4,3,682.596791666667,1282.59679166667,5,5,474.226259173417,608.64198587872,1008.56519987396,1208.56519987396
2,0,11,NA,NA,1,1,-53.819546949432,97.0743910746453,382.298560143423,582.298560143423
2,1,7,NA,NA,2,2,311.741580705731,448.469864229293,748.040531049376,948.040531049376
2,2,5,1117.399875,1717.399875,3,3,302.734390077412,438.125739302259,736.960124357434,936.960124357434
2,3,4,630.211916666667,1230.21191666667,4,4,410.011982176730,540.532347047067,839.066779892406,1039.06677989241
2,4,3,630.211916666667,1230.21191666667,5,5,527.475560262753,661.891286968056,1061.81450096330,1261.81450096330
3,0,11,NA,NA,1,1,-8.525725534204,142.368212489873,427.592381558651,627.59238155865
3,1,8,NA,NA,2,2,228.372206014186,365.100489537748,664.671156357831,864.671156357831
3,2,8,NA,NA,3,3,238.722716625417,374.114065850264,672.948450905439,872.948450905439
3,3,4,841.133625,1441.133625,4,4,378.992685169497,509.513050039834,808.047482885173,1008.04748288517
3,4,3,630.211916666667,1230.21191666667,5,5,500.921250689454,635.336977394758,1035.26019139,1235.26019139
4,0,8,307.420395833333,907.420395833333,1,1,24.488038195249,175.381976219326,460.606145288104,660.606145288104
4,1,9,NA,NA,2,2,229.438067474934,366.166350998496,665.737017818579,865.737017818579
4,2,8,NA,NA,3,3,234.920245825281,370.311595050128,669.145980105303,869.145980105303
4,3,4,841.133625,1441.133625,4,4,322.591422623522,453.111787493859,751.646220339198,951.646220339198
5,0,12,NA,NA,1,1,-7.41204475611099,143.481893267966,428.706062336744,628.706062336744
5,1,6,550.063791666667,1150.06379166667,2,2,229.773358322232,366.501641845794,666.072308665877,866.072308665877
5,2,8,NA,NA,3,3,235.479540708464,370.870889933311,669.705274988486,869.705274988486
5,3,4,744.377166666667,1344.37716666667,4,4,331.950183260016,462.470548130353,761.004980975692,961.004980975692
5,4,3,913.004416666667,1513.00441666667,5,5,409.729054374076,544.14478107938,944.067995074622,1144.06799507462
6,0,12,NA,NA,1,1,-11.1972265909510,139.696711433126,424.920880501904,624.920880501904
6,1,9,NA,NA,2,2,216.302696857863,353.030980381425,652.601647201508,852.601647201508
6,2,8,NA,NA,3,3,237.257501232343,372.648850457190,671.483235512365,871.483235512365
6,3,4,682.596791666667,1282.59679166667,4,4,329.319251573703,459.83961644404,758.37404928938,958.37404928938
6,4,3,630.211916666667,1230.21191666667,5,5,444.043348732252,578.459075437555,978.382289432797,1178.38228943280
7,0,12,NA,NA,1,1,2.00420268662301,152.898140710700,438.122309779478,638.122309779478
7,1,9,NA,NA,2,2,205.51713410306,342.245417626622,641.816084446705,841.816084446705
7,2,8,NA,NA,3,3,243.279335546417,378.670684771264,677.505069826439,877.505069826439
7,3,4,682.596791666667,1282.59679166667,4,4,312.084309149436,442.604674019773,741.139106865112,941.139106865112
7,4,3,550.063791666667,1150.06379166667,5,5,443.051209722501,577.466936427804,977.390150423046,1177.39015042305
8,0,11,NA,NA,1,1,-50.256159444054,100.637778580023,385.861947648801,585.861947648801
