N_cohort,id_axis,frequency,Nff,a_cohort,TT_col_0,TT_col_break,TT_col_nff,dTT_MS_cohort,n0,n1,n2,t0,t1,hs_t1,a,c,RMSE_gl
1.0,111.0,76.0,11.0,0.0102,-0.771289027,0.0,1078.0,0.0,4.871559739,3.24283148,5.8,476.832606953,621.685466007,6.34905890135,-3.83888397733e-09,-0.00458844157413,0.288717384629
1.0,110.0,21.0,10.0,0.00948531283868,-0.771289027,0.0,1053.49019608,-24.5098039216,4.42869067182,2.94802861818,5.27272727273,466.128511447,597.175662085,5.67171389224,-3.48989452484e-09,-0.00417131052194,0.288717384629
1.0,112.0,3.0,12.0,0.0108766479157,-0.771289027,0.0,1102.50980392,24.5098039216,5.31442880618,3.53763434182,6.32727272727,487.837779446,646.195269929,7.03682747496,-4.18787342981e-09,-0.00500557262632,0.288717384629
4.0,408.0,61.0,8.0,0.0088701754,246.101259993,0.0,1148.0,70.0,3.24283148,3.24283148,4.93,611.689462454,691.685466007,3.95241006281,-3.26305138073e-09,-0.00390017533801,0.288717384629
4.0,407.0,15.0,7.0,0.00797821776877,246.101259993,0.0,1123.49019608,45.4901960784,3.24283148,3.24283148,4.93,652.561897442,667.175662085,3.35942327675,-3.26305138073e-09,-0.00390017533801,0.288717384629
4.0,409.0,12.0,9.0,0.00971493630859,246.101259993,0.0,1172.50980392,94.5098039216,3.24283148,3.24283148,4.93,579.89979217,716.195269929,4.56693336557,-3.26305138073e-09,-0.00390017533801,0.288717384629
5.0,507.0,46.0,7.0,0.0084994261,334.414985483,0.0,1158.0,80.0,3.1215883222,3.24283148,4.93,701.685467686,701.685466007,3.12158830793,-3.26305138073e-09,-0.00390017533801,0.288717384629
5.0,508.0,45.0,8.0,0.00943290753118,334.414985483,0.0,1182.50980392,104.509803922,3.24283148,3.24283148,4.93,678.19355739,726.195269929,3.69562719571,-3.26305138073e-09,-0.00390017533801,0.288717384629
5.0,506.0,5.0,6.0,0.00750867993456,334.414985483,0.0,1133.49019608,55.4901960784,2.57368021476,3.24283148,4.93,677.175662085,677.175662085,2.57368021476,-3.26305138073e-09,-0.00390017533801,0.288717384629
5.0,509.0,1.0,9.0,0.0103139494903,334.414985483,0.0,1207.01960784,129.019607843,3.24283148,3.24283148,4.93,648.827178703,750.70507385,4.29359494472,-3.26305138073e-09,-0.00390017533801,0.288717384629
6.0,607.0,110.0,7.0,0.0096959924,446.052240385,0.0,1168.0,90.0,2.5755777403,3.24283148,4.93,711.685466366,711.685466007,2.57557773682,-3.26305138073e-09,-0.00390017533801,0.288717384629
6.0,606.0,29.0,6.0,0.00860291578773,446.052240385,0.0,1143.49019608,65.4901960784,2.07436449134,3.24283148,4.93,687.175662085,687.175662085,2.07436449134,-3.26305138073e-09,-0.00390017533801,0.288717384629
6.0,608.0,4.0,8.0,0.010717287078,446.052240385,0.0,1192.50980392,114.509803922,3.10954614131,3.24283148,4.93,736.195269929,736.195269929,3.10954614131,-3.26305138073e-09,-0.00390017533801,0.288717384629
7.0,706.0,14.0,6.0,0.0098490977,568.807142346,0.0,1178.0,100.0,1.5057135527,3.24283148,4.93,721.685466692,721.685466007,1.50571354595,-3.26305138073e-09,-0.00390017533801,0.288717384629
7.0,707.0,8.0,7.0,0.0110461899948,568.807142346,0.0,1202.50980392,124.509803922,1.95946296011,3.24283148,4.93,746.195269929,746.195269929,1.95946296011,-3.26305138073e-09,-0.00390017533801,0.288717384629
7.0,708.0,1.0,8.0,0.0121541301925,568.807142346,0.0,1227.01960784,149.019607843,2.4538937451,3.24283148,4.93,770.70507385,770.70507385,2.4538937451,-3.26305138073e-09,-0.00390017533801,0.288717384629
7.0,705.0,1.0,5.0,0.00855164172808,568.807142346,0.0,1153.49019608,75.4901960784,1.09776158998,3.24283148,4.93,697.175662085,697.175662085,1.09776158998,-3.26305138073e-09,-0.00390017533801,0.288717384629
