plant,axe,nf,end,disp,dimIndex,phenIndex,earIndex,emf1,ligf1,senf1,dispf1
1,0,9,NaN,NaN,109,109,1,-5.3128,182.43,500,852.02
2,0,9,NaN,NaN,109,109,1,-22.252,165.49,500,852.02
3,0,9,NaN,NaN,109,109,1,-11.316,176.43,500,852.02
4,0,9,NaN,NaN,109,109,1,11.556,199.3,500,852.02
5,0,9,NaN,NaN,109,109,1,-0.13224,187.61,500,852.02
6,0,9,NaN,NaN,109,109,1,4.7922,192.54,500,852.02
7,0,9,NaN,NaN,109,109,1,10.442,198.19,500,852.02
8,0,9,NaN,NaN,109,109,1,-20.204,167.54,500,852.02
9,0,9,NaN,NaN,109,109,1,-5.4468,182.3,500,852.02
10,0,10,NaN,NaN,110,110,1,-6.043,164.18,500,819.17
11,0,10,NaN,NaN,110,110,1,-9.1814,161.04,500,819.17
12,0,10,NaN,NaN,110,110,1,-0.82082,169.4,500,819.17
13,0,10,NaN,NaN,110,110,1,16.21,186.43,500,819.17
14,0,10,NaN,NaN,110,110,1,0.61561,170.84,500,819.17
15,0,10,NaN,NaN,110,110,1,13.274,183.5,500,819.17
16,0,10,NaN,NaN,110,110,1,-5.962,164.26,500,819.17
17,0,10,NaN,NaN,110,110,1,1.0752,171.3,500,819.17
18,0,10,NaN,NaN,110,110,1,-6.8289,163.4,500,819.17
19,0,10,NaN,NaN,110,110,1,6.8694,177.09,500,819.17
20,0,10,NaN,NaN,110,110,1,-1.5121,168.71,500,819.17
21,0,10,NaN,NaN,110,110,1,5.8014,176.03,500,819.17
22,0,10,NaN,NaN,110,110,1,7.6816,177.91,500,819.17
23,0,10,NaN,NaN,110,110,1,0.21679,170.44,500,819.17
24,0,10,NaN,NaN,110,110,1,9.8917,180.12,500,819.17
25,0,10,NaN,NaN,110,110,1,24.093,194.32,500,819.17
26,0,10,NaN,NaN,110,110,1,6.2464,176.47,500,819.17
27,0,10,NaN,NaN,110,110,1,0.88213,171.11,500,819.17
28,0,10,NaN,NaN,110,110,1,10.131,180.36,500,819.17
29,0,11,NaN,NaN,111,111,1,1.5594,158.97,500,795.14
30,0,11,NaN,NaN,111,111,1,-10.071,147.34,500,795.14
