"index","index_phytomer","L_blade","W_blade","L_sheath","W_sheath","L_internode","W_internode","dtt_em_phytomer"
111,0.090909,7.83,0.3642,2.43,0.1580,0.00,0.0000,-33.34
111,0.181818,9.54,0.3925,2.40,0.1833,0.00,0.0000,48.91
111,0.272727,7.65,0.4366,2.44,0.2086,0.00,0.0000,131.16
111,0.363636,7.50,0.4222,2.59,0.2339,0.00,0.0000,213.42
111,0.454545,8.55,0.5186,3.64,0.2592,0.00,0.0000,295.67
111,0.545455,10.00,0.6366,5.80,0.2845,0.00,0.0000,377.92
111,0.636364,13.45,0.8597,8.25,0.3098,0.00,0.0000,460.19
111,0.727273,17.90,1.0690,9.00,0.3352,3.80,0.0644,551.72
111,0.818182,20.40,1.1708,12.50,0.3605,7.90,0.1339,643.24
111,0.909091,23.60,1.3079,15.00,0.3858,11.30,0.1915,734.76
111,1.000000,17.65,1.4450,16.75,0.3858,17.70,0.3000,826.29
112,0.083333,7.83,0.3642,2.50,0.1603,0.00,0.0000,-26.70
112,0.166667,9.54,0.3925,2.32,0.1879,0.00,0.0000,51.46
112,0.250000,7.90,0.4601,2.28,0.2155,0.00,0.0000,129.61
112,0.333333,7.20,0.3928,2.60,0.2431,0.00,0.0000,207.77
112,0.416667,7.50,0.4222,3.38,0.2707,0.00,0.0000,285.92
112,0.500000,9.00,0.5570,4.64,0.2983,0.00,0.0000,364.08
112,0.583333,11.75,0.7587,6.32,0.3259,0.00,0.0000,442.23
112,0.666667,17.20,1.0396,8.25,0.3536,0.00,0.0000,526.66
112,0.750000,18.20,1.0815,10.50,0.3812,3.80,0.0644,612.92
112,0.833333,20.80,1.1871,12.50,0.4088,7.90,0.1339,699.18
112,0.916667,21.20,1.2036,14.00,0.4364,11.30,0.1915,785.45
112,1.000000,13.60,1.2200,15.00,0.4364,17.70,0.3000,871.71
308,0.125000,NA,NA,NA,NA,NA,NA,245.80
308,0.250000,NA,NA,NA,NA,NA,NA,314.10
308,0.375000,NA,NA,NA,NA,NA,NA,382.40
308,0.500000,NA,NA,NA,NA,NA,NA,450.70
308,0.625000,NA,NA,NA,NA,NA,NA,547.54
308,0.750000,NA,NA,NA,NA,NA,NA,648.87
308,0.875000,NA,NA,NA,NA,NA,NA,750.21
308,1.000000,NA,NA,NA,NA,NA,NA,851.54
309,0.111111,NA,NA,NA,NA,NA,NA,160.60
309,0.222222,NA,NA,NA,NA,NA,NA,246.10
309,0.333333,NA,NA,NA,NA,NA,NA,331.60
309,0.444444,NA,NA,NA,NA,NA,NA,417.10
309,0.555556,NA,NA,NA,NA,NA,NA,504.50
309,0.666667,NA,NA,NA,NA,NA,NA,593.81
309,0.777778,NA,NA,NA,NA,NA,NA,683.11
309,0.888889,NA,NA,NA,NA,NA,NA,772.42
309,1.000000,NA,NA,NA,NA,NA,NA,861.73
408,0.125000,NA,NA,NA,NA,NA,NA,258.89
408,0.250000,NA,NA,NA,NA,NA,NA,327.91
408,0.375000,NA,NA,NA,NA,NA,NA,396.94
408,0.500000,NA,NA,NA,NA,NA,NA,468.29
408,0.625000,NA,NA,NA,NA,NA,NA,564.28
408,0.750000,NA,NA,NA,NA,NA,NA,660.28
408,0.875000,NA,NA,NA,NA,NA,NA,756.27
408,1.000000,NA,NA,NA,NA,NA,NA,852.26
507,0.142857,NA,NA,NA,NA,NA,NA,349.88
507,0.285714,NA,NA,NA,NA,NA,NA,407.00
507,0.428571,NA,NA,NA,NA,NA,NA,467.62
507,0.571429,NA,NA,NA,NA,NA,NA,573.37
507,0.714286,NA,NA,NA,NA,NA,NA,679.11
507,0.857143,NA,NA,NA,NA,NA,NA,784.86
507,1.000000,NA,NA,NA,NA,NA,NA,890.61
606,0.166667,NA,NA,NA,NA,NA,NA,374.24
606,0.333333,NA,NA,NA,NA,NA,NA,450.63
606,0.500000,NA,NA,NA,NA,NA,NA,586.85
606,0.666667,NA,NA,NA,NA,NA,NA,731.42
606,0.833333,NA,NA,NA,NA,NA,NA,875.99
606,1.000000,NA,NA,NA,NA,NA,NA,1020.57
