"index","nrel","tip","col","ssi","disp"
1,0,-145.452902507696,-94.9613297016672,-94.0322663341269,-94.0322663341269
1,0.090909090909091,0,0,0,0
1,0.181818181818182,96.963278293658,91.6318713547571,90.846815843102,90.846815843102
1,0.272727272727273,190.242123812021,175.621933462309,180.636380964576,180.636380964576
1,0.363636363636364,278.367192875640,258.260886777083,275.775509903711,275.775509903711
1,0.454545454545455,362.272665960595,341.515405218778,377.989530921591,377.989530921591
1,0.545454545454545,444.151861784512,435.519051606166,528.865048365512,528.865048365512
1,0.636363636363636,532.256160451595,534.510744588407,795.552927121016,795.552927121016
1,0.727272727272727,627.429000567115,632.541563073041,1117.92654296225,1117.92654296225
1,0.818181818181818,727.797401732372,729.095591034192,1355.35784643902,1355.35784643902
1,0.909090909090909,824.091164815992,827.354540027188,1512.41438018947,1512.41438018947
1,1,921.538467309252,925.711211133228,1640.03554156565,1640.03554156565
2,0,-93.6611598605975,-83.9900621075517,-89.7895651214743,-89.7895651214743
2,0.111111111111111,0,0,0,0
2,0.222222222222222,88.921926962545,82.8308159100444,94.0098350697964,94.0098350697964
2,0.333333333333333,172.911989070097,164.983308813995,196.223856087677,196.223856087677
2,0.444444444444444,254.898458466687,258.986955201382,335.826618992002,335.826618992002
2,0.555555555555556,341.900731596026,357.400137654839,594.716454702937,594.716454702937
2,0.666666666666667,436.495061182761,455.825670811774,917.602617681475,917.602617681475
2,0.777777777777778,536.863462348018,552.17671816332,1167.76177856307,1167.76177856307
2,0.888888888888889,633.551940103938,650.435667156315,1328.33937864674,1328.33937864674
2,1,730.796261987594,748.783128176951,1455.96054002292,1455.96054002292
3,0,-91.0683755838234,-83.3476247459075,-90.9679234916764,-90.9679234916764
3,0.125,0,0,0,0
3,0.25,83.9900621075517,81.8791958239164,102.214021017880,102.214021017880
3,0.375,166.493340340005,173.187678792554,211.452036992875,211.452036992875
3,0.5,250.527152970560,270.042561919898,449.336748999513,449.336748999513
3,0.625,344.530799357947,369.53131446049,769.755995486449,769.755995486449
3,0.75,443.931584396439,465.55707712321,1058.0469613083,1058.0469613083
3,0.875,541.683281536016,563.594554036702,1224.40678456271,1224.40678456271
3,1,638.380846651343,661.917206399301,1355.7302092576,1355.7302092576
4,0,-83.9900621075516,-81.8791958239165,-102.214021017880,-102.214021017880
4,0.142857142857143,0,0,0,0
4,0.285714285714286,82.1015260487073,93.6160779728109,132.842688614507,132.842688614507
4,0.428571428571429,168.442933683436,191.682337751931,387.056173916913,387.056173916913
4,0.571428571428571,262.690340595834,290.344574413645,710.24970247438,710.24970247438
4,0.714285714285714,363.058741761091,386.573897833785,968.041537455695,968.041537455695
4,0.857142857142857,459.98392302179,484.83284682678,1130.73065960865,1130.73065960865
4,1,557.10652097404,583.174784719832,1258.35182098482,1258.35182098482
5,0,-81.8791958239165,-94.0036463873876,-147.826090049804,-147.826090049804
5,0.166666666666667,0,0,0,0
5,0.333333333333333,87.8061863599261,98.8351983253178,264.578406221787,264.578406221787
5,0.5,182.822531818523,196.972792286198,587.090672760667,587.090672760667
5,0.666666666666667,283.190932983779,293.471911340282,827.965027969146,827.965027969146
5,0.833333333333333,379.591471543645,391.730860333278,985.974056169404,985.974056169404
5,1,476.983865129839,490.085039990876,1113.59521754558,1113.59521754558
