"plant","axe","nf","end","disp","dimIndex","phenIndex","emf1","ligf1","senf1","dispf1"
1,0,9,550.063791666667,1150.06379166667,1,1,-21.9418088074138,118.168707372217,364.842956709239,564.842956709239
1,1,9,NA,NA,2,2,202.861374869215,339.177760715120,594.032278687848,794.032278687848
1,2,8,NA,NA,3,3,264.107439336295,399.133790698445,655.317746404294,855.317746404294
1,3,5,1015.07358333333,1615.07358333333,4,4,395.656325215208,529.808145754066,798.622148929892,998.622148929892
2,0,12,NA,NA,1,1,-47.0574196892767,93.0530964903544,339.727345827376,539.727345827376
2,1,9,NA,NA,2,2,238.830031759305,375.146417605210,630.000935577938,830.000935577938
2,2,6,702.105125,1302.105125,3,3,291.517561806407,426.543913168557,682.727868874406,882.727868874406
2,3,5,630.211916666667,1230.21191666667,4,4,369.438846862103,503.590667400961,772.404670576787,972.404670576787
3,0,11,NA,NA,1,1,-7.89872658065675,132.211789598974,378.886038935996,578.886038935996
3,1,7,550.063791666667,1150.06379166667,2,2,188.700051060813,325.016436906718,579.870954879446,779.870954879446
3,2,8,NA,NA,3,3,239.590874379164,374.617225741314,630.801181447163,830.801181447163
3,3,5,630.211916666667,1230.21191666667,4,4,333.530344521277,467.682165060135,736.49616823596,936.49616823596
3,4,4,550.063791666667,1150.06379166667,5,5,488.319257106006,630.979112889151,981.119672572798,1181.11967257280
4,0,11,NA,NA,1,1,9.41477190231826,149.525288081949,396.199537418971,596.199537418971
4,1,8,NA,NA,2,2,195.408104722684,331.724490568589,586.579008541317,786.579008541317
4,2,6,744.377166666667,1344.37716666667,3,3,246.042743716319,381.069095078469,637.253050784318,837.253050784318
4,3,5,630.211916666667,1230.21191666667,4,4,331.96259008473,466.114410623588,734.928413799414,934.928413799414
5,0,11,NA,NA,1,1,-47.2072892507587,92.9032269288724,339.577476265894,539.577476265894
5,1,7,814.641958333333,1414.64195833333,2,2,226.485903138248,362.802288984153,617.656806956880,817.65680695688
5,2,6,630.211916666667,1230.21191666667,3,3,279.781771191648,414.808122553798,670.992078259647,870.992078259647
5,3,5,630.211916666667,1230.21191666667,4,4,401.999030761936,536.150851300794,804.96485447662,1004.96485447662
6,0,11,NA,NA,1,1,40.8797273763233,180.990243555954,427.664492892976,627.664492892976
6,1,7,630.211916666667,1230.21191666667,2,2,186.819268332213,323.135654178118,577.990172150846,777.990172150846
6,2,8,NA,NA,3,3,222.915037281351,357.941388643501,614.12534434935,814.12534434935
6,3,5,744.377166666667,1344.37716666667,4,4,300.878139465048,435.029960003906,703.843963179732,903.843963179732
6,4,4,559.007916666667,1159.00791666667,5,5,409.757730897810,552.417586680955,902.558146364602,1102.55814636460
7,0,11,NA,NA,1,1,0.384463483046267,140.494979662677,387.169228999699,587.169228999699
7,1,9,NA,NA,2,2,198.202585068827,334.518970914732,589.37348888746,789.37348888746
7,2,6,630.211916666667,1230.21191666667,3,3,248.717090069470,383.74344143162,639.92739713747,839.92739713747
7,3,5,630.211916666667,1230.21191666667,4,4,351.117091596378,485.268912135236,754.082915311062,954.082915311062
8,0,11,NA,NA,1,1,86.6866430731395,226.797159252771,473.471408589792,673.471408589792
8,1,9,NA,NA,2,2,140.941897277723,277.258283123628,532.112801096355,732.112801096355
8,2,6,702.105125,1302.105125,3,3,200.103017771520,335.12936913367,591.31332483952,791.31332483952
8,3,5,630.211916666667,1230.21191666667,4,4,287.567369299602,421.71918983846,690.533193014286,890.533193014286
8,4,4,559.007916666667,1159.00791666667,5,5,389.384414144099,532.044269927244,882.18482961089,1082.18482961089
9,0,9,559.007916666667,1159.00791666667,1,1,45.5244119177253,185.634928097356,432.309177434378,632.309177434378
9,1,7,413.690770833333,1013.69077083333,2,2,209.02731399774,345.343699843645,600.198217816373,800.198217816373
9,2,9,NA,NA,3,3,228.934293245553,363.960644607703,620.144600313552,820.144600313552
9,3,5,814.641958333333,1414.64195833333,4,4,331.774912347905,465.926732886763,734.740736062589,934.740736062589
