id_phen,index_phytomer,TT_app_phytomer,TT_col_phytomer,TT_sen_phytomer,TT_del_phytomer
110,1,-0.77128902699999968,107.10583987569998,528.25921509990508,851.89060180800504
111,1,-0.7712890270000009,97.298606993042114,523.54418078896651,817.66182784779005
112,1,-0.77128902699998969,89.126318391916683,519.71320349107339,789.40602574782338
407,1,246.10125999260779,374.94393713652096,884.71407725683423,1271.2421086885738
408,1,246.10125999260782,358.83860249353182,747.82947318327001,1086.0415006860421
409,1,246.10125999260782,346.31223110454027,671.2795228676855,971.91243620348291
506,1,334.41498548280379,471.67915456900317,1128.147647308871,1539.9401545674691
507,1,334.4149854828039,452.06998755668906,922.12726986837333,1275.0922760900289
508,1,334.41498548280384,437.36311229745337,813.93180784203412,1122.7761882859827
509,1,334.41498548280379,425.92443154027006,733.40696129768492,1007.9352994700837
606,1,446.05224038476473,566.37686698730397,1138.1476473088724,1499.1215271164901
607,1,446.05224038476467,549.18763461551259,932.12726986837345,1241.5334525606172
608,1,446.05224038476456,536.295710336669,860.32212203080542,1131.0525318865186
705,1,568.80714234554921,690.64571387643934,1406.4728202614947,1771.9885348541652
706,1,568.80714234554898,670.33928528795752,1148.1476473088715,1452.744076136097
707,1,568.80714234554898,655.83469343904198,942.12726986837288,1203.2099231488519
