index , nrel , tip , col , ssi , disp
1 , 0 , -145.4529025 , -94.9613297 , -94.03226633 , -94.03226633
1 , 0.090909091 , 0 , 0 , 0 , 0
1 , 1 , 921.5384673 , 925.7112111 , 1640.035542 , 1640.035542
