id_axis,id_cohort,cardinality,N_phytomer_potential,a_cohort,TT_hs_0,TT_hs_break,TT_flag_ligulation,dTT_MS_cohort,n0,n1,n2,t0,t1,hs_t1,a,c,RMSE_gl
MS,1,82,11,0.010099327,-2.185623649,0.0,1086.995908,0.0,4.861109206,2.825518619,5.941175036000001,479.14439032123784,665.8932273488575,6.74714677801164,-7.83120200550464e-09,-0.002700521410193673,0.18908630112298502
MS,1,14,10,0.009181205987637515,-2.185623649,0.0,1086.995908,0.0,4.4191901872727275,2.56865329,5.401068214545455,479.14441003319416,665.8932273488575,6.133769546995521,-7.119274550458763e-09,-0.0024550194638124296,0.18908630112298502
MS,1,4,12,0.011017447185165018,-2.185623649,0.0,1086.995908,0.0,5.303028224727273,3.082383948,6.4812818574545465,479.1444100331941,665.8932273488575,7.360523456394626,-8.543129460550517e-09,-0.002946023356574916,0.18908630112298502
T1,4,67,8,0.008121459937007523,245.3556234063731,0.0,1230.400192,143.40428399999996,2.825518619,2.825518619,5.0499987806,593.2633445446376,809.2975113488575,4.580031449725273,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1,4,10,9,0.009136642429133464,245.3556234063731,0.0,1230.400192,143.40428399999996,2.825518619,2.825518619,5.0499987806,554.6069310848303,809.2975113488575,5.152535380940932,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1,4,10,7,0.007106277444881582,245.3556234063731,0.0,1230.400192,143.40428399999996,2.825518619,2.825518619,5.0499987806,642.9644475643896,809.2975113488575,4.0075275185096135,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1.0,6,63,7,0.008746189492226502,453.2902709328865,0.0,1253.638812,166.64290399999982,2.825518619,2.825518619,5.0499987806,776.3473715721173,832.5361313488573,3.316956159340563,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1.0,6,8,6,0.0074967338504798595,453.2902709328865,0.0,1253.638812,166.64290399999982,2.825518619,2.825518619,5.0499987806,830.1902216786557,832.5361313488573,2.8431052794347687,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1.0,6,4,8,0.009995645133973146,453.2902709328865,0.0,1253.638812,166.64290399999982,2.825518619,2.825518619,5.0499987806,735.9652339922134,832.5361313488573,3.790807039246358,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1.1,7,6,6,0.008722325671795518,572.1100695194656,0.0,1260.0,173.0040919999999,2.327005278094629,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,2.327005278094629,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1.1,7,2,7,0.010176046617094772,572.1100695194656,0.0,1260.0,173.0040919999999,2.714839491110401,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,2.714839491110401,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T1.1,7,1,5,0.007268604726496266,572.1100695194656,0.0,1260.0,173.0040919999999,1.9391710650788576,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,1.9391710650788576,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T2,5,48,8,0.009205504137066825,334.4704723463074,0.0,1203.5157609999999,116.51985299999978,2.825518619,2.825518619,5.0499987806,641.4084278269622,782.4130803488573,4.123537531135976,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T2,5,44,7,0.008054816119933472,334.4704723463074,0.0,1203.5157609999999,116.51985299999978,2.825518619,2.825518619,5.0499987806,685.2567071813414,782.4130803488573,3.6080953397439792,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T2,5,5,6,0.006904128102800119,334.4704723463074,0.0,1203.5157609999999,116.51985299999978,2.825518619,2.825518619,5.0499987806,743.721079653847,782.4130803488573,3.092653148351982,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T2,5,2,9,0.010356192154200179,334.4704723463074,0.0,1203.5157609999999,116.51985299999978,2.825518619,2.825518619,5.0499987806,607.3042105513339,782.4130803488573,4.638979722527973,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T2.0,7,7,6,0.008722325671795518,572.1100695194656,0.0,1260.0,173.0040919999999,2.327005278094629,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,2.327005278094629,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T2.0,7,4,7,0.010176046617094772,572.1100695194656,0.0,1260.0,173.0040919999999,2.714839491110401,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,2.714839491110401,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T2.0,7,1,5,0.007268604726496266,572.1100695194656,0.0,1260.0,173.0040919999999,1.9391710650788576,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,1.9391710650788576,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T3,6,64,7,0.008746189492226502,453.2902709328865,0.0,1253.638812,166.64290399999982,2.825518619,2.825518619,5.0499987806,776.3473715721173,832.5361313488573,3.316956159340563,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T3,6,10,6,0.0074967338504798595,453.2902709328865,0.0,1253.638812,166.64290399999982,2.825518619,2.825518619,5.0499987806,830.1902216786557,832.5361313488573,2.8431052794347687,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T3,6,6,8,0.009995645133973146,453.2902709328865,0.0,1253.638812,166.64290399999982,2.825518619,2.825518619,5.0499987806,735.9652339922134,832.5361313488573,3.790807039246358,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T4,7,8,6,0.008722325671795518,572.1100695194656,0.0,1260.0,173.0040919999999,2.327005278094629,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,2.327005278094629,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T4,7,2,5,0.007268604726496266,572.1100695194656,0.0,1260.0,173.0040919999999,1.9391710650788576,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,1.9391710650788576,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
T4,7,2,7,0.010176046617094772,572.1100695194656,0.0,1260.0,173.0040919999999,2.714839491110401,2.825518619,5.0499987806,838.8973193488574,838.8973193488574,2.714839491110401,-6.656521704678942e-09,-0.002295443198664622,0.18908630112298502
