N_cohort,a_cohort,TT_col_0,TT_col_nff,dTT_MS_cohort,n0,n1,n2
1,0.0102,-0.771289027,1078,0,4.871559739,3.24283148,5.8
4,0.0088701754,246.101259993,1148,70,3.24283148,3.24283148,4.93
5,0.0084994261,334.414985483,1158,80,3.1215883222,3.24283148,4.93
6,0.0096959924,446.052240385,1168,90,2.5755777403,3.24283148,4.93
7,0.0098490977,568.807142346,1178,100,1.5057135527,3.24283148,4.93
