date,ThermalTime,Nbr.axe.croissance.m2
07-nov,0.4,217
09-nov,17.2,217
15-nov,71.8,217
22-nov,115.5,227.9
24-nov,122.4,227.9
03-janv,154,267.6
18-janv,242.3,524.4
26-janv,268.3,593.1
01-févr,274.2,607.6
07-févr,298.1,654.6
14-févr,346.4,846.3
22-févr,387,987.4
03-mars,436.5,998.2
09-mars,460.6,1005.4
15-mars,516.2,1019.9
23-mars,583.1,1030.8
30-mars,662.6,958.4
13-avr,843,611.2
19-avr,911.1,542.5
28-avr,1054.8,419.5
03-mai,1117,376.1
09-mai,1212.1,343.6
20-mai,1368.7,343.6
09-juin,1686.8,343.6
07-juil,1787.8,343.6
