plant,axe,nf,end,disp,dimIndex,phenIndex,earIndex,emf1,ligf1,senf1,dispf1
1,0,9,NaN,NaN,109,109,1,5.855,193.6,500,852.02
1,1,6,987,2000,506,506,1,613.85,783.43,800,1152
2,0,9,NaN,NaN,109,109,1,0.94995,188.69,500,852.02
2,1,8,NaN,NaN,308,308,1,392.95,557.81,800,1152
2,2,7,NaN,NaN,407,407,1,498.95,666.96,900,1252
2,3,6,1015,2000,506,506,1,600.95,774.66,1000,1352
2,4,6,1003,2000,506,506,1,600.95,774.66,1000,1352
3,0,9,NaN,NaN,109,109,1,-1.7622,185.98,500,852.02
3,1,6,997,2000,506,506,1,606.24,778.25,800,1152
3,2,6,853,2000,606,606,1,726.24,864.59,900,1252
4,0,9,NaN,NaN,109,109,1,13.765,201.51,500,852.02
4,1,8,NaN,NaN,308,308,1,397.76,561.52,800,1152
4,2,6,1093,2000,406,406,1,497.76,699.76,900,1252
4,3,6,977,2000,506,506,1,619.76,787.45,1000,1352
4,4,6,969,2000,506,506,1,619.76,787.45,1000,1352
5,0,10,NaN,NaN,110,110,1,19.634,189.86,500,819.17
5,1,8,NaN,NaN,308,308,1,375.63,544.45,800,1119.2
5,2,6,1021,2000,506,506,1,579.63,760.16,900,1219.2
6,0,10,NaN,NaN,110,110,1,-4.2256,166,500,819.17
6,1,8,NaN,NaN,308,308,1,347.77,522.96,800,1119.2
6,2,7,NaN,NaN,407,407,1,445.77,627.97,900,1219.2
6,3,6,1077,2000,506,506,1,555.77,743.94,1000,1319.2
6,4,6,1087,2000,506,506,1,555.77,743.94,1000,1319.2
6,5,6,955,2000,606,606,1,647.77,811.23,1000,1319.2
6,6,6,941,2000,606,606,1,647.77,811.23,1000,1319.2
6,7,6,959,2000,606,606,1,647.77,811.23,1000,1319.2
7,0,10,NaN,NaN,110,110,1,2.0342,172.26,500,819.17
7,1,8,NaN,NaN,308,308,1,362.03,533.96,800,1119.2
7,2,6,1101,2000,406,406,1,454.03,670.02,900,1219.2
7,3,6,1059,2000,506,506,1,556.03,744.12,1000,1319.2
7,4,6,1067,2000,506,506,1,556.03,744.12,1000,1319.2
7,5,5,863,2000,605,605,1,658.03,858.25,1000,1319.2
7,6,5,883,2000,605,605,1,658.03,858.25,1000,1319.2
7,7,5,875,2000,605,605,1,658.03,858.25,1000,1319.2
8,0,10,NaN,NaN,110,110,1,-7.0765,163.15,500,819.17
8,1,6,NaN,NaN,406,406,1,444.92,663.83,800,1119.2
8,2,6,1049,2000,506,506,1,560.92,747.44,900,1219.2
9,0,10,NaN,NaN,110,110,1,7.8044,178.03,500,819.17
9,1,8,NaN,NaN,308,308,1,355.8,529.15,800,1119.2
9,2,6,NaN,NaN,406,406,1,451.8,668.5,900,1219.2
9,3,6,1031,2000,506,506,1,563.8,749.4,1000,1319.2
9,4,6,1039,2000,506,506,1,563.8,749.4,1000,1319.2
9,5,6,927,2000,606,606,1,663.8,822.13,1000,1319.2
9,6,6,919,2000,606,606,1,663.8,822.13,1000,1319.2
9,7,6,935,2000,606,606,1,663.8,822.13,1000,1319.2
10,0,10,NaN,NaN,110,110,1,-22.646,147.58,500,819.17
10,1,8,NaN,NaN,308,308,1,337.35,514.92,800,1119.2
10,2,7,NaN,NaN,407,407,1,425.35,612.99,900,1219.2
10,3,7,NaN,NaN,507,507,1,549.35,707.87,1000,1319.2
10,4,7,NaN,NaN,507,507,1,549.35,707.87,1000,1319.2
10,5,5,907,2000,605,605,1,637.35,845.85,1000,1319.2
10,6,5,893,2000,605,605,1,637.35,845.85,1000,1319.2
10,7,5,899,2000,605,605,1,637.35,845.85,1000,1319.2
