id_axis,N_phytomer_potential,a_cohort,TT_hs_0,TT_flag_ligulation,n0,n1,n2
MS,11,0.010099327,-2.185623649,1086.995908,4.861109206,2.825518619,5.941175036
MS,10,0.00933733,-5.324787389,1065.645186,4.226100958,3.159902645,5.020945907
MS,12,0.010530007,-7.615923895,1131.984454,4.502798688,2.9,5
T1,9,0.008003524,230.8404571,1230.400192,3.964954182,3.155209358,4.698471595
T1,8,0.009839556,238.0124606,1152.687834,4.803957465,3.4,5.2
T2,8,0.00916,306.0428,1179.81623,4.52252,3.31853,5.1
T2,7,0.007730943,298.0635277,1203.515761,3.965482855,3.318530761,4.619275805
T3,7,0.007212013,421.6935088,1392.296362,4.122868093,2.171320545,4.892604979
T3,6,0.007212013,421.6935088,1253.638812,3.312531855,2.313272547,4.762559823
T4,6,0.007511546,772.1446732,1570.915025,3.24283148,3.24283148,4.93
T4,7,0.007511546,772.1446732,1704.043417,3.24283148,3.24283148,4.93
