plant,axe,nf,end,disp,dimIndex,phenIndex,earIndex,emf1,ligf1,senf1,dispf1
18,0,10,NaN,NaN,110,110,1,-6.8289,163.4,500,819.17
18,1,7,NaN,NaN,407,407,1,443.17,626.06,800,1119.2
18,2,6,1065,2000,506,506,1,545.17,736.73,900,1219.2
18,3,6,931,2000,606,606,1,657.17,817.62,1000,1319.2
18,4,6,929,2000,606,606,1,657.17,817.62,1000,1319.2
19,0,10,NaN,NaN,110,110,1,6.8694,177.09,500,819.17
19,1,7,NaN,NaN,307,307,1,358.87,560.29,800,1119.2
19,2,7,NaN,NaN,407,407,1,458.87,637.57,900,1219.2
19,3,6,1007,2000,506,506,1,578.87,759.64,1000,1319.2
19,4,6,1005,2000,506,506,1,578.87,759.64,1000,1319.2
20,0,10,NaN,NaN,110,110,1,-1.5121,168.71,500,819.17
20,1,8,NaN,NaN,308,308,1,358.49,531.22,800,1119.2
20,2,7,NaN,NaN,407,407,1,438.49,622.62,900,1219.2
20,3,6,1057,2000,506,506,1,552.49,741.7,1000,1319.2
20,4,6,1053,2000,506,506,1,552.49,741.7,1000,1319.2
21,0,10,NaN,NaN,110,110,1,5.8014,176.03,500,819.17
21,1,6,1089,2000,406,406,1,443.8,663.06,800,1119.2
21,2,7,NaN,NaN,507,507,1,559.8,715.53,900,1219.2
21,3,6,923,2000,606,606,1,657.8,818.05,1000,1319.2
21,4,6,919,2000,606,606,1,657.8,818.05,1000,1319.2
22,0,10,NaN,NaN,110,110,1,7.6816,177.91,500,819.17
22,1,8,NaN,NaN,308,308,1,363.68,535.23,800,1119.2
22,2,7,NaN,NaN,407,407,1,455.68,635.23,900,1219.2
22,3,6,925,2000,606,606,1,657.68,817.97,1000,1319.2
22,4,6,927,2000,606,606,1,657.68,817.97,1000,1319.2
23,0,10,NaN,NaN,110,110,1,0.21679,170.44,500,819.17
23,1,8,NaN,NaN,308,308,1,354.22,527.93,800,1119.2
23,2,6,1087,2000,406,406,1,448.22,666.06,900,1219.2
23,3,6,1049,2000,506,506,1,554.22,742.88,1000,1319.2
23,4,6,1051,2000,506,506,1,554.22,742.88,1000,1319.2
23,5,6,949,2000,606,606,1,650.22,812.89,1000,1319.2
23,6,6,953,2000,606,606,1,650.22,812.89,1000,1319.2
23,7,6,947,2000,606,606,1,650.22,812.89,1000,1319.2
23,8,5,877,2000,705,705,1,766.22,929.08,1100,1419.2
23,9,5,873,2000,705,705,1,766.22,929.08,1100,1419.2
23,10,5,869,2000,705,705,1,766.22,929.08,1100,1419.2
23,11,5,869,2000,705,705,1,766.22,929.08,1100,1419.2
23,12,5,865,2000,705,705,1,766.22,929.08,1100,1419.2
24,0,10,NaN,NaN,110,110,1,9.8917,180.12,500,819.17
24,1,7,NaN,NaN,407,407,1,453.89,633.92,800,1119.2
24,2,6,1003,2000,506,506,1,579.89,760.34,900,1219.2
25,0,10,NaN,NaN,110,110,1,24.093,194.32,500,819.17
25,1,8,NaN,NaN,308,308,1,374.09,543.26,800,1119.2
25,2,7,NaN,NaN,407,407,1,474.09,648.73,900,1219.2
25,3,6,1017,2000,506,506,1,578.09,759.12,1000,1319.2
25,4,6,1017,2000,506,506,1,578.09,759.12,1000,1319.2
25,5,5,915,2000,605,605,1,672.09,866.69,1000,1319.2
25,6,5,911,2000,605,605,1,672.09,866.69,1000,1319.2
25,7,5,915,2000,605,605,1,672.09,866.69,1000,1319.2
26,0,10,NaN,NaN,110,110,1,6.2464,176.47,500,819.17
26,1,7,NaN,NaN,307,307,1,356.25,558.37,800,1119.2
26,2,7,NaN,NaN,407,407,1,452.25,632.71,900,1219.2
26,3,6,1035,2000,506,506,1,562.25,748.34,1000,1319.2
26,4,6,1035,2000,506,506,1,562.25,748.34,1000,1319.2
27,0,10,NaN,NaN,110,110,1,0.88213,171.11,500,819.17
27,1,6,1093,2000,406,406,1,438.88,659.72,800,1119.2
27,2,7,NaN,NaN,507,507,1,572.88,725.12,900,1219.2
28,0,10,NaN,NaN,110,110,1,10.131,180.36,500,819.17
28,1,8,NaN,NaN,308,308,1,362.13,534.03,800,1119.2
28,2,7,NaN,NaN,407,407,1,454.13,634.09,900,1219.2
28,3,6,1011,2000,506,506,1,578.13,759.14,1000,1319.2
28,4,6,1013,2000,506,506,1,578.13,759.14,1000,1319.2
29,0,11,NaN,NaN,111,111,1,1.5594,158.97,500,795.14
29,1,8,NaN,NaN,308,308,1,331.56,510.45,800,1095.1
29,2,6,1097,2000,406,406,1,431.56,654.74,900,1195.1
29,3,6,961,2000,606,606,1,627.56,797.49,1000,1295.1
29,4,6,965,2000,606,606,1,627.56,797.49,1000,1295.1
30,0,11,NaN,NaN,111,111,1,-10.071,147.34,500,795.14
30,1,8,NaN,NaN,308,308,1,321.93,503.02,800,1095.1
30,2,7,NaN,NaN,407,407,1,413.93,604.61,900,1195.1
30,3,6,1067,2000,506,506,1,517.93,718.2,1000,1295.1
30,4,6,1071,2000,506,506,1,517.93,718.2,1000,1295.1
30,5,6,969,2000,606,606,1,613.93,788.22,1000,1295.1
30,6,6,973,2000,606,606,1,613.93,788.22,1000,1295.1
30,7,6,967,2000,606,606,1,613.93,788.22,1000,1295.1
