id_axis,N_phytomer,index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
T2,8,1,11.7761615208,0.3803515,6.0073336721,0.158,0,0
T2,8,2,13.6385611679,0.4974441429,7.7207031349,0.1905428571,0,0
T2,8,3,15.6068979559,0.6145367857,9.1617207169,0.2230857143,3.3321922772,0
T2,8,4,17.2149304783,0.7316294286,9.986309669,0.2556285714,4.9131319049,0.0644
T2,8,5,17.6999691928,0.8487220714,10.3199523393,0.2881714286,7.3213066371,0.1822
T2,8,6,15.9067827999,0.9658147143,11.2071278116,0.3207142857,12.1806144956,0.3
T2,8,7,10.73604651,1.0829073571,14.72,0.3532571429,15.34666667,0.4178
T2,8,8,10.73604651,1.2,14.72,0.3858,15.34666667,0.5356
T2,7,1,11.6309141869,0.3803515,5.8632309609,0.158,0,0
T2,7,2,13.7514842922,0.5169595833,7.8147755718,0.1959666667,0,0
T2,7,3,15.9768891135,0.6535676667,9.3812479187,0.2339333333,3.7875586444,0
T2,7,4,17.5567914427,0.79017575,10.1274883556,0.2719,5.4727786539,0.0644
T2,7,5,17.2028745327,0.9267838333,10.5677336648,0.3098666667,9.4654259315,0.1822
T2,7,6,12.8957737657,1.0633919167,13.0953349904,0.3478333333,14.9401438309,0.3
T2,7,7,10.73604651,1.2,14.72,0.3858,15.34666667,0.4178
T3,7,1,9.7441578404,0.3803515,3.9573919558,0.158,0,0
T3,7,2,11.5749414925,0.5169595833,5.8074089417,0.1959666667,0,0
T3,7,3,14.0727891763,0.6535676667,8.0753510138,0.2339333333,0,0
T3,7,4,16.5879859897,0.79017575,9.7047312042,0.2719,4.3507561971,0
T3,7,5,17.7323569372,0.9267838333,10.2870124544,0.3098666667,6.9438651004,0.0644
T3,7,6,14.9953853219,1.0633919167,11.7244705911,0.3478333333,13.3756596428,0.3
T3,7,7,10.73604651,1.2,14.72,0.3858,15.34666667,0.5356
MS,10,1,9.611398422,0.3803515,2.771151354,0.158,0,0
MS,10,2,8.7881123121,0.4714235556,3.065959572,0.1833111111,0,0
MS,10,3,8.8391869635,0.5624956111,3.1647512496,0.2086222222,0,0
MS,10,4,9.6881605581,0.6535676667,3.9030321348,0.2339333333,0,0
MS,10,5,11.2813647296,0.7446397222,5.5123178,0.2592444444,0,0
MS,10,6,13.4670089284,0.8357117778,7.5753837682,0.2845555556,0,0
MS,10,7,15.8399831233,0.9267838333,9.3020590009,0.3098666667,3.6323106673,0
MS,10,8,17.5523788389,1.0178558889,10.1255627498,0.3351777778,5.4617057057,0.0644
MS,10,9,17.0897285289,1.1089279444,10.6193847702,0.3604888889,9.7869084243,0.1822
MS,10,10,12.0129632853,1.2,13.7347088982,0.3858,15.232083168,0.3
MS,11,1,9.446296296,0.3803515,2.843396226,0.158,0,0
MS,11,2,9.266666667,0.373503448,2.931481481,0.1833,0,0
MS,11,3,8.029185185,0.444632667,3.244444444,0.2086,0,0
MS,11,4,9.665185185,0.579264483,3.894339623,0.2339,0,0
MS,11,5,11.25962963,0.750448148,4.482352941,0.2592,0,0
MS,11,6,12.32777778,0.986183529,6.812727273,0.2845,0,0
MS,11,7,14.07333333,1.02,8.892307692,0.3098,1.553333333,0
MS,11,8,17.25333333,1.06,9.58,0.3352,4.446666667,0.0644
MS,11,9,17.74666667,1.08,10.11666667,0.3605,6.426666667,0.1339
MS,11,10,16.26444444,1.1,11.07333333,0.3858,11.3,0.1915
MS,11,11,10.73604651,1.2,14.72,0.3858,15.34666667,0.3
MS,12,1,9.4855758939,0.3803515,2.8408045626,0.158,0,0
MS,12,2,8.8144772459,0.454865,3.0641796379,0.1787090909,0,0
MS,12,3,8.7542036112,0.5293785,3.1069924092,0.1994181818,0,0
MS,12,4,9.2555198956,0.603892,3.5006199771,0.2201272727,0,0
MS,12,5,10.2922524317,0.6784055,4.5045693235,0.2408363636,0,0
MS,12,6,11.8170584239,0.752919,6.0477005987,0.2615454545,0,0
MS,12,7,13.7057145336,0.8274325,7.7767997303,0.2822545455,0,0
MS,12,8,15.6899246048,0.901946,9.2125003572,0.3029636364,3.4447109879,0
MS,12,9,17.278646529,0.9764595,10.0125550867,0.3236727273,4.9895696909,0.0644
MS,12,10,17.6679382513,1.050973,10.3424560746,0.3443818182,7.5694568384,0.1822
MS,12,11,15.6393229151,1.1254865,11.3534049302,0.3650909091,12.5740700032,0.3
MS,12,12,10.73604651,1.2,14.72,0.3858,15.34666667,0.4178
T1,7,1,8.9295103389,0.3803515,3.2309319398,0.158,0,0
T1,7,2,10.1896957457,0.5169595833,4.4006981494,0.1959666667,0,0
T1,7,3,12.4515908876,0.6535676667,6.6603990207,0.2339333333,0,0
T1,7,4,15.2774879208,0.79017575,8.9517916946,0.2719,2.8152873513,0
T1,7,5,17.5017392018,0.9267838333,10.1039673986,0.3098666667,5.3463629267,0.0644
T1,7,6,16.7154784788,1.0633919167,10.7949663311,0.3478333333,10.6970473164,0.3
T1,7,7,10.73604651,1.2,14.72,0.3858,15.34666667,0.5356
T1,8,1,8.9858429922,0.3803515,3.2744422284,0.158,0,0
T1,8,2,10.1011940506,0.4974441429,4.3114728309,0.1905428571,0,0
T1,8,3,11.9958755667,0.6145367857,6.2230453867,0.2230857143,0,0
T1,8,4,14.4207957451,0.7316294286,8.3452960642,0.2556285714,0,0
T1,8,5,16.7492976629,0.8487220714,9.7818605134,0.2881714286,4.482238744,0.0644
T1,8,6,17.7249894284,0.9658147143,10.2966663757,0.3207142857,7.0555632263,0.1822
T1,8,7,15.1649170497,1.0829073571,11.6242842385,0.3532571429,13.1826622632,0.3
T1,8,8,10.73604651,1.2,14.72,0.3858,15.34666667,0.4178
T1,10,1,9.0340190804,0.3803515,3.3128332752,0.158,0,0
T1,10,2,10.0341483965,0.4828075625,4.2441892587,0.186475,0,0
T1,10,3,11.6567657135,0.585263625,5.8889599521,0.21495,0,0
T1,10,4,13.7486513638,0.6877196875,7.8124311547,0.243425,0,0
T1,10,5,15.9438319948,0.79017575,9.3623489271,0.2719,3.7513532395,0
T1,10,6,17.5288758989,0.8926318125,10.1154383396,0.300375,5.4056759039,0.0644
T1,10,7,17.2861602325,0.995087875,10.529891351,0.32885,9.2091766145,0.1822
T1,10,8,13.315110125,1.0975439375,12.8038238187,0.357325,14.7333259049,0.3
T1,10,9,10.73604651,1.2,14.72,0.3858,15.34666667,0.4178
T1,10,10,8.73604651,1.3,15.72,0.4858,16.34666667,0.5178
T1,9,1,9.0340190804,0.3803515,3.3128332752,0.158,0,0
T1,9,2,10.0341483965,0.4828075625,4.2441892587,0.186475,0,0
T1,9,3,11.6567657135,0.585263625,5.8889599521,0.21495,0,0
T1,9,4,13.7486513638,0.6877196875,7.8124311547,0.243425,0,0
T1,9,5,15.9438319948,0.79017575,9.3623489271,0.2719,3.7513532395,0
T1,9,6,17.5288758989,0.8926318125,10.1154383396,0.300375,5.4056759039,0.0644
T1,9,7,17.2861602325,0.995087875,10.529891351,0.32885,9.2091766145,0.1822
T1,9,8,13.315110125,1.0975439375,12.8038238187,0.357325,14.7333259049,0.3
T1,9,9,10.73604651,1.2,14.72,0.3858,15.34666667,0.4178
T2,6,1,9.6088505462,0.3803515,3.8267611699,0.158,0,0
T2,6,2,11.7250269021,0.5442812,5.9567306364,0.20356,0,0
T2,6,3,14.6945916213,0.7082109,8.5483240228,0.24912,1.5597598918,0
T2,6,4,17.3211765264,0.8721406,10.0299432146,0.29468,5.0452130179,0.0644
T2,6,5,16.8777434491,1.0360703,10.7177784735,0.34024,10.3265086206,0.3
T2,6,6,10.73604651,1.2,14.72,0.3858,15.34666667,0.5356
T2,9,1,9.0340190804,0.3803515,3.3128332752,0.158,0,0
T2,9,2,10.0341483965,0.4828075625,4.2441892587,0.186475,0,0
T2,9,3,11.6567657135,0.585263625,5.8889599521,0.21495,0,0
T2,9,4,13.7486513638,0.6877196875,7.8124311547,0.243425,0,0
T2,9,5,15.9438319948,0.79017575,9.3623489271,0.2719,3.7513532395,0
T2,9,6,17.5288758989,0.8926318125,10.1154383396,0.300375,5.4056759039,0.0644
T2,9,7,17.2861602325,0.995087875,10.529891351,0.32885,9.2091766145,0.1822
T2,9,8,13.315110125,1.0975439375,12.8038238187,0.357325,14.7333259049,0.3
T2,9,9,10.73604651,1.2,14.72,0.3858,15.34666667,0.4178
T3,6,1,9.6088505462,0.3803515,3.8267611699,0.158,0,0
T3,6,2,11.7250269021,0.5442812,5.9567306364,0.20356,0,0
T3,6,3,14.6945916213,0.7082109,8.5483240228,0.24912,1.5597598918,0
T3,6,4,17.3211765264,0.8721406,10.0299432146,0.29468,5.0452130179,0.0644
T3,6,5,16.8777434491,1.0360703,10.7177784735,0.34024,10.3265086206,0.3
T3,6,6,10.73604651,1.2,14.72,0.3858,15.34666667,0.5356
T3,8,1,8.9858429922,0.3803515,3.2744422284,0.158,0,0
T3,8,2,10.1011940506,0.4974441429,4.3114728309,0.1905428571,0,0
T3,8,3,11.9958755667,0.6145367857,6.2230453867,0.2230857143,0,0
T3,8,4,14.4207957451,0.7316294286,8.3452960642,0.2556285714,0,0
