id_axis,a_cohort,TT_hs_0,TT_flag_ligulation,n0,n1,n2
MS,0.0102,-0.771289027,1078,4.871559739,3.24283148,5.8
T1,0.009978947,246.10126,1148,3.24283148,3.24283148,4.93
T2,0.01123678,446.0522404,1158,2.872494193,3.24283148,4.93
T3,0.008397464,334.4149855,1168,3.16811521,3.24283148,4.93
T4,0.007511546,246.10126,1178,3.24283148,3.24283148,4.93
