id_phen,index_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
1101,2,42.150839999999995,105.37710000000003,50.424900293896485,50.4249002938966
1101,3,147.52794000000003,210.75420000000008,130.4416488807035,130.4416488807035
1101,4,252.90504,316.13130000000007,365.5983145164615,365.59831451646164
1101,5,358.28213999999997,421.5084,600.0215617121286,600.0215617121287
1101,6,463.6592399999999,526.8855,816.5949471019945,816.5949471019946
1101,7,569.03634,632.2626,993.5376509237461,993.5376509237462
1101,8,674.41344,737.6397000000001,1135.385777850789,2167.49004406974
1101,9,779.79054,843.0168,1252.2786425129784,2167.49004406974
1101,10,885.1676400000001,948.3939000000001,1351.614465771037,2167.49004406974
1111,0,-100.0,-98.37331671471549,-42.60227497026722,-42.60227497026722
1111,1,0.0,0.0,0.0,0.0
1111,2,39.53207435302379,98.06873726948616,47.11558104209996,47.11558104209996
1111,3,137.60081162250998,196.13747453897236,94.23116208419992,94.23116208419992
1111,4,235.6695488919961,294.2062118084585,278.45239862412507,278.45239862412507
1111,5,333.73828616148216,392.27494907794454,503.8826706287979,503.8826706287979
1111,6,431.8070234309683,490.34368634743066,715.0485796116217,715.0485796116217
1111,7,529.8757607004544,588.4124236169168,897.9856917910869,2170.968725029733
1111,8,627.9444979699406,686.481160886403,1047.5948934002845,2170.968725029733
1111,9,726.0132352394269,784.5498981558893,1170.5833916796655,2170.968725029733
1111,10,824.0819725089129,882.6186354253754,1274.2945498434633,2170.968725029733
1111,11,922.1507097783991,980.6873726948616,1363.9618467310293,2170.968725029733
4071,0,-124.82442857142857,-124.82442857142857,-214.8333786365855,-214.83337863658562
4071,1,0.0,0.0,0.0,0.0
4071,2,49.92977142857134,124.82442857142854,237.50654159464625,237.50654159464625
4071,3,174.75419999999994,249.64885714285708,477.530681593973,477.530681593973
4071,4,299.57862857142857,374.4732857142857,677.396393128098,1756.6587137919857
4071,5,424.40305714285716,499.2977142857143,834.8752256940413,1756.6587137919857
4071,6,549.2274857142858,624.1221428571429,962.2992541143974,1756.6587137919857
4071,7,674.0519142857144,748.9465714285715,1069.1251212075697,1756.6587137919857
4081,0,-112.34637500000001,-112.34637500000002,-128.5654068211876,-128.5654068211876
4081,1,0.0,0.0,0.0,0.0
4081,2,44.93855000000002,112.34637500000002,196.07067587140705,196.07067587140705
4081,3,157.28492500000004,224.69275000000005,392.14135174281387,392.14135174281387
4081,4,269.6313,337.039125,629.2649811415149,1920.8271740538123
4081,5,381.97767500000003,449.3855,829.1306926756424,1920.8271740538123
4081,6,494.3240500000001,561.7318750000001,986.6095252415835,1920.8271740538123
4081,7,606.670425,674.07825,1114.0335536619395,1920.8271740538123
