id_cohort,id_axis,theoretical_cohort_cardinality,simulated_cohort_cardinality,theoretical_axis_cardinality,simulated_axis_cardinality
1,MS,220.0,220,220.0,220
3,T0,0.0,0,0.0,0
4,T1,194.26,194,194.26,194
5,T2,212.73999999999998,210,212.73999999999998,210
6,T1.0,338.45041999999995,334,158.71041999999997,157
6,T3,338.45041999999995,334,179.73999999999998,177
7,T1.1,52.041,57,16.12358,14
7,T2.0,52.041,57,17.65742,17
7,T4,52.041,57,18.26,26
