id_cohort,id_axis,theoretical_cohort_cardinality,simulated_cohort_cardinality,theoretical_axis_cardinality,simulated_axis_cardinality
1,MS,5.0,5,5.0,5
3,T0,0.0,0,0.0,0
4,T1,4.5,5,4.5,5
5,T2,4.835,5,4.835,5
6,T1.0,7.7615,10,3.6765,5
6,T3,7.7615,10,4.085,5
7,T1.1,1.189805,1,0.3735,1
7,T2.0,1.189805,1,0.401305,0
7,T4,1.189805,1,0.41500000000000004,0
