"numJ","sT","PAR"
353,0,0.62
354,7,1.96
355,16,0.88
356,24,0.42
357,32,0.59
358,39,1.53
359,42,1.12
360,47,1.33
361,48,2.14
362,48,2.03
363,48,1.94
364,48,1.92
365,48,0.55
366,48,0.56
1,48,0.37
2,49,1.58
3,49,2.01
4,49,1.57
5,49,0.79
6,49,1.09
7,49,2.06
8,49,2.33
9,49,2.05
10,49,2.24
11,51,2.37
12,53,1.28
13,57,0.66
14,60,0.71
15,62,2.35
16,65,1.07
17,72,1.01
18,78,1.59
19,85,1.79
20,88,1.05
21,89,0.89
22,95,0.72
23,102,1.34
24,106,1.68
25,110,1.5
26,113,1
27,116,1.02
28,118,1.78
29,118,2.5
30,120,2.98
31,121,2.68
32,121,2.86
33,121,0.77
34,122,3.26
35,123,1.53
36,129,1.98
37,135,3.09
38,136,0.61
39,137,2.74
40,144,0.64
41,148,0.76
42,151,3.66
43,153,2.59
44,154,1.34
45,155,4.24
46,157,3.83
47,162,1.52
48,169,2.37
49,174,0.97
50,178,4.29
51,183,2.19
52,189,2.21
53,195,1.26
54,201,1.18
55,207,1.69
56,211,4.63
57,216,1.59
58,220,1.57
59,227,5.02
60,234,2.11
61,241,4.04
62,247,4.41
63,250,1.93
64,252,2.53
65,256,5.55
66,261,2.7
67,269,2.66
68,275,4.93
69,282,2.6
70,290,5.85
71,299,1.94
72,307,4.08
73,316,2.3
74,324,6.49
75,332,6.88
76,341,6.57
77,351,6.81
78,359,7.08
79,366,7.13
80,371,7.27
81,376,2.67
82,384,5.82
83,389,4.43
84,396,3.04
85,404,2.05
86,411,3.92
87,417,4.91
88,422,6.09
89,427,7.11
90,435,7.98
91,445,7.76
92,456,7.93
93,466,4.88
94,475,4.85
95,486,4.83
96,499,8.21
97,510,5.54
98,520,2.29
99,534,7.65
100,548,5.1
101,561,5.41
102,574,7.16
103,586,6.73
104,600,5.88
105,614,6.49
106,625,4
107,635,6.22
108,644,2.01
109,654,3.6
110,666,8.93
111,677,8.39
112,689,8.56
113,700,9.36
114,712,10.32
115,723,5.85
116,734,4.81
117,743,5.26
118,751,6.49
119,760,6.4
120,771,9.32
121,784,10.29
122,795,5.34
123,805,4.17
124,814,9.01
125,825,3.5
126,836,5.48
127,852,8.96
128,864,7.24
129,877,5.03
130,891,7.27
131,904,2.06
132,916,4.51
133,931,6.3
134,944,3.38
135,956,6.45
136,968,6.06
137,979,4.78
138,991,8.29
139,1005,9.6
140,1020,10.06
141,1035,8.49
142,1047,12.18
143,1063,6.51
144,1082,10.68
145,1104,10.27
146,1116,5.32
147,1127,7.1
148,1141,3.08
149,1157,10.44
150,1173,12.43
151,1190,9.53
152,1208,11.01
153,1225,12.47
154,1241,11.19
155,1254,10.66
156,1267,11.8
157,1279,4.63
158,1290,7.59
159,1302,3.58
160,1316,7.04
161,1329,3.71
162,1343,9.74
163,1359,8
164,1377,9.29
165,1397,11.17
166,1412,2.51
167,1427,11.65
168,1445,11.41
169,1461,4.32
170,1475,9.17
171,1487,5.33
172,1500,10.28
173,1515,11.17
174,1530,11.42
175,1548,11.48
176,1568,9.17
177,1586,7.49
178,1604,12.28
179,1624,11.54
180,1647,12.37
181,1669,12.49
182,1691,12.16
183,1714,9.92
184,1735,10.93
185,1756,9.35
186,1776,9.37
187,1793,8.65
188,1808,6.95
189,1822,6.29
190,1837,7.08
191,1851,6.23
192,1869,4.72
193,1887,6.57
194,1906,9.62
195,1925,9.79
196,1929,0.72
