plant,axe,nf,end,disp,dimIndex,phenIndex,earIndex,emf1,ligf1,senf1,dispf1
1,0,9,NaN,NaN,109,109,1,17,204.28,500,852.02
1,1,6,957,2000,506,506,1,620.53,787.97,800,1152
2,0,9,NaN,NaN,109,109,1,8,195.82,500,852.02
2,1,8,NaN,NaN,308,308,1,390.08,555.59,800,1152
2,2,7,NaN,NaN,407,407,1,516.08,679.52,900,1252
3,0,9,NaN,NaN,109,109,1,21,208.32,500,852.02
3,1,7,NaN,NaN,407,407,1,506.57,672.55,800,1152
3,2,6,971,2000,506,506,1,608.57,779.84,900,1252
3,3,6,877,2000,606,606,1,756.57,885.22,1000,1352
3,4,6,881,2000,606,606,1,756.57,885.22,1000,1352
4,0,9,NaN,NaN,109,109,1,6,193.79,500,852.02
4,1,8,NaN,NaN,308,308,1,390.05,555.57,800,1152
4,2,7,NaN,NaN,407,407,1,492.05,661.9,900,1252
4,3,6,965,2000,506,506,1,612.05,782.2,1000,1352
4,4,6,969,2000,506,506,1,612.05,782.2,1000,1352
5,0,9,NaN,NaN,109,109,1,20,207.39,500,852.02
5,1,6,1051,2000,406,406,1,523.65,717.36,800,1152
5,2,6,955,2000,506,506,1,621.65,788.73,900,1252
6,0,9,NaN,NaN,109,109,1,-2,185.35,500,852.02
6,1,8,NaN,NaN,308,308,1,381.6,549.05,800,1152
6,2,7,NaN,NaN,407,407,1,485.6,657.17,900,1252
6,3,6,981,2000,506,506,1,585.6,764.22,1000,1352
6,4,6,977,2000,506,506,1,585.6,764.22,1000,1352
6,5,6,893,2000,606,606,1,719.6,860.08,1000,1352
6,6,6,897,2000,606,606,1,719.6,860.08,1000,1352
6,7,6,901,2000,606,606,1,719.6,860.08,1000,1352
7,0,10,NaN,NaN,110,110,1,-10,159.83,500,819.17
7,1,7,NaN,NaN,307,307,1,349.6,553.49,800,1119.2
7,2,7,NaN,NaN,407,407,1,431.6,617.57,900,1219.2
7,3,6,1047,2000,506,506,1,541.6,734.3,1000,1319.2
7,4,6,1043,2000,506,506,1,541.6,734.3,1000,1319.2
8,0,10,NaN,NaN,110,110,1,-1,169.11,500,819.17
8,1,8,NaN,NaN,308,308,1,356.89,529.99,800,1119.2
8,2,6,1059,2000,406,406,1,448.89,666.52,900,1219.2
