"index","nrel","Ll","Lw","Gl","Gd","El","Ed"
1,0.111111111111111,7.5014239444146,0.495881131842615,2.391154728229,0.196427957676924,0,0
1,0.222222222222222,7.4292357200914,0.489474066641508,2.56932524943845,0.220042115572834,0,0
1,0.333333333333333,6.04193009611713,0.45289626125405,2.76982626800944,0.243656273468745,0,0
1,0.444444444444444,5.22478902290089,0.426487372426602,3.15940613717851,0.26747388437782,0,0
1,0.555555555555556,6.51797145021672,0.486848606407838,3.93139679432558,0.291563895118042,0,0
1,0.666666666666667,7.52161926223993,0.681907747235239,5.4240015835032,0.314631597787043,5,0.0860215053763441
1,0.777777777777778,10.6459165311751,0.95201401191827,7.45037670049631,0.334201905480125,8.6,0.147956989247312
1,0.888888888888889,15.3302194567772,1.20993540771345,9.47675181748942,0.348447965252250,12.8,0.220215053763441
1,1,18.4676074138280,1.39874706943539,11.1946157207641,0.356044066709707,18.6,0.32
2,0.166666666666667,5.22478902290089,0.426487372426602,3.15940613717851,0.26747388437782,0,0
2,0.333333333333333,6.51797145021672,0.486848606407838,3.93139679432558,0.291563895118042,0,0
2,0.5,7.52161926223993,0.681907747235239,5.4240015835032,0.314631597787043,5,0.0860215053763441
2,0.666666666666667,10.6459165311751,0.95201401191827,7.45037670049631,0.334201905480125,8.6,0.147956989247312
2,0.833333333333333,15.3302194567772,1.20993540771345,9.47675181748942,0.348447965252250,12.8,0.220215053763441
2,1,18.4676074138280,1.39874706943539,11.1946157207641,0.356044066709707,18.6,0.32
3,0.166666666666667,5.22478902290089,0.426487372426602,3.15940613717851,0.26747388437782,0,0
3,0.333333333333333,6.51797145021672,0.486848606407838,3.93139679432558,0.291563895118042,0,0
3,0.5,7.52161926223993,0.681907747235239,5.4240015835032,0.314631597787043,5,0.0860215053763441
3,0.666666666666667,10.6459165311751,0.95201401191827,7.45037670049631,0.334201905480125,8.6,0.147956989247312
3,0.833333333333333,15.3302194567772,1.20993540771345,9.47675181748942,0.348447965252250,12.8,0.220215053763441
3,1,18.4676074138280,1.39874706943539,11.1946157207641,0.356044066709707,18.6,0.32
4,0.2,6.51797145021672,0.486848606407838,3.93139679432558,0.291563895118042,0,0
4,0.4,7.52161926223993,0.681907747235239,5.4240015835032,0.314631597787043,5,0.0860215053763441
4,0.6,10.6459165311751,0.95201401191827,7.45037670049631,0.334201905480125,8.6,0.147956989247312
4,0.8,15.3302194567772,1.20993540771345,9.47675181748942,0.348447965252250,12.8,0.220215053763441
4,1,18.4676074138280,1.39874706943539,11.1946157207641,0.356044066709707,18.6,0.32
5,0.25,7.52161926223993,0.681907747235239,5.4240015835032,0.314631597787043,5,0.0860215053763441
5,0.5,10.6459165311751,0.95201401191827,7.45037670049631,0.334201905480125,8.6,0.147956989247312
5,0.75,15.3302194567772,1.20993540771345,9.47675181748942,0.348447965252250,12.8,0.220215053763441
5,1,18.4676074138280,1.39874706943539,11.1946157207641,0.356044066709707,18.6,0.32
