id_plt,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,0,11,NaN,NaN,111,111,1,-18.54710618,113.0575209,490.7952082,1090.795208
1,1,8,NaN,NaN,308,308,1,285.2117623,394.492576,690.4092667,1290.409267
1,2,8,NaN,NaN,408,408,1,268.5374818,378.9770471,1135.649355,1735.649355
1,3,4,744.3771667,1344.377167,507,507,1,383.2254332,474.6158764,764.3481989,1364.348199
1,4,2,682.5967917,1282.596792,606,606,1,467.8029899,612.3699465,955.399002,1555.399002
2,0,11,NaN,NaN,111,111,1,-75.3396564,56.26497071,434.002658,1034.002658
2,1,7,NaN,NaN,308,308,1,266.3619593,403.1629675,756.7638431,1356.763843
2,2,7,1117.399875,1717.399875,408,408,1,339.0811212,449.5206865,1206.192994,1806.192994
2,3,4,630.2119167,1230.211917,507,507,1,440.6135808,532.0040239,821.7363465,1421.736346
2,4,1,630.2119167,1230.211917,606,606,1,530.1894489,674.7564055,1017.785461,1617.785461
3,0,11,NaN,NaN,111,111,1,-36.50065948,95.10396763,472.8416549,1072.841655
3,1,8,NaN,NaN,308,308,1,261.7421395,371.0229532,666.9396439,1266.939644
3,2,8,NaN,NaN,408,408,1,268.6146232,379.0541886,1135.726496,1735.726496
3,3,5,841.133625,1441.133625,507,507,1,403.1394593,494.5299024,784.262225,1384.262225
3,4,1,630.2119167,1230.211917,606,606,1,497.1803148,641.7472714,984.7763269,1584.776327
4,0,4,307.4203958,907.4203958,111,111,1,-9.410921443,122.1937057,499.9313929,1099.931393
4,1,9,NaN,NaN,309,309,1,171.6795959,308.4806041,662.0814797,1262.08148
4,2,8,NaN,NaN,408,408,1,258.8881267,369.3276921,1126,1726
4,3,5,841.133625,1441.133625,507,507,1,340.814171,432.2046142,721.9369367,1321.936937
5,0,12,NaN,NaN,112,112,1,-34.96035663,90.08786803,462.7356126,1062.735613
5,1,4,550.0637917,1150.063792,309,309,1,171.7191893,308.5201975,662.1210732,1262.121073
5,2,8,NaN,NaN,408,408,1,259.1517243,369.5912896,1126.263598,1726.263598
5,3,5,744.3771667,1344.377167,507,507,1,349.8772343,441.2676774,731,1331
5,4,4,913.0044167,1513.004417,606,606,1,399.7683955,544.3353521,887.3644076,1487.364408
6,0,12,NaN,NaN,112,112,1,-41.38543505,83.6627896,456.3105342,1056.310534
6,1,9,NaN,NaN,309,309,1,155.6086313,292.4096395,646.0105151,1246.010515
6,2,8,NaN,NaN,408,408,1,258.2897882,368.7293535,1125.401661,1725.401661
6,3,4,682.5967917,1282.596792,507,507,1,344.606406,435.9968491,725.7291717,1325.729172
6,4,2,630.2119167,1230.211917,606,606,1,431.4427932,576.0097498,919.0388053,1519.038805
7,0,12,NaN,NaN,112,112,1,-29.76469509,95.28352957,467.9312742,1067.931274
7,1,9,NaN,NaN,309,309,1,143.2423792,280.0433874,633.6442631,1233.644263
7,2,7,NaN,NaN,408,408,1,262.7309332,373.1704985,1129.842806,1729.842806
7,3,4,682.5967917,1282.596792,507,507,1,325.7907743,417.1812174,706.91354,1306.91354
7,4,1,550.0637917,1150.063792,606,606,1,428.8699649,573.4369215,916.465977,1516.465977
8,0,11,NaN,NaN,111,111,1,-79.82573387,51.77889324,429.5165805,1029.516581
8,1,9,NaN,NaN,309,309,1,160.5981161,297.3991243,651,1251
8,2,8,NaN,NaN,408,408,1,256.8997043,367.3392697,1124.011578,1724.011578
8,3,6,913.0044167,1513.004417,507,507,1,385.6335568,477.0239999,766.7563225,1366.756322
8,4,2,630.2119167,1230.211917,606,606,1,476.4772559,621.0442125,964.073268,1564.073268
9,0,11,NaN,NaN,111,111,1,-98.43354496,33.17108215,410.9087694,1010.908769
9,1,9,NaN,NaN,309,309,1,170.9086943,307.7097025,661.3105782,1261.310578
9,2,8,NaN,NaN,408,408,1,265.6044422,376.0440076,1132.716315,1732.716315
9,3,6,NaN,NaN,507,507,1,407.0284666,498.4189097,788.1512322,1388.151232
9,4,4,744.3771667,1344.377167,606,606,1,412.5445816,557.1115382,900.1405937,1500.140594
10,0,12,NaN,NaN,112,112,1,-90.47244766,34.575777,407.2235216,1007.223522
10,1,9,NaN,NaN,309,309,1,156.1834729,292.9844811,646.5853568,1246.585357
10,2,8,NaN,NaN,408,408,1,268.3477372,378.7873025,1135.45961,1735.45961
10,3,5,841.133625,1441.133625,507,507,1,404.1094379,495.499881,785.2322036,1385.232204
10,4,2,682.5967917,1282.596792,606,606,1,485.025564,629.5925206,972.6215761,1572.621576
11,0,11,NaN,NaN,111,111,1,-40.33962579,91.26500132,469.0026886,1069.002689
11,1,9,NaN,NaN,309,309,1,144.3693415,281.1703497,634.7712254,1234.771225
11,2,8,NaN,NaN,408,408,1,235.6489524,346.0885178,1102.760826,1702.760826
11,3,4,682.5967917,1282.596792,507,507,1,328.7614977,420.1519408,709.8842634,1309.884263
12,0,11,NaN,NaN,111,111,1,-19.95845515,111.646172,489.3838592,1089.383859
12,1,5,630.2119167,1230.211917,309,309,1,120.9810255,257.7820337,611.3829094,1211.382909
12,2,8,NaN,NaN,408,408,1,232.1625067,342.602072,1099.27438,1699.27438
12,3,3,630.2119167,1230.211917,507,507,1,333.096695,424.4871381,714.2194607,1314.219461
12,4,2,682.5967917,1282.596792,606,606,1,443.4039879,587.9709445,931,1531
13,0,12,NaN,NaN,112,112,1,-27.14717582,97.90104884,470.5487934,1070.548793
13,1,9,NaN,NaN,309,309,1,151.0991218,287.90013,641.5010056,1241.501006
13,2,4,550.0637917,1150.063792,408,408,1,251.279555,361.7191204,1118.391428,1718.391428
13,3,6,913.0044167,1513.004417,507,507,1,335.2702011,426.6606442,716.3929668,1316.392967
14,0,11,NaN,NaN,111,111,1,-20.2570495,111.3475776,489.0852649,1089.085265
14,1,4,550.0637917,1150.063792,309,309,1,163.8867413,300.6877495,654.2886251,1254.288625
14,2,5,682.5967917,1282.596792,408,408,1,236.7866626,347.226228,1103.898536,1703.898536
14,3,3,682.5967917,1282.596792,507,507,1,384.9866982,476.3771413,766.1094639,1366.109464
15,0,11,NaN,NaN,111,111,1,-41.11731665,90.48731046,468.2249977,1068.224998
15,1,9,NaN,NaN,309,309,1,145.48486,282.2858682,635.8867438,1235.886744
15,2,8,NaN,NaN,408,408,1,247.6740828,358.1136482,1114.785956,1714.785956
15,3,7,NaN,NaN,507,507,1,340.6714941,432.0619372,721.7942598,1321.79426
15,4,4,913.0044167,1513.004417,606,606,1,439.9840211,584.5509777,927.5800332,1527.580033
