id_dim,index_rel_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
111,0.0909090909091,9.446296296,0.3803515,2.843396226,0.158,0.0,0.0
111,0.181818181818,9.266666667,0.373503448,2.931481481,0.1833,0.0,0.0
111,0.272727272727,8.029185185,0.444632667,3.244444444,0.2086,0.0,0.0
111,0.363636363636,9.665185185,0.579264483,3.894339623,0.2339,0.0,0.0
111,0.454545454545,11.25962963,0.750448148,4.482352941,0.2592,0.0,0.0
111,0.545454545455,12.32777778,0.986183529,6.812727273,0.2845,0.0,0.0
111,0.636363636364,14.07333333,1.02,8.892307692,0.3098,1.553333333,0.0
111,0.727272727273,17.25333333,1.06,9.58,0.3352,4.446666667,0.0644
111,0.818181818182,17.74666667,1.08,10.11666667,0.3605,6.426666667,0.1339
111,0.909090909091,16.26444444,1.1,11.07333333,0.3858,11.3,0.1915
111,1.0,10.73604651,1.2,14.72,0.3858,15.34666667,0.3
110,0.1,9.5939486774,0.3803515,2.78119529375,0.158,0.00802488850439,0.0
110,0.2,8.79169320351,0.471423555552,3.06574580318,0.18331111111,0.0080145120409,0.0333333333319
110,0.3,8.8248477947,0.562495611112,3.15468982963,0.208622222222,0.0448243116264,0.066666666667
110,0.4,9.62144011026,0.653567666655,3.83884414527,0.23393333333,-0.103048501876,0.0999999999958
110,0.5,11.1332491719,0.744639722198,5.36221762546,0.259244444438,-0.0790875874652,0.133333333325
110,0.6,13.2295539576,0.835711777741,7.36956527607,0.284555555545,0.624733787882,0.166666666653
110,0.7,15.5609362448,0.926783833284,9.13323057492,0.309866666653,2.38319170605,0.199999999982
110,0.8,17.3931377029,1.01785588883,10.0592761274,0.335177777761,5.29479824931,0.233333333311
110,0.9,17.4109712333,1.10892794446,10.4729026368,0.360488888892,9.18053585058,0.266666666671
110,1.0,13.4922865616,1.2,12.6831561895,0.3858,13.7243393186,0.3
112,0.0833333333333,9.49968238546,0.3803515,2.83333672665,0.158,-0.0149766175027,5.20417042793e-17
112,0.166666666667,8.81151866181,0.454864999993,3.0644041651,0.178709090907,0.00132618155656,0.02727272727
112,0.25,8.7615429415,0.52937850001,3.11181311196,0.199418181821,0.0558854980836,0.054545454549
