id_plt,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,MS,11,NA,NA,1111,1111,1,-1.02349555,68.33503967,516,916
1,T1,5,739.1334702,1781,1405,1405,NA,267.9530413,341.4096783,696,1096
1,T2,3,643.3925803,1616,1503,1503,NA,327.8198911,406.6588723,866,1266
1,T3,2,720.0968248,1796,1602,1602,NA,433.444229,533.7726375,1031,1431
1,T1.0,2,720.0968248,1796,1602,1602,NA,433.444229,533.7726375,1031,1431
2,MS,11,NA,NA,2111,2111,1,-1.045087826,67.68398491,521,921
2,T1,8,NA,NA,2408,2408,1,218.9900776,306.0782624,806,1206
2,T2,2,532.9346832,1246,2502,2502,NA,303.8154975,396.5126626,766,1166
2,T3,4,983.642933,2256,2604,2604,NA,392.2861381,507.6644141,1061,1461
2,T1.0,4,983.642933,2256,2604,2604,NA,392.2861381,507.6644141,1061,1461
2,T2.0,4,983.642933,2256,2604,2604,NA,392.2861381,507.6644141,1061,1461
3,MS,11,NA,NA,3111,3111,1,-7.040148446,61.39042628,571,971
3,T1,6,911.4895954,2256,3406,3406,NA,222.6721875,307.8977278,836,1236
3,T2,6,986.0255695,2256,3506,3506,NA,294.782736,382.3903528,881,1281
3,T3,2,681.9426347,1815.759413,3602,3602,NA,425.3561639,515.1614287,931,1700.759413
4,MS,11,NA,NA,4111,4111,1,-9.303772182,58.85035956,551,951
4,T1,8,1031.480195,2256,4408,4408,NA,245.0848153,319.0199424,706,1106
4,T2,8,NA,NA,4508,4508,1,311.5381431,381.9162291,806,1206
4,T3,6,1045.054746,2256,4606,4606,NA,420.1298394,498.6855407,981,1381
4,T4,1,763.0597066,1676,4701,4701,NA,580.8082372,708.3842658,1276,1676
4,T1.0,6,1045.054746,2256,4606,4606,NA,420.1298394,498.6855407,981,1381
4,T1.1,1,763.0597066,1676,4701,4701,NA,580.8082372,708.3842658,1276,1676
4,T2.0,1,763.0597066,1676,4701,4701,NA,580.8082372,708.3842658,1276,1676
5,MS,10,NA,NA,5110,5110,1,-2.149444189,73.32038898,581,981
5,T1,4,761.8799082,2071,5404,5404,NA,282.4424756,366.3440263,771,1171
5,T2,3,716.9871019,1581,5503,5503,NA,367.0364466,451.7955828,926,1326
6,MS,11,NA,NA,6111,6111,1,-2.920863988,66.91847865,541,941
6,T1,8,NA,NA,6408,6408,1,237.8805713,320.2299569,791,1191
6,T2,6,1101.148617,2256,6506,6506,NA,292.5955968,396.3277659,841,1241
6,T3,4,1030.987181,2256,6604,6604,NA,407.3881748,523.0853528,1206,1606
