id_plt,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,MS,11,NA,NA,1111,1111,1,-1.02349555,98.06012619,516,916
1,T1,5,739.1334702,1781,1405,1405,NA,267.9530413,372.8910942,696,1096
1,T2,3,643.3925803,1616,1503,1503,NA,327.8198911,440.4470071,866,1266
1,T3,2,720.0968248,1796,1602,1602,NA,433.444229,576.7705269,1031,1431
1,T1.0,2,720.0968248,1796,1602,1602,NA,433.444229,576.7705269,1031,1431
2,MS,11,NA,NA,2111,2111,1,-1.045087826,97.1393018,521,921
2,T1,8,NA,NA,2408,2408,1,218.9900776,343.4017701,806,1206
2,T2,2,532.9346832,1246,2502,2502,NA,303.8154975,436.2400191,766,1166
2,T3,4,983.642933,2256,2604,2604,NA,392.2861381,557.1122466,1061,1461
2,T1.0,4,983.642933,2256,2604,2604,NA,392.2861381,557.1122466,1061,1461
2,T2.0,4,983.642933,2256,2604,2604,NA,392.2861381,557.1122466,1061,1461
3,MS,11,NA,NA,3111,3111,1,-7.040148446,90.71781545,571,971
3,T1,6,911.4895954,2256,3406,3406,NA,222.6721875,344.4229594,836,1236
3,T2,6,986.0255695,2256,3506,3506,NA,294.782736,419.9364743,881,1281
3,T3,2,681.9426347,1815.759413,3602,3602,NA,425.3561639,553.6493993,931,1700.759413
4,MS,11,NA,NA,4111,4111,1,-9.303772182,88.05927317,551,951
4,T1,8,1031.480195,2256,4408,4408,NA,245.0848153,350.7064255,706,1106
4,T2,8,NA,NA,4508,4508,1,311.5381431,412.078266,806,1206
4,T3,6,1045.054746,2256,4606,4606,NA,420.1298394,532.3522698,981,1381
4,T4,1,763.0597066,1676,4701,4701,NA,580.8082372,763.0597066,1276,1676
4,T1.0,6,1045.054746,2256,4606,4606,NA,420.1298394,532.3522698,981,1381
4,T1.1,1,763.0597066,1676,4701,4701,NA,580.8082372,763.0597066,1276,1676
4,T2.0,1,763.0597066,1676,4701,4701,NA,580.8082372,763.0597066,1276,1676
5,MS,10,NA,NA,5110,5110,1,-2.149444189,105.6646032,581,981
5,T1,4,761.8799082,2071,5404,5404,NA,282.4424756,402.3018338,771,1171
5,T2,3,716.9871019,1581,5503,5503,NA,367.0364466,488.1209269,926,1326
6,MS,11,NA,NA,6111,6111,1,-2.920863988,96.84962549,541,941
6,T1,8,NA,NA,6408,6408,1,237.8805713,355.5225507,791,1191
6,T2,6,1101.148617,2256,6506,6506,NA,292.5955968,440.7844098,841,1241
6,T3,4,1030.987181,2256,6604,6604,NA,407.3881748,572.6698577,1206,1606
6,T1.0,4,1030.987181,2256,6604,6604,NA,407.3881748,572.6698577,1206,1606
7,MS,5,540.9444786,1311,7105,7105,NA,-1.783966747,106.7617223,626,1026
7,T1,8,NA,NA,7408,7408,1,322.5743918,423.5076132,941,1341
7,T2,7,NA,NA,7507,7507,1,382.2913938,484.1473396,1061,1461
7,T3,3,865.3577848,1771,7603,7603,NA,504.5764591,628.4115638,1196,1596
8,MS,11,NA,NA,8111,8111,1,-0.16099478,97.79484029,546,946
8,T1,5,823.9102484,1976,8405,8405,NA,274.072534,387.1269777,761,1161
8,T2,6,1046.331607,2256,8506,8506,NA,309.3463422,440.8984565,846,1246
8,T3,4,955.4165767,2256,8604,8604,NA,401.9369165,565.3752755,1136,1536
8,T1.0,4,955.4165767,2256,8604,8604,NA,401.9369165,565.3752755,1136,1536
9,MS,11,NA,NA,9111,9111,1,3.544989879,102.2940493,546,946
9,T1,1,375.3058982,822,9401,9401,NA,250.9190029,375.3058982,422,822
9,T2,8,NA,NA,9508,9508,1,329.0896366,440.3900024,841,1241
9,T3,4,977.6308968,2256,9604,9604,NA,411.9839107,556.0638034,956,1356
9,T1.0,4,977.6308968,2256,9604,9604,NA,411.9839107,556.0638034,956,1356
9,T2.0,4,977.6308968,2256,9604,9604,NA,411.9839107,556.0638034,956,1356
10,MS,11,NA,NA,10111,10111,1,7.606663012,108.2222261,556,956
10,T1,8,NA,NA,10408,10408,1,288.00833,392.7335172,791,1191
10,T2,7,NA,NA,10507,10507,1,323.6864302,453.0707214,951,1351
10,T3,5,1062.938605,2256,10605,10605,NA,440.0044691,588.9904495,1156,1556
10,T2.0,5,1062.938605,2256,10605,10605,NA,440.0044691,588.9904495,1156,1556
11,MS,11,NA,NA,11111,11111,1,6.483159296,100.2346466,566,966
11,T1,9,NA,NA,11409,11409,1,263.1876679,358.369119,781,1181
11,T2,8,NA,NA,11508,11508,1,329.6077539,426.4470841,806,1206
11,T3,5,865.3084415,2256,11605,11605,NA,418.2454127,525.1686327,901,1301
11,T4,2,758.5714151,1791,11702,11702,NA,581.9035483,670.656126,1141,1541
11,T1.0,5,865.3084415,2256,11605,11605,NA,418.2454127,525.1686327,901,1301
11,T1.1,2,758.5714151,1791,11702,11702,NA,581.9035483,670.656126,1141,1541
11,T2.0,2,758.5714151,1791,11702,11702,NA,581.9035483,670.656126,1141,1541
12,MS,11,NA,NA,12111,12111,1,-10.04547472,93.07244096,456,856
12,T1,4,732.2456234,1771,12404,12404,NA,266.5866595,386.7284261,701,1101
12,T2,3,708.7610847,1616,12503,12503,NA,343.2660759,465.0977455,906,1306
12,T3,1,709.0145155,1451,12601,12601,NA,421.834861,709.0145155,1051,1451
13,MS,11,NA,NA,13111,13111,1,4.964149027,102.0740425,556,956
13,T1,8,NA,NA,13408,13408,1,235.6776445,358.8437742,821,1221
13,T2,7,NA,NA,13507,13507,1,336.2383458,446.0079431,951,1351
13,T3,2,720.0340927,2071,13602,13602,NA,442.5435286,581.2888107,1156,1556
13,T1.0,2,720.0340927,2071,13602,13602,NA,442.5435286,581.2888107,1156,1556
14,MS,6,543.0304586,1276,14106,14106,NA,9.605420101,107.4051524,536,936
14,T1,8,NA,NA,14408,14408,1,263.6518735,363.2285613,756,1156
14,T3,7,NA,NA,14607,14607,1,399.5449072,537.6782239,1026,1426
14,T1.0,7,NA,NA,14607,14607,1,399.5449072,537.6782239,1026,1426
15,MS,11,NA,NA,15111,15111,1,1.208613107,98.95591013,526,926
15,T1,8,NA,NA,15408,15408,1,220.6922126,352.5181595,816,1216
15,T2,7,NA,NA,15507,15507,1,321.7554056,435.2352163,821,1221
15,T3,2,724.9115091,1821,15602,15602,NA,445.1160241,585.0137666,1191,1591
16,MS,11,NA,NA,16111,16111,1,-9.634050984,86.19890622,491,891
16,T1,5,689.8219241,1656,16405,16405,NA,268.2707396,367.0321844,686,1086
16,T2,4,767.5730114,2256,16504,16504,NA,274.1964758,397.5406097,781,1181
16,T3,3,736.1247113,2256,16603,16603,NA,410.7210262,519.1889212,1011,1411
16,T1.0,3,736.1247113,2256,16603,16603,NA,410.7210262,519.1889212,1011,1411
16,T2.0,3,736.1247113,2256,16603,16603,NA,410.7210262,519.1889212,1011,1411
17,MS,11,NA,NA,17111,17111,1,-3.393386309,94.01675481,526,926
17,T1,8,NA,NA,17408,17408,1,212.3698189,348.5937844,786,1186
17,T2,6,996.7441778,2256,17506,17506,NA,268.2707758,409.4981097,836,1236
17,T3,2,736.0781781,1906,17602,17602,NA,446.0260828,591.0521304,1161,1561
17,T1.0,2,736.0781781,1906,17602,17602,NA,446.0260828,591.0521304,1161,1561
17,T2.0,2,736.0781781,1906,17602,17602,NA,446.0260828,591.0521304,1161,1561
18,MS,11,NA,NA,18111,18111,1,1.203302017,103.402247,411,811
18,T1,3,597.2015809,1246,18403,18403,NA,295.119043,402.2200993,731,1131
18,T2,1,456.3578438,861,18501,18501,NA,223.7997043,456.3578438,461,861
18,T2.0,1,456.3578438,861,18501,18501,NA,223.7997043,456.3578438,461,861
19,MS,11,NA,NA,19111,19111,1,12.10079803,110.2949149,526,926
19,T1,4,791.500311,1771,19404,19404,NA,268.2705543,399.0779935,826,1226
19,T2,2,548.7619841,1131,19502,19502,NA,365.1736567,462.7456831,601,1001
19,T3,2,732.8959526,1946,19602,19602,NA,461.5391916,597.2175721,1216,1616
20,MS,11,NA,NA,20111,20111,1,-3.006207613,96.1616056,551,951
20,T1,8,NA,NA,20408,20408,1,222.9968906,356.7369513,791,1191
20,T2,6,1061.049274,2256,20506,20506,NA,306.4608893,443.8402673,906,1306
20,T3,5,1160.971513,2256,20605,20605,NA,408.0062066,566.8887941,1206,1606
20,T1.0,5,1160.971513,2256,20605,20605,NA,408.0062066,566.8887941,1206,1606
20,T2.0,5,1160.971513,2256,20605,20605,NA,408.0062066,566.8887941,1206,1606
21,MS,11,NA,NA,21111,21111,1,-14.4941096,86.16842321,526,926
21,T1,5,785.5683819,1566,21405,21405,NA,242.2694126,359.9064052,721,1121
21,T2,6,1156.624036,2256,21506,21506,NA,257.6305032,427.900097,931,1331
21,T3,1,642.0716372,1641,21601,21601,NA,462.6127625,642.0716372,1241,1641
22,MS,6,569.8137154,1191,22106,22106,NA,-12.1241954,85.82924646,576,976
22,T1,8,NA,NA,22408,22408,1,236.3130333,348.0035427,686,1086
22,T2,6,977.1746711,2256,22506,22506,NA,298.0633839,426.391521,946,1346
23,MS,10,NA,NA,23110,23110,1,-17.53968834,91.15049509,521,921
23,T1,3,656.9411153,1441,23403,23403,NA,268.2709152,397.8276486,781,1181
23,T2,3,728.3067039,1821,23503,23503,NA,353.5718585,478.4834736,801,1201
24,MS,10,NA,NA,24110,24110,1,-20.42525455,83.0228082,526,926
24,T1,4,692.155858,1666,24404,24404,NA,253.5688978,363.2156379,766,1166
24,T2,3,659.1466372,1721,24503,24503,NA,314.0621348,433.7951271,821,1221
25,MS,6,546.7567207,1136,25106,25106,NA,-6.511336192,92.56878794,481,881
25,T1,8,NA,NA,25408,25408,1,254.6420064,371.1587058,821,1221
25,T2,7,NA,NA,25507,25507,1,334.0300534,442.3566201,876,1276
25,T3,3,745.3490051,1696,25603,25603,NA,432.1099315,558.8154433,991,1391
26,MS,11,NA,NA,26111,26111,1,2.622101722,103.7736503,531,931
26,T1,5,721.1245885,1536,26405,26405,NA,286.7726123,394.2631245,756,1156
26,T2,5,1024.117831,2256,26505,26505,NA,274.1963623,446.1710935,851,1251
26,T3,1,627.0166723,1761,26601,26601,NA,463.0745714,627.0166723,1361,1761
27,MS,10,NA,NA,27110,27110,1,17.43334984,124.3006837,516,916
27,T2,4,852.7481136,1931,27504,27504,NA,350.3700957,511.2497537,836,1236
28,MS,11,NA,NA,28111,28111,1,-12.5536548,86.86485663,496,896
28,T1,7,1011.035478,2256,28407,28407,NA,231.6001344,355.6995853,756,1156
28,T2,5,865.1362909,2256,28505,28505,NA,294.0942186,425.2284315,816,1216
28,T3,2,741.6246415,2081,28602,28602,NA,424.5019435,581.6174444,1211,1611
28,T1.0,2,741.6246415,2081,28602,28602,NA,424.5019435,581.6174444,1211,1611
29,MS,11,NA,NA,29111,29111,1,2.949237707,100.6440869,511,911
29,T1,3,577.2340618,1246,29403,29403,NA,230.4036694,353.7474471,736,1136
29,T2,7,NA,NA,29507,29507,1,303.8154975,436.2400191,816,1216
29,T3,4,857.7614574,2256,29604,29604,NA,421.6935088,560.3510593,1056,1456
30,MS,10,NA,NA,30110,30110,1,-15.37275573,93.48207119,546,946
30,T1,4,655.795012,1731,30404,30404,NA,285.0910444,396.9373845,821,1221
30,T2,4,758.2769574,1821,30504,30504,NA,356.414302,480.3219541,911,1311
30,T3,1,666.7192316,1451,30601,30601,NA,506.3351837,666.7192316,1051,1451
