id_phen,TT,HS,GL,SSI
112,1607,12.0,3.0593692472582745,8.9406307527417255
112,1608,12.0,3.0508412082548464,8.9491587917451536
112,1609,12.0,3.0422998518140325,8.9577001481859675
112,1610,12.0,3.0337451528085868,8.9662548471914132
112,1611,12.0,3.0251770861112757,8.9748229138887243
112,1612,12.0,3.0165956265948513,8.9834043734051487
112,1613,12.0,3.0080007491320817,8.9919992508679183
112,1614,12.0,2.9993924285957192,9.0006075714042808
112,1615,12.0,2.9907706398585248,9.0092293601414752
112,1616,12.0,2.9821353577932594,9.0178646422067406
112,1617,12.0,2.9734865572726843,9.0265134427273157
112,1618,12.0,2.9648242131695586,9.0351757868304414
112,1619,12.0,2.9561483003566398,9.0438516996433602
112,1620,12.0,2.947458793706689,9.052541206293311
112,1621,12.0,2.9387556680924636,9.0612443319075364
112,1622,12.0,2.9300388983867265,9.0699611016132735
112,1623,12.0,2.9213084594622387,9.0786915405377613
112,1624,12.0,2.9125643261917542,9.0874356738082458
112,1625,12.0,2.903806473448034,9.096193526551966
112,1626,12.0,2.8950348761038427,9.1049651238961573
112,1627,12.0,2.8862495090319342,9.1137504909680658
112,1628,12.0,2.877450347105075,9.122549652894925
112,1629,12.0,2.8686373651960171,9.1313626348039829
112,1630,12.0,2.8598105381775234,9.1401894618224766
112,1631,12.0,2.8509698409223532,9.1490301590776468
112,1632,12.0,2.8421152483032657,9.1578847516967343
112,1633,12.0,2.8332467351930237,9.1667532648069763
112,1634,12.0,2.8243642764643813,9.1756357235356187
112,1635,12.0,2.8154678469901047,9.1845321530098953
112,1636,12.0,2.8065574216429479,9.1934425783570521
112,1637,12.0,2.7976329752956737,9.2023670247043263
112,1638,12.0,2.7886944828210396,9.2113055171789604
112,1639,12.0,2.7797419190918067,9.2202580809081933
112,1640,12.0,2.7707752589807342,9.2292247410192658
112,1641,12.0,2.7617944773605849,9.2382055226394151
112,1642,12.0,2.7527995491041146,9.2472004508958854
112,1643,12.0,2.7437904490840825,9.2562095509159175
112,1644,12.0,2.7347671521732462,9.2652328478267538
112,1645,12.0,2.7257296332443737,9.2742703667556263
112,1646,12.0,2.7166778671702172,9.2833221328297828
112,1647,12.0,2.7076118288235413,9.2923881711764587
112,1648,12.0,2.6985314930771001,9.3014685069228999
112,1649,12.0,2.6894368348036597,9.3105631651963403
112,1650,12.0,2.6803278288759724,9.3196721711240276
112,1651,12.0,2.6712044501668046,9.3287955498331954
112,1652,12.0,2.662066673548912,9.337933326451088
112,1653,12.0,2.6529144738950556,9.3470855261049444
112,1654,12.0,2.643747826077993,9.356252173922007
112,1655,12.0,2.6345667049704868,9.3654332950295132
112,1656,12.0,2.6253710854452947,9.3746289145547053
112,1657,12.0,2.6161609423751813,9.3838390576248187
112,1658,12.0,2.6069362506329004,9.3930637493670996
112,1659,12.0,2.5976969850912095,9.4023030149087905
112,1660,12.0,2.5884431206228751,9.4115568793771249
112,1661,12.0,2.5791746321006563,9.4208253678993437
112,1662,12.0,2.5698914943973072,9.4301085056026928
112,1663,12.0,2.5605936823855888,9.4394063176144112
112,1664,12.0,2.5512811709382639,9.4487188290617361
112,1665,12.0,2.5419539349280917,9.4580460650719083
