id_plt,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,MS,11,NA,NA,1111,1111,1,28.7,127.79,516,916
1,T1,5,739.1334702,1781,1405,1405,NA,299.43,404.37,696,1096
1,T2,3,643.3925803,1616,1503,1503,NA,361.61,474.24,866,1266
1,T3,2,720.0968248,1796,1602,1602,NA,476.44,619.77,1031,1431
1,T1.0,2,720.0968248,1796,16029,1602,NA,476.44,619.77,1031,1431
2,MS,11,NA,NA,2111,2111,1,28.41,126.59,521,921
2,T1,8,NA,NA,2408,2408,1,256.31,380.73,806,1206
2,T2,2,532.9346832,1246,2502,2502,NA,343.54,475.97,766,1166
2,T3,4,983.642933,2256,2604,2604,NA,441.73,606.56,1061,1461
2,T1.0,4,983.642933,2256,26049,2604,NA,441.73,606.56,1061,1461
2,T2.0,4,983.642933,2256,26049,2604,NA,441.73,606.56,1061,1461
3,MS,11,NA,NA,3111,3111,1,22.29,120.05,571,971
3,T1,6,911.4895954,2256,3406,3406,NA,259.2,380.95,836,1236
3,T2,6,986.0255695,2256,3506,3506,NA,332.33,457.48,881,1281
3,T3,2,681.9426347,1815.759413,3602,3602,NA,463.84,592.14,931,1700.76
5,MS,10,NA,NA,5110,5110,1,30.19,138.01,581,981
5,T1,4,761.8799082,2071,5404,5404,NA,318.4,438.26,771,1171
5,T2,3,716.9871019,1581,5503,5503,NA,403.36,524.45,926,1326
6,MS,11,NA,NA,6111,6111,1,27.01,126.78,541,941
6,T1,8,NA,NA,6408,6408,1,273.17,390.82,791,1191
6,T2,6,1101.148617,2256,6506,6506,NA,337.05,485.24,841,1241
6,T3,4,1030.987181,2256,6604,6604,NA,456.97,622.25,1206,1606
6,T1.0,4,1030.987181,2256,66049,6604,NA,456.97,622.25,1206,1606
7,MS,5,540.9444786,1311,7105,7105,NA,30.78,139.33,626,1026
7,T1,8,NA,NA,7408,7408,1,352.85,453.79,941,1341
7,T2,7,NA,NA,7507,7507,1,412.85,514.7,1061,1461
7,T3,3,865.3577848,1771,7603,7603,NA,541.73,665.56,1196,1596
8,MS,11,NA,NA,8111,8111,1,29.23,127.18,546,946
8,T1,5,823.9102484,1976,8405,8405,NA,307.99,421.04,761,1161
8,T2,6,1046.331607,2256,8506,8506,NA,348.81,480.36,846,1246
8,T3,4,955.4165767,2256,8604,8604,NA,450.97,614.41,1136,1536
8,T1.0,4,955.4165767,2256,86049,8604,NA,450.97,614.41,1136,1536
9,MS,11,NA,NA,9111,9111,1,33.17,131.92,546,946
9,T1,1,375.3058982,822,9401,9401,NA,288.24,412.62,422,822
9,T2,8,NA,NA,9508,9508,1,362.48,473.78,841,1241
9,T3,4,977.6308968,2256,9604,9604,NA,455.21,599.29,956,1356
9,T1.0,4,977.6308968,2256,96049,9604,NA,455.21,599.29,956,1356
9,T2.0,4,977.6308968,2256,96049,9604,NA,455.21,599.29,956,1356
