rank,lindex,x,y
1,0,0.0,0.0
1,0,0.2832569135389278,0.6799999999999997
1,0,0.9363159160667918,2.8699999999999974
1,0,1.9913590436991067,4.920000000000009
1,0,2.7109675604483314,6.960000000000001
1,0,3.9878424021518533,8.449999999999996
1,0,4.985710468273952,8.839999999999996
1,0,6.338446835710259,9.399999999999999
1,0,7.904454268291172,8.93
1,0,9.215948421087578,8.380000000000003
1,0,11.1018926378912,6.119999999999997
1,0,12.40220154318446,3.920000000000009
1,0,12.881670665214518,3.1499999999999986
1,0,13.902408755940705,1.5
1,1,0.0,0.0
1,1,1.505160980287691,0.769999999999996
1,1,3.5497223683663073,1.4899999999999949
1,1,5.852977977340556,2.3900000000000006
1,1,8.336926584494671,3.219999999999999
1,1,10.72582515248979,4.280000000000001
1,1,12.6812488023498,2.25
1,1,14.10916069933523,-1.4400000000000048
1,1,14.399547648139604,-4.830000000000005
1,1,15.194211550663978,-7.160000000000004
1,1,16.015351730435786,-8.700000000000003
1,1,16.717060908539572,-9.96
1,1,17.02142406309757,-10.730000000000004
1,2,0.0,0.0
1,2,-0.08439209534004732,0.3100000000000023
1,2,0.10335634412624584,2.1000000000000014
1,2,0.13189699022997947,4.18
1,2,0.41597933537169873,6.730000000000004
1,2,0.865418688731676,9.689999999999998
1,2,1.2647253877322897,12.629999999999995
1,2,1.037556261270873,15.090000000000003
1,2,1.0588121224721943,16.92
1,2,1.8725731114624478,18.22
1,2,2.17308621884536,20.92
1,3,0.0,0.0
1,3,2.3375270914621247,0.6700000000000017
1,3,5.378065569707838,1.9399999999999977
1,3,11.245439634346667,1.519999999999996
1,3,13.986800336152614,1.6899999999999977
1,3,16.175387093233187,1.5999999999999943
1,3,17.41922153387336,1.6599999999999966
1,3,18.501707499904864,1.5400000000000063
1,4,0.0,0.0
1,4,0.7126405919742025,0.9499999999999957
1,4,1.5375141338197293,2.5
1,4,2.645659900985587,4.32
1,4,3.431661084347372,5.769999999999996
1,4,4.314519489549638,6.739999999999995
1,4,4.485683773286947,8.009999999999998
1,4,5.351795849889325,8.049999999999997
1,4,6.447481203645532,6.82
1,4,6.84350871928663,5.469999999999999
1,4,7.01948125866363,4.989999999999995
1,4,7.002685824868912,3.8399999999999963
1,4,7.102583369618938,1.9899999999999949
1,4,7.2973201869026285,0.05999999999999517
1,4,7.6058346681098445,-1.7600000000000051
1,4,7.765985042100052,-3.3500000000000014
1,4,8.21947508064844,-4.770000000000003
1,4,8.852277103254846,-5.93
1,5,0.0,0.0
1,5,1.3731363512656523,0.0
1,5,1.6480760283436018,0.4299999999999997
1,5,2.0053397874818795,1.3399999999999963
1,5,2.104232701736578,2.1899999999999977
1,5,1.5610874125861733,1.5700000000000003
1,5,1.2949477370429059,2.4499999999999957
1,5,1.647550557263298,3.229999999999997
1,5,2.1575617768041773,4.159999999999997
1,5,2.2600880538809727,4.8999999999999915
1,5,1.9602996219854738,5.6299999999999955
1,5,1.655324780091787,6.009999999999991
1,5,0.7895992538095052,6.329999999999998
1,5,0.12165775864702749,7.090000000000003
1,5,-0.9750002474813863,6.759999999999991
1,5,-1.5243649148945937,6.439999999999998
1,5,-1.7501181743009457,6.289999999999992
1,5,-2.801212341242259,5.599999999999994
1,5,-3.501771421881963,5.469999999999999
1,5,-4.570985670804132,4.36999999999999
1,5,-5.038024458767402,3.5999999999999943
1,5,-5.657810707133275,2.559999999999995
1,6,0.0,0.0
1,6,0.9424785250063392,0.5
1,6,1.7036755492734228,2.4200000000000017
1,6,3.3454279474409847,5.149999999999999
1,6,5.306171781492943,7.819999999999993
1,6,6.651835186450425,10.510000000000005
1,6,8.439619962137034,13.870000000000005
1,6,9.099873126866711,15.549999999999997
1,7,0.0,0.0
1,7,-0.05958002560780784,0.12999999999999545
1,7,1.1943551008962432,1.0
1,7,3.9985848317816037,1.4500000000000028
1,7,6.256442905761219,-0.5100000000000051
1,7,8.782349876888741,-2.1000000000000085
1,7,10.63714722525707,-4.299999999999997
1,7,12.72157861158685,-5.75
1,7,13.741536667894557,-5.829999999999998
1,8,0.0,0.0
1,8,3.0378258416387878,1.25
1,8,4.423489915509397,4.3899999999999935
1,8,6.28360085083337,8.270000000000003
1,8,8.922383891494313,11.770000000000003
1,8,11.004629279130418,14.740000000000002
1,8,12.196806882989241,15.969999999999992
1,8,13.526511016700992,17.380000000000003
1,8,15.830952104045096,17.800000000000004
1,9,0.0,0.0
1,9,0.00035934553757765997,0.3200000000000003
1,9,-0.0008434760000133323,3.1100000000000065
1,9,0.47887752153660923,6.140000000000008
1,9,1.1999612939937827,7.619999999999997
1,9,2.3921517772437197,7.920000000000009
1,9,3.821512670809138,7.839999999999996
1,9,6.680354239785833,6.789999999999999
1,9,7.81566335548969,4.68
1,9,9.58912982924878,3.0800000000000054
1,9,10.77562817328091,2.3000000000000043
1,9,12.346650965865663,2.3500000000000014
1,10,0.0,0.0
1,10,0.3706312935394225,0.3299999999999983
1,10,1.2569135508491285,2.6999999999999957
1,10,2.151505116260736,4.949999999999996
1,10,3.2693725296505693,7.689999999999998
1,10,4.736998754758507,10.0
1,10,6.168510612028042,12.039999999999992
1,10,7.0042303080149235,14.049999999999997
1,10,8.251842435096362,16.230000000000004
1,10,8.939809839255727,17.28
1,10,10.593373935182349,19.239999999999995
1,11,0.0,0.0
1,11,-0.1982586726682272,0.6700000000000017
1,11,-1.2983280649253504,2.030000000000001
1,11,-0.925597700684558,5.070000000000007
1,11,-0.37050405112381934,8.719999999999999
1,11,0.9827715329457636,12.0
1,11,1.8532685449345896,13.86
1,12,0.0,0.0
1,12,-0.15143921873649013,2.6799999999999997
1,12,1.3329737859696031,7.059999999999995
1,12,1.9551049550532316,10.269999999999996
1,12,4.7562204845396066,10.96
1,12,8.713869405814808,9.909999999999997
1,12,10.388262193127876,8.79
1,12,12.454899866665546,7.669999999999995
1,12,13.558642370725401,7.329999999999998
1,12,14.82966040327924,6.8799999999999955
1,13,0.0,0.0
1,13,0.030628754171790895,0.17999999999999972
1,13,-0.15686076042356056,1.4200000000000017
1,13,-0.5957240637918955,2.950000000000003
1,13,-1.3380285796267177,4.590000000000003
1,13,-1.5837756391947972,6.130000000000003
1,13,-1.83296898050664,7.840000000000003
1,13,-1.485523644848123,9.600000000000009
1,13,0.046184570653154955,10.260000000000005
1,13,1.0504358678950818,9.760000000000005
1,13,1.9903345961538093,8.879999999999995
1,13,2.8963924358997466,7.380000000000003
1,13,4.270383814649684,6.18
1,13,5.210458153460505,4.690000000000005
1,13,6.312961445049104,3.1200000000000045
1,13,7.297274054454729,1.8500000000000014
1,13,8.870652311567497,0.46999999999999886
1,14,0.0,0.0
1,14,-0.06155332476954145,0.5399999999999991
1,14,-0.6403942817743378,2.8299999999999983
1,14,-0.5702727095321452,5.5
1,14,0.44945675103303184,6.640000000000008
1,14,1.8057974507895551,6.68
1,14,3.743151041214647,5.800000000000004
1,14,5.019352019330563,3.9399999999999977
1,14,6.008063836179044,1.1499999999999986
1,14,6.63361231404805,-0.11999999999999744
1,14,7.588168438769704,-1.519999999999996
1,14,8.451722619210159,-2.549999999999997
1,15,0.0,0.0
1,15,-0.23382680111417198,0.5200000000000031
1,15,0.23645816721466417,1.6099999999999994
1,15,0.5747467165234279,2.5900000000000034
1,15,0.7129132662196382,3.6899999999999977
1,15,1.0307446738541994,4.460000000000008
1,15,1.1153333052683267,5.689999999999998
1,15,2.123410182411528,6.570000000000007
1,15,3.4325947650553092,6.680000000000007
1,15,4.497204300162495,5.980000000000004
1,15,5.15556301919848,5.5
1,15,5.702966485782333,4.489999999999995
1,15,6.145779505554764,3.8100000000000023
1,15,6.680324662240356,2.789999999999999
1,15,6.940615421874824,1.8400000000000034
1,15,7.0466345697860495,0.2700000000000031
1,15,7.005525611473069,-1.2899999999999991
1,15,7.434993633935793,-2.6799999999999997
1,15,7.764351987851095,-3.4399999999999977
1,16,0.0,0.0
1,16,0.6137446668864137,0.6000000000000085
1,16,1.4827667470356705,2.230000000000004
1,16,2.490326198744913,5.239999999999995
1,16,3.5682990595042923,8.25
1,16,4.938096419670953,11.650000000000006
1,16,1.8479231063311508,15.0
1,17,0.0,0.0
1,17,-0.21384568373510326,-0.03999999999999915
1,17,2.016987812520412,0.18999999999999773
1,17,5.171992260179639,1.1599999999999966
1,17,8.308856626047609,1.4500000000000028
1,17,10.751498049527486,1.8400000000000034
1,17,14.617998344270566,0.8099999999999952
1,17,14.807155817430576,0.23999999999999488
1,18,0.0,0.0
1,18,1.5624105629288447,2.6499999999999915
1,18,2.770424478692968,5.469999999999999
1,18,5.135970644522974,6.140000000000001
1,18,4.8222520151568276,9.239999999999995
1,18,5.792965059808433,11.060000000000002
1,18,6.439460817037581,12.769999999999996
1,18,6.182991488328023,14.049999999999997
1,19,0.0,0.0
1,19,-0.4654991832787303,1.5
1,19,-0.10201028415414282,2.010000000000005
1,19,-0.07937303534118145,3.3400000000000034
1,19,0.019698472131030265,4.850000000000001
1,19,0.7849731459879616,6.619999999999997
1,19,2.708483449554695,6.899999999999999
1,19,4.374386002097263,5.449999999999996
1,19,5.501839679294069,3.8700000000000045
1,19,6.200294186532735,1.9400000000000048
1,19,6.962134628371622,0.010000000000005116
