rankclass,s,r
1,0.0,0.6513499503844271
1,0.034482758620689655,0.7988851360597305
1,0.06896551724137931,0.854214833563388
1,0.10344827586206896,0.8819125417343388
1,0.13793103448275862,0.9088552393909816
1,0.1724137931034483,0.9270582934060475
1,0.20689655172413793,0.9422349677534454
1,0.24137931034482757,0.9581072550558588
1,0.27586206896551724,0.9748704437745077
1,0.3103448275862069,0.9859793000748495
1,0.3448275862068966,0.9939891258903863
1,0.3793103448275862,0.9999317823652574
1,0.41379310344827586,0.9948522767139824
1,0.4482758620689655,0.9815594027499769
1,0.48275862068965514,0.9594641027454807
1,0.5172413793103449,0.9293034138550488
1,0.5517241379310345,0.8958197613674646
1,0.5862068965517241,0.8602155066544518
1,0.6206896551724138,0.8188501104606482
1,0.6551724137931034,0.770609684833204
1,0.6896551724137931,0.7126657773484164
1,0.7241379310344828,0.6404955047342671
1,0.7586206896551724,0.5632044928315333
1,0.7931034482758621,0.5073129748673585
1,0.8275862068965517,0.47281318955099616
1,0.8620689655172413,0.4375415591181655
1,0.896551724137931,0.3820213477564292
1,0.9310344827586207,0.3059198784804999
1,0.9655172413793103,0.19181933058715195
1,1.0,0.0
3,0.0,0.7779632087412822
3,0.034482758620689655,0.8547237218478134
3,0.06896551724137931,0.9037022350933208
3,0.10344827586206896,0.9418537029922934
3,0.13793103448275862,0.968364191207335
3,0.1724137931034483,0.9839871484404179
3,0.20689655172413793,0.9947998248135245
3,0.24137931034482757,0.999857199512389
3,0.27586206896551724,0.9926492943750883
3,0.3103448275862069,0.9832820132907588
3,0.3448275862068966,0.9789559260670796
3,0.3793103448275862,0.980541997591434
3,0.41379310344827586,0.9812077205934504
3,0.4482758620689655,0.9784332757767337
3,0.48275862068965514,0.9742208258563997
3,0.5172413793103449,0.9616684591287011
3,0.5517241379310345,0.9462227133551876
3,0.5862068965517241,0.9200230868074126
3,0.6206896551724138,0.8847102370591724
3,0.6551724137931034,0.8292708051113954
3,0.6896551724137931,0.7526477748925146
3,0.7241379310344828,0.6929876817773762
3,0.7586206896551724,0.6561462932284597
3,0.7931034482758621,0.6236957380219013
3,0.8275862068965517,0.5860213074066283
3,0.8620689655172413,0.5449511031126564
3,0.896551724137931,0.48575345630820915
3,0.9310344827586207,0.4093421496631394
3,0.9655172413793103,0.2922108861160815
3,1.0,0.0
2,0.0,0.7270461508057521
2,0.034482758620689655,0.8528679249844964
2,0.06896551724137931,0.9062002706301234
2,0.10344827586206896,0.93917510401734
2,0.13793103448275862,0.9557753141172587
2,0.1724137931034483,0.9620519243204906
2,0.20689655172413793,0.9681419097488823
2,0.24137931034482757,0.976693842287073
2,0.27586206896551724,0.9847144997920702
2,0.3103448275862069,0.9931795341379869
2,0.3448275862068966,0.9994072213672058
2,0.3793103448275862,0.9975878597520187
2,0.41379310344827586,0.9928208466572086
2,0.4482758620689655,0.9868004110898447
2,0.48275862068965514,0.9766359383249701
2,0.5172413793103449,0.9616476211014311
2,0.5517241379310345,0.9432869399071638
2,0.5862068965517241,0.9112174357865913
2,0.6206896551724138,0.8656392637956777
2,0.6551724137931034,0.7989643513018374
2,0.6896551724137931,0.7196641812311787
2,0.7241379310344828,0.6522779472721735
2,0.7586206896551724,0.6128435782856869
2,0.7931034482758621,0.5845059218589265
2,0.8275862068965517,0.5532627266515446
2,0.8620689655172413,0.5082031796993517
2,0.896551724137931,0.44719685577045604
2,0.9310344827586207,0.36482891026365916
2,0.9655172413793103,0.2439372778923748
2,1.0,0.0
5,0.0,0.6870234239521695
5,0.034482758620689655,0.8029817354551643
5,0.06896551724137931,0.8679373339724767
5,0.10344827586206896,0.8965085572929097
5,0.13793103448275862,0.9202222269929463
5,0.1724137931034483,0.9350036807245536
5,0.20689655172413793,0.9534414746584694
5,0.24137931034482757,0.9638442708440497
5,0.27586206896551724,0.9705747882303796
5,0.3103448275862069,0.9735807424417451
5,0.3448275862068966,0.9836705522424926
5,0.3793103448275862,0.9869765629565787
5,0.41379310344827586,0.9927859925486298
5,0.4482758620689655,0.9998276117417727
5,0.48275862068965514,0.9941772421407599
5,0.5172413793103449,0.9853705922198103
5,0.5517241379310345,0.9704473927716547
5,0.5862068965517241,0.9548653418408269
5,0.6206896551724138,0.9262675504027755
5,0.6551724137931034,0.8724218121654542
5,0.6896551724137931,0.8104068396937497
5,0.7241379310344828,0.7736739999753771
5,0.7586206896551724,0.7439778187538973
5,0.7931034482758621,0.6989537784067648
5,0.8275862068965517,0.6382827902284627
5,0.8620689655172413,0.5620009539892666
5,0.896551724137931,0.47269995552722555
5,0.9310344827586207,0.374352992065335
5,0.9655172413793103,0.22415044732560566
5,1.0,0.0
4,0.0,0.7822658746726304
4,0.034482758620689655,0.8527410825409344
4,0.06896551724137931,0.9037363261106675
4,0.10344827586206896,0.9347113125205874
4,0.13793103448275862,0.9584337316813701
4,0.1724137931034483,0.9783946428144333
4,0.20689655172413793,0.9965207540029996
4,0.24137931034482757,0.9990506867347562
4,0.27586206896551724,0.9879999830759371
4,0.3103448275862069,0.9744404477751007
4,0.3448275862068966,0.9681570027641767
4,0.3793103448275862,0.9641798467484078
4,0.41379310344827586,0.9647380346666947
4,0.4482758620689655,0.9684684858035701
4,0.48275862068965514,0.9720263433913989
4,0.5172413793103449,0.9608489927315355
4,0.5517241379310345,0.9401519967403121
4,0.5862068965517241,0.9137404790405862
4,0.6206896551724138,0.8808342733461786
4,0.6551724137931034,0.8255049671710507
4,0.6896551724137931,0.7695846820489523
4,0.7241379310344828,0.7125906118379864
4,0.7586206896551724,0.661490232332767
4,0.7931034482758621,0.623370373372015
4,0.8275862068965517,0.5764646785862423
4,0.8620689655172413,0.5076604163423389
4,0.896551724137931,0.41978786004466795
4,0.9310344827586207,0.32497317380213714
4,0.9655172413793103,0.21898665266100928
4,1.0,0.0
6,0.0,0.6556644307010925
6,0.034482758620689655,0.7361907291780964
6,0.06896551724137931,0.7868656843365797
6,0.10344827586206896,0.8260066849700912
6,0.13793103448275862,0.8580624475830714
