"numJ","sT","PAR"
353,0,0.41
354,9,0.4
355,14,1.05
356,15,1.03
357,18,0.46
358,26,0.4
359,33,0.68
360,39,0.57
361,46,1.71
362,51,0.96
363,53,0.62
364,54,2.09
365,55,0.94
1,56,0.54
2,58,0.3
3,58,1.41
4,59,0.53
5,63,0.55
6,69,1.3
7,75,2.23
8,82,0.61
9,89,1.57
10,98,0.86
11,108,1.03
12,117,0.96
13,125,0.43
14,131,1.14
15,136,1.86
16,143,1.45
17,146,0.79
18,149,1.57
19,153,0.56
20,161,0.51
21,167,0.24
22,173,0.54
23,178,0.64
24,184,1.43
25,188,2.93
26,189,0.45
27,190,1.56
28,191,1.03
29,192,3.42
30,194,2.85
31,202,0.62
32,213,2.56
33,223,3.1
34,235,2.9
35,247,2.52
36,260,2.8
37,271,1.36
38,278,2.32
39,284,1.8
40,286,3.83
41,289,3.55
42,295,0.78
43,300,0.89
44,303,3.45
45,308,1.59
46,313,1.72
47,318,3.77
48,322,2.58
49,327,2.07
50,330,2.26
51,332,4.15
52,335,1.15
53,338,2.15
54,339,3.52
55,341,3.24
56,343,2.72
57,344,4.59
58,345,4.73
59,347,4.16
60,348,2.65
61,349,5.07
62,351,5.59
63,357,5.5
64,363,1.24
65,368,1.1
66,374,2.99
67,378,3.19
68,381,5.72
69,383,4.08
70,384,1.7
71,385,2.27
72,390,0.71
73,398,5.43
74,407,4.6
75,418,2.35
76,431,7.26
77,445,6.5
78,458,4.69
79,468,2.87
80,480,2.09
81,488,5
82,493,4.7
83,498,5.93
84,502,4.39
85,506,4.93
86,509,6.16
87,513,6.85
88,518,7.77
89,526,7.91
90,536,7.81
91,548,6.02
92,561,7.85
93,571,3.73
94,582,5.2
95,592,7.14
96,601,4.66
97,607,4.95
98,613,4.7
99,617,5.09
100,623,4.09
101,629,7.12
102,635,8.27
103,643,9.17
104,651,4.53
105,661,5.63
106,671,7.67
107,683,9.08
108,693,2.87
109,699,3.02
110,706,7.04
111,716,3.47
112,730,7.88
113,742,7.85
114,753,9.26
115,765,10.78
116,777,10.16
117,791,10.47
118,804,8.18
119,816,6.57
120,827,6.41
121,838,4.01
122,850,9.05
123,862,7.52
124,874,9.33
125,882,4.42
126,890,6.47
127,898,6.54
128,906,6.57
129,914,1.28
130,923,1.35
131,934,2.96
132,947,8.65
133,957,10.49
134,966,3.57
135,976,10.47
136,990,10.55
137,1005,11.96
138,1022,11.99
139,1039,11.76
140,1057,12.38
141,1074,12.3
142,1086,7.65
143,1096,11.12
144,1105,9.01
145,1117,12.67
146,1131,12.1
147,1144,6.63
148,1158,11.72
149,1172,10.93
150,1189,11.13
151,1203,6.72
152,1217,6.92
153,1231,3.87
154,1246,6.32
155,1259,8.83
156,1274,3.91
157,1290,10.66
158,1307,13.07
159,1327,12.85
160,1350,12.72
161,1372,10.57
162,1392,8.64
163,1408,8.81
164,1422,9.07
165,1436,10.43
166,1453,12.48
167,1473,12.05
168,1491,10.17
169,1508,12.99
170,1522,6.55
171,1535,8.67
172,1546,8.78
173,1560,6.37
174,1577,8.26
175,1594,9.03
176,1608,7.44
177,1622,10.99
178,1639,5.99
179,1658,9.64
180,1674,12.36
181,1691,12.82
182,1710,9.51
183,1725,5.89
184,1741,7.57
185,1756,8.54
186,1770,4.72
187,1786,8.87
188,1804,10.6
189,1820,6
190,1835,5.45
191,1847,3.68
192,1859,7.82
193,1871,4.37
194,1885,4.74
195,1900,7.14
196,1918,9.97
197,1929,2.79
