id_axis,index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
MS,1,9.4463,0.381,2.969038,0.4,0,0
MS,2,9.266667,0.3724,2.868024,0.4,0,0
MS,3,8.029184,0.4528,3.065793,0.4,0,0
MS,4,9.665187,0.5612733,3.675258,0.4,0,0
MS,5,11.259629,0.6512822,3.938624,0.4,0,0
MS,6,12.327778,0.8459022,5.285709,0.4032067,0,0
MS,7,14.073333,1.1713511,8.238547,0.4455644,0.68001333,0.23635556
MS,8,17.253333,1.2701111,9.22944,0.4673067,3.31814889,0.36515556
MS,9,17.746667,1.3436,9.697778,0.4495778,5.92668,0.37973333
MS,10,16.264444,1.46988,10.513333,0.4473733,10.54651111,0.3952
MS,11,10.736044,1.4864889,15.054444,0.4517956,15.15503556,0.37968889
T1,1,6.14,0.3287,2.371525,0.4,0,0
T1,2,8.558325,0.5359,2.872225,0.4,0,0
T1,3,9.2,0.7021,3.878825,0.4,0,0
T1,4,10.275,0.861,5.06045,0.4,0,0
T1,5,13.25,0.9651,7.42485,0.41575,0.545825,0.231125
T1,6,15.575,1.0944,8.3,0.388,2.916675,0.296
T1,7,14.875,1.2148,8.525,0.40025,6.45,0.331
T1,8,13.5,1.105625,10.025,0.396,9.45,0.3185
T1,9,10.65,1.105625,14.575,0.3935,15,0.3255
T2,1,11.77616152,0.3803515,6.007333672,0.158,0,0
T2,2,13.63856117,0.497444143,7.720703135,0.190542857,0,0
T2,3,15.60689796,0.614536786,9.161720717,0.223085714,3.332192277,0
T2,4,17.21493048,0.731629429,9.986309669,0.255628571,4.913131905,0.0644
T2,5,17.69996919,0.848722071,10.31995234,0.288171429,7.321306637,0.1822
T2,6,15.9067828,0.965814714,11.20712781,0.320714286,12.1806145,0.3
T2,7,10.73604651,1.082907357,14.72,0.353257143,15.34666667,0.4178
T2,8,10.73604651,1.2,14.72,0.3858,15.34666667,0.5356
T3,1,8.8,0.4726,3.1312,0.4,0,0
T3,2,11.3,0.6612,4.7611,0.4,0,0
T3,3,15.25,1.0233,6.795,0.4,0,0
T3,4,18,1.0918,8.865,0.4,0.6333,0.325
T3,5,18.2,1.1481,8.7898,0.4,2.5667,0.325
T3,6,15.3,1.2317,9.6476,0.4,4.5,0.28
T3,7,11.45,1.3557,13.5422,0.4,13.6,0.288
T4,1,8.915585659,0.3803515,3.220426747,0.158,0,0
T4,2,10.21367983,0.516959583,4.424948139,0.195966667,0,0
T4,3,12.57622008,0.653567667,6.777371817,0.233933333,0,0
T4,4,15.4996127,0.79017575,9.094823589,0.2719,3.176753015,0
T4,5,17.62441742,0.926783833,10.15854279,0.309866667,5.671878024,0.0644
T4,6,16.12106904,1.063391917,11.09343611,0.347833333,11.83492203,0.3
