Azim,Ed,El,Gd,Gl,Lindex,Ll,Lseed,Lw,axe,dincB,dpAngle,incB,n,pAngle,plant
180.0669374363497,0.0,0.0,0.183661571804604,2.2284278206763,6.0,9.7331800120066,85.0,0.459953566027123,MS,0.0,0.0,-999.0,1,-999.0,1
181.77616427652538,0.0,0.0,0.1998915782551273,2.3346526906867164,6.0,8.25620427067652,47.0,0.4440627590645064,MS,0.0,0.0,-999.0,2,-999.0,1
179.1505315923132,0.0,0.0,0.21541297758627923,2.4941121499130943,6.0,6.822362800341663,38.0,0.4265281984564648,MS,0.0,0.0,-999.0,3,-999.0,1
183.78234854433686,0.0,0.0,0.2311620388920936,2.787850713893685,6.0,6.502343639016074,114.0,0.43167523352348325,MS,0.0,0.0,-999.0,4,-999.0,1
177.64472666895017,0.0,0.0,0.24871776631816808,3.5029554639315,6.0,7.452413022887793,16.0,0.4910377390570903,MS,0.0,0.0,-999.0,5,-999.0,1
177.8646462224424,0.0,0.0,0.26125043385213853,4.9774660433959905,6.0,9.265872703589736,104.0,0.6202321580833261,MS,0.0,0.0,-999.0,6,-999.0,1
176.19547819020227,0.0,0.0,0.27124576822991514,7.112361571050643,6.0,11.88108734048575,61.0,0.811206541694273,MS,0.0,0.0,-999.0,7,-999.0,1
189.83248852193356,0.023793738489871333,1.266666666666679,0.2929572444705461,9.23218096074984,5.0,14.954656296741042,13.0,1.0315448676240595,MS,0.0,0.0,-999.0,8,-999.0,1
181.414094385691,0.09110497237569097,4.850000000000013,0.33025122486880315,10.620333468556428,4.0,17.50811005831413,11.0,1.234781975562013,MS,0.0,0.0,-999.0,9,-999.0,1
179.36462469398975,0.16279926335175002,8.666666666666675,0.3571115636993026,11.279239118895601,3.0,18.93961489770013,33.0,1.3891598631251287,MS,0.0,0.0,-999.0,10,-999.0,1
172.9254399659112,0.23496316758747712,12.50833333333334,0.3316675496168525,11.929812603528276,2.0,18.367806773766645,40.0,1.5060582522436419,MS,0.0,0.0,-999.0,11,-999.0,1
200.83152750972658,0.34,18.1,0.260878274577915,12.5684225600532,1.0,14.509566683841,26.0,1.61673969082368,MS,0.0,0.0,-999.0,12,-999.0,1
0.0,0.3,19.8,0.0,0.0,-999.0,0.0,-999.0,0.0,MS,0.0,0.0,0.0,13,0.0,1
0.0,1.02,7.38,0.0,0.0,-999.0,0.0,-999.0,0.0,MS,0.0,0.0,0.0,14,0.0,1
0.0,1.02,0.0,0.0,0.0,-999.0,0.0,-999.0,0.0,MS,0.0,0.0,0.0,15,0.0,1
