id_axis,N_phytomer_potential,index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
T2,8,6,15.864286,1.0794714,9.2061,0.3897143,6.01428571,0.32185714
T2,8,7,15.435714,1.2687857,10.305471,0.3808571,9.65714286,0.32128571
T2,8,8,12.007143,1.4098857,14.264557,0.3908571,14.99285714,0.31471429
T2,7,1,9.018058,0.4198833,3.019242,0.4,0,0
T2,7,2,10.895833,0.5673667,3.759408,0.4,0,0
T2,7,3,12.041667,0.8378333,5.94705,0.4,0.08055833,0.02166667
T2,7,4,15.7537,0.94595,7.722783,0.3828333,1.58610833,0.26358333
T2,7,5,16.397225,1.0655417,8.400608,0.3875,4.20833333,0.291
T2,7,6,15.9211,1.2432667,9.701217,0.3746667,7.69166667,0.31425
T2,7,7,13.444167,1.3935083,13.368942,0.3578333,13.25833333,0.31408333
T2,6,1,10.895833,0.5673667,3.759408,0.4,0,0
T2,6,2,12.041667,0.8378333,5.94705,0.4,0.08055833,0.02166667
T2,6,3,15.7537,0.94595,7.722783,0.3828333,1.58610833,0.26358333
T2,6,4,16.397225,1.0655417,8.400608,0.3875,4.20833333,0.291
T2,6,5,15.9211,1.2432667,9.701217,0.3746667,7.69166667,0.31425
T2,6,6,13.444167,1.3935083,13.368942,0.3578333,13.25833333,0.31408333
T2,9,1,8.3619,0.3977714,2.741314,0.4,0,0
T2,9,2,8.3619,0.3977714,2.741314,0.4,0,0
T2,9,3,9.892857,0.522,3.365071,0.4,0,0
T2,9,4,10.778571,0.6337143,5.206814,0.4,0,0
T2,9,5,13.792857,0.9446143,6.863971,0.4,0.50952857,0.15957143
T2,9,6,16.797614,0.9916,8.421414,0.395,2.82857143,0.29671429
T2,9,7,15.864286,1.0794714,9.2061,0.3897143,6.01428571,0.32185714
T2,9,8,15.435714,1.2687857,10.305471,0.3808571,9.65714286,0.32128571
T2,9,9,12.007143,1.4098857,14.264557,0.3908571,14.99285714,0.31471429
T3,7,1,8.8,0.4726,3.1312,0.4,0,0
T3,7,2,11.3,0.6612,4.7611,0.4,0,0
T3,7,3,15.25,1.0233,6.795,0.4,0,0
T3,7,4,18,1.0918,8.865,0.4,0.6333,0.325
T3,7,5,18.2,1.1481,8.7898,0.4,2.5667,0.325
T3,7,6,15.3,1.2317,9.6476,0.4,4.5,0.28
T3,7,7,11.45,1.3557,13.5422,0.4,13.6,0.288
T3,6,1,9.65,0.511,3.2144,0.4,0,0
T3,6,2,11.6,0.6771,4.4489,0.4,0,0
T3,6,3,14.25,0.8335,6.04,0.4,0.6333,0.325
T3,6,4,16,0.9277,8.5,0.39,2.5667,0.325
T3,6,5,15.8,0.9983,10.5,0.325,4.5,0.28
T3,6,6,16.1,1.4854,12.5,0.338,13.6,0.288
T3,8,1,8.8,0.4726,3.1312,0.4,0,0
T3,8,2,8.8,0.4726,3.1312,0.4,0,0
T3,8,3,11.3,0.6612,4.7611,0.4,0,0
T3,8,4,15.25,1.0233,6.795,0.4,0,0
T3,8,5,18,1.0918,8.865,0.4,0.6333,0.325
T3,8,6,18.2,1.1481,8.7898,0.4,2.5667,0.325
T3,8,7,15.3,1.2317,9.6476,0.4,4.5,0.28
T3,8,8,11.45,1.3557,13.5422,0.4,13.6,0.288
T3,5,1,8.8,0.4726,3.1312,0.4,0,0
