"index","nrel","tip","col","ssi","disp"
1,0,-131.632918885191,-92.5582845673134,-96.3717959654884,-96.3717959654884
1,0.125,0,0,0,0
1,0.25,95.5606445214765,90.437119907353,95.17862009177,95.17862009177
1,0.375,187.068785987019,175.614667419900,190.357240183540,190.357240183540
1,0.5,276.142930877429,258.439787300848,271.820681319620,271.820681319620
1,0.625,360.085721821676,338.898155185794,352.186889633407,352.186889633407
1,0.75,441.517072478904,423.668237418818,494.487981398243,494.487981398243
1,0.875,522.914955582211,511.627909520157,736.896452190835,736.896452190835
1,1,608.993655350019,603.677870914816,946.771770733167,946.771770733167
2,0,-90.437119907353,-83.9427909442475,-90.0913206822593,-90.0913206822593
2,0.166666666666667,0,0,0,0
2,0.333333333333333,86.362608957014,81.3702908468596,80.3662083137873,80.3662083137873
2,0.5,169.823553639455,162.866662679329,160.732416627575,160.732416627575
2,0.666666666666667,250.2819215244,248.945362447137,380.54360988995,380.54360988995
2,0.833333333333333,334.026426110014,339.398177498409,604.313560078596,604.313560078596
2,1,420.896484185176,432.560708498287,805.942843942903,805.942843942903
3,0,-90.437119907353,-83.9427909442475,-87.0420108205049,-87.0420108205049
3,0.2,0,0,0,0
3,0.4,85.025674658299,80.6529812178464,80.3662083137873,80.3662083137873
3,0.6,167.769309711727,163.306364730360,160.732416627575,160.732416627575
3,0.8,248.227677596672,249.385064498167,411.307454806045,411.307454806045
3,1,333.12919386233,341.06713426088,629.278641435859,629.278641435859
4,0,-84.0969512914346,-80.4583678849453,-80.3662083137873,-80.3662083137873
4,0.25,0,0,0,0
4,0.5,82.2453441393704,83.4571206774768,98.9333035637238,98.9333035637238
4,0.75,162.703712024316,170.021850786497,351.357753338657,351.357753338657
4,1,248.408965454937,262.071812181156,566.254836884504,566.254836884504
5,0,-80.5816084944177,-86.0786997678076,-187.573491299664,-187.573491299664
5,0.333333333333333,0,0,0,0
5,0.666666666666667,82.768506844619,89.4158766675325,231.952613553154,231.952613553154
5,1,168.847206612427,182.062607487992,436.585622975296,436.585622975296
