id_phen,index_phytomer,TT_em_phytomer,TT_col_phytomer,TT_sen_phytomer,TT_del_phytomer
1111,0,-120.771,-20.771,486.429,786.429
1111,1,-20.771,79.229,543.069936918,843.069936918
1111,2,19.229,179.229,599.710873836,899.710873836
1111,3,119.229,279.229,656.351810753,956.351810753
1111,4,219.229,379.229,774.016198446,1074.01619845
1111,5,319.229,479.229,1078.88995456,1378.88995456
1111,6,419.229,579.229,1277.18670926,1577.18670926
1111,7,519.229,679.229,1468.8508195,3000.0
1111,8,619.229,779.229,1608.66589844,3000.0
1111,9,719.229,879.229,1717.65363426,3000.0
1111,10,819.229,979.229,1807.40605949,3000.0
1111,11,919.229,1079.229,1884.16269853,3000.0
4060,0,-12.2751154255,226.759725,653.175350963,990.214475963
4060,1,100.071259574,339.1061,736.935775288,1073.97490029
4060,2,68.9967303191,451.452475,907.397294837,1244.43641984
4060,3,181.343105319,563.79885,1132.25963611,1469.29876111
4060,4,341.044689732,723.500434413,1410.47263747,1747.51176247
4060,5,580.079530158,962.535274838,1609.56758141,3000.0
4060,6,819.114370583,1201.57011526,1751.82705823,3000.0
4080,0,-12.2751154255,226.759725,653.175350963,990.214475963
4080,1,100.071259574,339.1061,736.935775288,1073.97490029
4080,2,68.9967303191,451.452475,907.397294837,1244.43641984
4080,3,181.343105319,563.79885,1132.25963611,1469.29876111
4080,4,341.044689732,723.500434413,1410.47263747,1747.51176247
4080,5,580.079530158,962.535274838,1609.56758141,3000.0
4080,6,819.114370583,1201.57011526,1751.82705823,3000.0
4080,7,1058.14921101,1440.60495569,1862.64558855,3000.0
4080,8,1297.18405143,1679.63979612,1954.16269853,3000.0
4081,0,114.41335,226.759725,653.175350963,990.214475963
4081,1,226.759725,339.1061,736.935775288,1073.97490029
4081,2,271.698275,451.452475,907.397294837,1244.43641984
4081,3,384.04465,563.79885,1132.25963611,1469.29876111
4081,4,496.391025,676.145225,1410.47263747,1747.51176247
4081,5,608.7374,788.4916,1609.56758141,3000.0
4081,6,721.083775,900.837975,1751.82705823,3000.0
4081,7,833.43015,1013.18435,1862.64558855,3000.0
4081,8,945.776525,1125.530725,1954.16269853,3000.0
5050,0,46.9689775076,295.835542857,698.872824633,1049.77468178
5050,1,163.936263222,412.802828571,876.738951301,1227.64080844
5050,2,131.583609726,529.770114286,1120.90815569,1471.81001284
5050,3,262.744089428,660.930593987,1400.47263747,1751.37449461
5050,4,511.610654778,909.797159337,1599.56758141,3000.0
5050,5,760.477220127,1158.66372469,1741.82705823,3000.0
5070,0,46.9689775076,295.835542857,698.872824633,1049.77468178
5070,1,163.936263222,412.802828571,876.738951301,1227.64080844
5070,2,131.583609726,529.770114286,1120.90815569,1471.81001284
5070,3,262.744089428,660.930593987,1400.47263747,1751.37449461
5070,4,511.610654778,909.797159337,1599.56758141,3000.0
5070,5,760.477220127,1158.66372469,1741.82705823,3000.0
5070,6,1009.34378548,1407.53029004,1852.64558855,3000.0
5070,7,1258.21035083,1656.39685539,1944.16269853,3000.0
5081,0,193.41335,298.259725,677.048231562,991.587356562
5081,1,298.259725,403.1061,766.338087482,1080.87721248
5081,2,340.198275,507.952475,947.531067435,1262.07019244
5081,3,445.04465,612.79885,1144.23100441,1458.77012941
5081,4,549.891025,717.645225,1420.47263747,3000.0
5081,5,654.7374,822.4916,1619.56758141,3000.0
5081,6,759.583775,927.337975,1761.82705823,3000.0
5081,7,864.43015,1032.18435,1872.64558855,3000.0
5081,8,969.276525,1137.030725,1964.16269853,3000.0
6030,0,183.570801216,408.121257143,771.491050429,1088.10719329
6030,1,289.109515502,513.659971429,963.041267613,1279.65741047
6030,2,243.056855386,602.337584869,1154.5914848,1471.20762765
6030,3,467.607311313,826.888040796,1430.47263747,3000.0
6040,0,208.458927128,410.259725,736.815794125,1021.35491912
6040,1,303.305302128,505.1061,883.781333498,1168.3204585
6040,2,277.071198404,599.952475,1030.74687287,1315.28599787
6040,3,440.307721647,763.188998243,1177.71241224,3000.0
6040,4,642.108519519,964.989796115,1450.47263747,3000.0
6050,0,183.570801216,408.121257143,771.491050429,1088.10719329
6050,1,289.109515502,513.659971429,963.041267613,1279.65741047
6050,2,243.056855386,602.337584869,1154.5914848,1471.20762765
6050,3,467.607311313,826.888040796,1430.47263747,3000.0
6050,4,692.15776724,1051.43849672,1629.56758141,3000.0
6050,5,916.708223167,1275.98895265,1771.82705823,3000.0
6060,0,183.570801216,408.121257143,771.491050429,1088.10719329
6060,1,289.109515502,513.659971429,963.041267613,1279.65741047
6060,2,243.056855386,602.337584869,1154.5914848,1471.20762765
6060,3,467.607311313,826.888040796,1430.47263747,3000.0
6060,4,692.15776724,1051.43849672,1629.56758141,3000.0
6060,5,916.708223167,1275.98895265,1771.82705823,3000.0
6060,6,1141.25867909,1500.53940858,1882.64558855,3000.0
7020,0,305.30152695,528.269966667,889.0797255,1203.4652255
7020,1,408.872225193,631.840664909,-5.76460752303e+17,-5.76460752303e+17
7020,2,498.05960108,854.809104626,-1.15292150461e+18,-1.15292150461e+18
