id_phen,index_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
1111,0,-100.0,-100.0,-56.6409369178,-56.6409369178
1111,1,0.0,0.0,0.0,0.0
1111,2,40.0,100.0,56.6409369178,56.6409369178
1111,3,140.0,200.0,113.281873836,113.281873836
1111,4,240.0,300.0,230.946261529,230.946261529
1111,5,340.0,400.0,535.820017639,535.820017639
1111,6,440.0,500.0,734.116772342,734.116772342
1111,7,540.0,600.0,925.780882581,2156.93006308
1111,8,640.0,700.0,1065.59596152,2156.93006308
1111,9,740.0,800.0,1174.58369734,2156.93006308
1111,10,840.0,900.0,1264.33612257,2156.93006308
1111,11,940.0,1000.0,1341.09276161,2156.93006308
4060,0,-112.346375,-112.346375,-83.7604243254,-83.7604243254
4060,1,0.0,0.0,0.0,0.0
4060,2,-31.0745292553,112.346375,170.461519549,170.461519549
4060,3,81.2718457447,224.69275,395.323860823,395.323860823
4060,4,240.973430158,384.394334413,673.536862184,673.536862184
4060,5,480.008270583,623.429174838,872.631806118,1926.02509971
4060,6,719.043111009,862.464015264,1014.89128294,1926.02509971
4080,0,-112.346375,-112.346375,-83.7604243254,-83.7604243254
4080,1,0.0,0.0,0.0,0.0
4080,2,-31.0745292553,112.346375,170.461519549,170.461519549
4080,3,81.2718457447,224.69275,395.323860823,395.323860823
4080,4,240.973430158,384.394334413,673.536862184,673.536862184
4080,5,480.008270583,623.429174838,872.631806118,1926.02509971
4080,6,719.043111009,862.464015264,1014.89128294,1926.02509971
4080,7,958.077951434,1101.49885569,1125.70981326,1926.02509971
4080,8,1197.11279186,1340.53369612,1217.22692324,1926.02509971
4081,0,-112.346375,-112.346375,-83.7604243254,-83.7604243254
4081,1,0.0,0.0,0.0,0.0
4081,2,44.93855,112.346375,170.461519549,170.461519549
4081,3,157.284925,224.69275,395.323860823,395.323860823
4081,4,269.6313,337.039125,673.536862184,673.536862184
4081,5,381.977675,449.3855,872.631806118,1926.02509971
4081,6,494.32405,561.731875,1014.89128294,1926.02509971
4081,7,606.670425,674.07825,1125.70981326,1926.02509971
4081,8,719.0168,786.424625,1217.22692324,1926.02509971
5050,0,-116.967285714,-116.967285714,-177.866126668,-177.866126668
5050,1,0.0,0.0,0.0,0.0
5050,2,-32.3526534954,116.967285714,244.169204392,244.169204392
5050,3,98.8078262062,248.127765416,523.733686171,523.733686171
5050,4,347.674391556,496.994330766,722.828630105,1772.35919156
5050,5,596.540956905,745.860896115,865.08810693,1772.35919156
5070,0,-116.967285714,-116.967285714,-177.866126668,-177.866126668
5070,1,0.0,0.0,0.0,0.0
5070,2,-32.3526534954,116.967285714,244.169204392,244.169204392
5070,3,98.8078262062,248.127765416,523.733686171,523.733686171
5070,4,347.674391556,496.994330766,722.828630105,1772.35919156
5070,5,596.540956905,745.860896115,865.08810693,1772.35919156
5070,6,845.407522255,994.727461465,975.906637245,1772.35919156
5070,7,1094.2740876,1243.59402681,1067.42374723,1772.35919156
5081,0,-104.846375,-104.846375,-89.2898559205,-89.2898559205
5081,1,0.0,0.0,0.0,0.0
5081,2,41.93855,104.846375,181.192979953,181.192979953
5081,3,146.784925,209.69275,377.892916929,377.892916929
5081,4,251.6313,314.539125,654.13454999,1919.12278752
5081,5,356.477675,419.3855,853.229493924,1919.12278752
5081,6,461.32405,524.231875,995.488970748,1919.12278752
5081,7,566.170425,629.07825,1106.30750106,1919.12278752
5081,8,671.0168,733.924625,1197.82461105,1919.12278752
6030,0,-105.538714286,-105.538714286,-191.550217184,-191.550217184
6030,1,0.0,0.0,0.0,0.0
6030,2,-46.0526601159,88.6776134403,191.550217184,191.550217184
6030,3,178.497795811,313.228069367,467.431369859,1720.34258953
6040,0,-94.846375,-94.846375,-146.965539373,-146.965539373
6040,1,0.0,0.0,0.0,0.0
6040,2,-26.2341037234,94.846375,146.965539373,146.965539373
6040,3,137.002419519,258.082898243,293.931078746,1831.6795415
6040,4,338.803217392,459.883696115,566.691303974,1831.6795415
6050,0,-105.538714286,-105.538714286,-191.550217184,-191.550217184
6050,1,0.0,0.0,0.0,0.0
6050,2,-46.0526601159,88.6776134403,191.550217184,191.550217184
6050,3,178.497795811,313.228069367,467.431369859,1720.34258953
6050,4,403.048251738,537.778525294,666.526313793,1720.34258953
6050,5,627.598707665,762.328981221,808.785790617,1720.34258953
6060,0,-105.538714286,-105.538714286,-191.550217184,-191.550217184
6060,1,0.0,0.0,0.0,0.0
6060,2,-46.0526601159,88.6776134403,191.550217184,191.550217184
6060,3,178.497795811,313.228069367,467.431369859,1720.34258953
6060,4,403.048251738,537.778525294,666.526313793,1720.34258953
6060,5,627.598707665,762.328981221,808.785790617,1720.34258953
6060,6,852.149163592,986.879437148,919.604320933,1720.34258953
7020,0,-103.570698243,-103.570698243,5.76460752303e+17,5.76460752303e+17
7020,1,0.0,0.0,0.0,0.0
7020,2,89.1873758865,222.968439716,-5.76460752303e+17,-5.76460752303e+17
