id_cohort,id_axis,theoretical_cohort_cardinality,simulated_cohort_cardinality,theoretical_axis_cardinality,simulated_axis_cardinality
1,MS,5.0,5,5.0,5
3,T0,0.0,0,0.0,0
4,T1,4.5,5,4.5,5
5,T2,4.835,4,4.835,4
6,T1.0,6.695315,10,2.610315,5
6,T3,6.695315,10,4.085,5
7,T1.1,0.96511155,1,0.265185,0
7,T2.0,0.96511155,1,0.28492655,1
7,T4,0.96511155,1,0.415,0
