annee;gen;semis;bloc;TT;date;angle ouverture;Z camera;commentaires;rep;simul
2005;F2;S1;B1;195;03/06/2005;56;1.5;;1;1
2005;F2;S1;B1;250;14/06/2005;56;1.5;;1;1
2005;F2;S1;B1;365;24/06/2005;56;1.5;;1;0
2005;F2;S1;B1;430;30/06/2005;56;1.5;;1;0
2005;F2;S1;B1;770;22/07/2005;53;1.7;;1;0
2005;F2;S2;B1;175;14/06/2005;56;1.5;;1;0
2005;F2;S2;B1;260;20/06/2005;56;1.5;;1;0
2005;F2;S2;B1;448;11/07/2005;56;1.5;;1;0
2005;F2;S2;B1;490;15/07/2005;53;2;;1;0
2005;F2;S2;B1;650;22/07/2005;53;2;;1;0
